precise	kind	title	path	declaration
c:@E@TKErrorCode	swift.enum	TKError.Code	TKError.Code	enum Code
c:@E@TKErrorCode@TKErrorCodeAuthenticationFailed	swift.enum.case	TKError.Code.authenticationFailed	TKError.Code.authenticationFailed	case authenticationFailed
c:@E@TKErrorCode@TKErrorCodeAuthenticationNeeded	swift.enum.case	TKError.Code.authenticationNeeded	TKError.Code.authenticationNeeded	case authenticationNeeded
c:@E@TKErrorCode@TKErrorCodeBadParameter	swift.enum.case	TKError.Code.badParameter	TKError.Code.badParameter	case badParameter
c:@E@TKErrorCode@TKErrorCodeCanceledByUser	swift.enum.case	TKError.Code.canceledByUser	TKError.Code.canceledByUser	case canceledByUser
c:@E@TKErrorCode@TKErrorCodeCommunicationError	swift.enum.case	TKError.Code.communicationError	TKError.Code.communicationError	case communicationError
c:@E@TKErrorCode@TKErrorCodeCorruptedData	swift.enum.case	TKError.Code.corruptedData	TKError.Code.corruptedData	case corruptedData
c:@E@TKErrorCode@TKErrorCodeNotImplemented	swift.enum.case	TKError.Code.notImplemented	TKError.Code.notImplemented	case notImplemented
c:@E@TKErrorCode@TKErrorCodeObjectNotFound	swift.enum.case	TKError.Code.objectNotFound	TKError.Code.objectNotFound	case objectNotFound
c:@E@TKErrorCode@TKErrorCodeTokenNotFound	swift.enum.case	TKError.Code.tokenNotFound	TKError.Code.tokenNotFound	case tokenNotFound
c:@E@TKSmartCardPINCharset	swift.enum	TKSmartCardPINFormat.Charset	TKSmartCardPINFormat.Charset	enum Charset
c:@E@TKSmartCardPINCharset@TKSmartCardPINCharsetAlphanumeric	swift.enum.case	TKSmartCardPINFormat.Charset.alphanumeric	TKSmartCardPINFormat.Charset.alphanumeric	case alphanumeric
c:@E@TKSmartCardPINCharset@TKSmartCardPINCharsetNumeric	swift.enum.case	TKSmartCardPINFormat.Charset.numeric	TKSmartCardPINFormat.Charset.numeric	case numeric
c:@E@TKSmartCardPINCharset@TKSmartCardPINCharsetUpperAlphanumeric	swift.enum.case	TKSmartCardPINFormat.Charset.upperAlphanumeric	TKSmartCardPINFormat.Charset.upperAlphanumeric	case upperAlphanumeric
c:@E@TKSmartCardPINCompletion	swift.struct	TKSmartCardUserInteractionForPINOperation.Completion	TKSmartCardUserInteractionForPINOperation.Completion	struct Completion
c:@E@TKSmartCardPINCompletion@TKSmartCardPINCompletionKey	swift.type.property	key	TKSmartCardUserInteractionForPINOperation.Completion.key	static var key: TKSmartCardUserInteractionForPINOperation.Completion { get }
