category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/CryptoTokenKit.framework/CryptoTokenKit.tbd	3890	91c056dc72f5cf5eddd168d65d89f8ec70d84bc54828b71a019742084a2af8d5
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/CryptoTokenKit.apinotes	2815	1cf6992cd6b5bcb0008b72da4544bafe71acbc410b3b6f6de86d0dc32cfb92c5
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/CryptoTokenKit.h	652	91b7f77d1e13d7f37a641e955a2327a0e935e4b36d64db4124a503319f385c7c
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKBase.h	293	22d3150e283170ebe3014b1aae0891ad50f417fb364582301717b2cc929ae086
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKError.h	1376	a58fb112ff47bf6dd10c034789306dde86ca1a8897aa7e011975deb4dc4adb16
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKSmartCard.h	22984	72aca8236d1a37aa7acd9677052e57bc382629502fb6fb55b1df82aba14d1883
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKSmartCardATR.h	3459	8704080e44908982618b9b0a0bdc444fbc2d557e43fa7177f3949b15f75267e4
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKSmartCardSlotNFCSession.h	1428	5cb960f6b21ab7f7ec8852bb45f4bf3c692eb28b5d32019a2af25d424647298e
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKSmartCardToken.h	7700	2da408a360a28d5baf4f1245541bc296d6938c0b8e639f1e3cddde01baf2d6ad
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKSmartCardTokenRegistrationManager.h	2166	4a13811f7b36d35de19ef724fc7f45c0090d67743de548cc9ce55036629da246
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKTLVRecord.h	4292	11c3c6c4c78b6afbdcecc7336ecfdd0787e4268257ddeab02159f4a77a9477fd
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKToken.h	15402	c9fe07826fbef639b86def2833da8c8a8836d145896a9b27339d6288fce2c659
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKTokenConfiguration.h	3934	e84a3a6e09fe016062af5b141e022da222c81086be3fb6c05396199b89995603
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKTokenKeychainItem.h	5589	44ba90e80f1fb72310ef3d48500eeb58c4e3b81c9ef2acd4d17928822531363d
header	System/Library/Frameworks/CryptoTokenKit.framework/Headers/TKTokenWatcher.h	2677	71b175706517696b9ea7d1397cc97ce6bc60dc5c7f87942d74369ef3499f242e
modulemap	System/Library/Frameworks/CryptoTokenKit.framework/Modules/module.modulemap	109	4d1cda9a7e18d9cf1d43b1c5c9b0bd4541f58e6541bd4f63bf78d92cefc7f806
