precise	status	evidence	notes
c:objc(cs)DDMatch	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchMatchedString	
c:objc(cs)DDMatch(py)matchedString	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchMatchedString	
c:objc(cs)DDMatchCalendarEvent	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchCalendarEvent(py)allDay	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchCalendarEvent(py)endDate	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchCalendarEvent(py)endTimeZone	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchCalendarEvent(py)startDate	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchCalendarEvent(py)startTimeZone	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchCalendarEvent	
c:objc(cs)DDMatchEmailAddress	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchEmailAddress	
c:objc(cs)DDMatchEmailAddress(py)emailAddress	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchEmailAddress	
c:objc(cs)DDMatchEmailAddress(py)label	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchEmailAddress	
c:objc(cs)DDMatchFlightNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchFlightNumber	
c:objc(cs)DDMatchFlightNumber(py)airline	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchFlightNumber	
c:objc(cs)DDMatchFlightNumber(py)flightNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchFlightNumber	
c:objc(cs)DDMatchLink	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchLink	
c:objc(cs)DDMatchLink(py)URL	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchLink	
c:objc(cs)DDMatchMoneyAmount	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchMoneyAmount	
c:objc(cs)DDMatchMoneyAmount(py)amount	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchMoneyAmount	
c:objc(cs)DDMatchMoneyAmount(py)currency	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchMoneyAmount	
c:objc(cs)DDMatchPhoneNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPhoneNumber	
c:objc(cs)DDMatchPhoneNumber(py)label	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPhoneNumber	
c:objc(cs)DDMatchPhoneNumber(py)phoneNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPhoneNumber	
c:objc(cs)DDMatchPostalAddress	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchPostalAddress(py)city	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchPostalAddress(py)country	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchPostalAddress(py)postalCode	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchPostalAddress(py)state	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchPostalAddress(py)street	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchPostalAddress	
c:objc(cs)DDMatchShipmentTrackingNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchShipmentTrackingNumber	
c:objc(cs)DDMatchShipmentTrackingNumber(py)carrier	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchShipmentTrackingNumber	
c:objc(cs)DDMatchShipmentTrackingNumber(py)trackingNumber	implemented	test:full/datadetection/tests/agent/DDMatchTests.swift#testDDMatchShipmentTrackingNumber	
s:13DataDetection0A8DetectorO	implemented	test:full/datadetection/tests/agent/ParsingTests.swift#testDataDetectorNamespaceExists	
s:13DataDetection0A8DetectorO5MatchV	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMatchPreferredStyleRangeAndDetails	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO2eeoiySbAG_AGtFZ	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO3urlyA2GmF	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO4hash4intoys6HasherVz_tF	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO6hiddenyA2GmF	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO7regularyA2GmF	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV14HighlightStyleO9hashValueSivp	implemented	test:full/datadetection/tests/agent/OptionsAndStyleTests.swift#testHighlightStyleCasesHashable	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testSemanticDetailsEnumCases	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO11MeasurementV	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMeasurementPayloadAndConversion	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO11MeasurementV11measurement2in10FoundationAHVyxGx_tSo11NSDimensionCRbzlF	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMeasurementPayloadAndConversion	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO11MeasurementV18possibleDimensionsSaySo11NSDimensionCGvp	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMeasurementPayloadAndConversion	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO11MeasurementV5valueSdvp	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMeasurementPayloadAndConversion	
s:13DataDetection0A8DetectorO5MatchV15SemanticDetailsO11MoneyAmountV	implemented	test:full/datadetection/tests/agent/SemanticDetailsTests.swift#testMoneyAmountPayload	
