precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16DeclaredAgeRange0bC7ServiceV5ErrorO	swift.property	["AgeRangeService","Error","helpAnchor"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:16DeclaredAgeRange0bC7ServiceV5ErrorO	swift.property	["AgeRangeService","Error","failureReason"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:16DeclaredAgeRange0bC7ServiceV5ErrorO	swift.property	["AgeRangeService","Error","errorDescription"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:16DeclaredAgeRange0bC7ServiceV5ErrorO	swift.property	["AgeRangeService","Error","recoverySuggestion"]	unmatched	none	0	0		[]
s:16DeclaredAgeRange0abC6ActionV	swift.struct	["DeclaredAgeRangeAction"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7	["/ABIRoot/children/7"]
s:16DeclaredAgeRange0abC6ActionV14callAsFunction8ageGates__AA0bC7ServiceV8ResponseOSi_SiSgAJtYaKF	swift.method	["DeclaredAgeRangeAction","callAsFunction(ageGates:_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/7/children/0	["/ABIRoot/children/7/children/0"]
s:16DeclaredAgeRange0bC7ServiceV	swift.struct	["AgeRangeService"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6	["/ABIRoot/children/6"]
s:16DeclaredAgeRange0bC7ServiceV07requestbC08ageGates__2inAC8ResponseOSi_SiSgAISo16UIViewControllerCtYaKF	swift.method	["AgeRangeService","requestAgeRange(ageGates:_:_:in:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/6	["/ABIRoot/children/6/children/6"]
s:16DeclaredAgeRange0bC7ServiceV0bC0V	swift.struct	["AgeRangeService","AgeRange"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/4	["/ABIRoot/children/6/children/4"]
s:16DeclaredAgeRange0bC7ServiceV0bC0V03ageC11DeclarationAC0bcF0OSgvp	swift.property	["AgeRangeService","AgeRange","ageRangeDeclaration"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/4/children/2	["/ABIRoot/children/6/children/4/children/2"]
s:16DeclaredAgeRange0bC7ServiceV0bC0V10lowerBoundSiSgvp	swift.property	["AgeRangeService","AgeRange","lowerBound"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/4/children/0	["/ABIRoot/children/6/children/4/children/0"]
s:16DeclaredAgeRange0bC7ServiceV0bC0V10upperBoundSiSgvp	swift.property	["AgeRangeService","AgeRange","upperBound"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/4/children/1	["/ABIRoot/children/6/children/4/children/1"]
s:16DeclaredAgeRange0bC7ServiceV0bC0V22activeParentalControlsAC0fG0Vvp	swift.property	["AgeRangeService","AgeRange","activeParentalControls"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/4/children/3	["/ABIRoot/children/6/children/4/children/3"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO	swift.enum	["AgeRangeService","AgeRangeDeclaration"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2	["/ABIRoot/children/6/children/2"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO04selfA0yA2EmF	swift.enum.case	["AgeRangeService","AgeRangeDeclaration","selfDeclared"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2/children/0	["/ABIRoot/children/6/children/2/children/0"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO08guardianA0yA2EmF	swift.enum.case	["AgeRangeService","AgeRangeDeclaration","guardianDeclared"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2/children/1	["/ABIRoot/children/6/children/2/children/1"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO2eeoiySbAE_AEtFZ	swift.func.op	["AgeRangeService","AgeRangeDeclaration","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2/children/2	["/ABIRoot/children/6/children/2/children/2"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO4hash4intoys6HasherVz_tF	swift.method	["AgeRangeService","AgeRangeDeclaration","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2/children/3	["/ABIRoot/children/6/children/2/children/3"]
s:16DeclaredAgeRange0bC7ServiceV0bC11DeclarationO9hashValueSivp	swift.property	["AgeRangeService","AgeRangeDeclaration","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/2/children/4	["/ABIRoot/children/6/children/2/children/4"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV	swift.struct	["AgeRangeService","ParentalControls"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3	["/ABIRoot/children/6/children/3"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV11descriptionSSvp	swift.property	["AgeRangeService","ParentalControls","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/3	["/ABIRoot/children/6/children/3/children/3"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV19ArrayLiteralElementa	swift.typealias	["AgeRangeService","ParentalControls","ArrayLiteralElement"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/4	["/ABIRoot/children/6/children/3/children/4"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV19communicationLimitsAEvpZ	swift.type.property	["AgeRangeService","ParentalControls","communicationLimits"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/1	["/ABIRoot/children/6/children/3/children/1"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV7Elementa	swift.typealias	["AgeRangeService","ParentalControls","Element"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/5	["/ABIRoot/children/6/children/3/children/5"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV8RawValuea	swift.typealias	["AgeRangeService","ParentalControls","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/6	["/ABIRoot/children/6/children/3/children/6"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV8rawValueAESi_tcfc	swift.init	["AgeRangeService","ParentalControls","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/2	["/ABIRoot/children/6/children/3/children/2"]
s:16DeclaredAgeRange0bC7ServiceV16ParentalControlsV8rawValueSivp	swift.property	["AgeRangeService","ParentalControls","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/3/children/0	["/ABIRoot/children/6/children/3/children/0"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO	swift.enum	["AgeRangeService","Error"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1	["/ABIRoot/children/6/children/1"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO12notAvailableyA2EmF	swift.enum.case	["AgeRangeService","Error","notAvailable"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1/children/0	["/ABIRoot/children/6/children/1/children/0"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO14invalidRequestyA2EmF	swift.enum.case	["AgeRangeService","Error","invalidRequest"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1/children/1	["/ABIRoot/children/6/children/1/children/1"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO2eeoiySbAE_AEtFZ	swift.func.op	["AgeRangeService","Error","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1/children/2	["/ABIRoot/children/6/children/1/children/2"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO4hash4intoys6HasherVz_tF	swift.method	["AgeRangeService","Error","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1/children/3	["/ABIRoot/children/6/children/1/children/3"]
s:16DeclaredAgeRange0bC7ServiceV5ErrorO9hashValueSivp	swift.property	["AgeRangeService","Error","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/1/children/4	["/ABIRoot/children/6/children/1/children/4"]
s:16DeclaredAgeRange0bC7ServiceV6sharedACvpZ	swift.type.property	["AgeRangeService","shared"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/0	["/ABIRoot/children/6/children/0"]
s:16DeclaredAgeRange0bC7ServiceV8ResponseO	swift.enum	["AgeRangeService","Response"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/5	["/ABIRoot/children/6/children/5"]
s:16DeclaredAgeRange0bC7ServiceV8ResponseO15declinedSharingyA2EmF	swift.enum.case	["AgeRangeService","Response","declinedSharing"]	exact-usr	exact-usr	1	1	/ABIRoot/children/6/children/5/children/0	["/ABIRoot/children/6/children/5/children/0"]
