precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization	swift.class	["DeviceActivityAuthorization"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11	["/ABIRoot/children/11"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cm)isAuthorized:	swift.type.method	["DeviceActivityAuthorization","isAuthorized(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/0	["/ABIRoot/children/11/children/0"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)authorizedClientIdentifiers	swift.type.property	["DeviceActivityAuthorization","authorizedClientIdentifiers"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/2	["/ABIRoot/children/11/children/2"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)isAuthorized	swift.type.property	["DeviceActivityAuthorization","isAuthorized"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/1	["/ABIRoot/children/11/children/1"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)isOverridden	swift.type.property	["DeviceActivityAuthorization","isOverridden"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/4	["/ABIRoot/children/11/children/4"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)sharingEnabled	swift.type.property	["DeviceActivityAuthorization","sharingEnabled"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/3	["/ABIRoot/children/11/children/3"]
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(im)init	swift.init	["DeviceActivityAuthorization","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/5	["/ABIRoot/children/11/children/5"]
c:@M@DeviceActivity@objc(cs)DeviceActivityMonitor	swift.class	["DeviceActivityMonitor"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15	["/ABIRoot/children/15"]
c:@M@DeviceActivity@objc(cs)DeviceActivityMonitor(im)init	swift.init	["DeviceActivityMonitor","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/6	["/ABIRoot/children/15/children/6"]
c:@M@DeviceActivity@objc(pl)DeviceActivityAuthorizing	swift.protocol	["DeviceActivityAuthorizing"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10	["/ABIRoot/children/10"]
