precise	kind	title	path	declaration
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization	swift.class	DeviceActivityAuthorization	DeviceActivityAuthorization	@objc class DeviceActivityAuthorization
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cm)isAuthorized:	swift.type.method	isAuthorized(_:)	DeviceActivityAuthorization.isAuthorized(_:)	static func isAuthorized(_ bundleIdentifier: String) -> Bool
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)authorizedClientIdentifiers	swift.type.property	authorizedClientIdentifiers	DeviceActivityAuthorization.authorizedClientIdentifiers	@objc static var authorizedClientIdentifiers: [String] { get }
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)isAuthorized	swift.type.property	isAuthorized	DeviceActivityAuthorization.isAuthorized	static var isAuthorized: Bool { get }
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)isOverridden	swift.type.property	isOverridden	DeviceActivityAuthorization.isOverridden	@objc static var isOverridden: Bool { get set }
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(cpy)sharingEnabled	swift.type.property	sharingEnabled	DeviceActivityAuthorization.sharingEnabled	@objc static var sharingEnabled: Bool { get }
c:@M@DeviceActivity@objc(cs)DeviceActivityAuthorization(im)init	swift.init	init()	DeviceActivityAuthorization.init()	override dynamic init()
c:@M@DeviceActivity@objc(cs)DeviceActivityMonitor	swift.class	DeviceActivityMonitor	DeviceActivityMonitor	@objc class DeviceActivityMonitor
c:@M@DeviceActivity@objc(cs)DeviceActivityMonitor(im)init	swift.init	init()	DeviceActivityMonitor.init()	override dynamic init()
c:@M@DeviceActivity@objc(pl)DeviceActivityAuthorizing	swift.protocol	DeviceActivityAuthorizing	DeviceActivityAuthorizing	@objc protocol DeviceActivityAuthorizing
c:@M@DeviceActivity@objc(pl)DeviceActivityAuthorizing(cm)isAuthorized:	swift.type.method	isAuthorized(_:)	DeviceActivityAuthorizing.isAuthorized(_:)	@objc static func isAuthorized(_ bundleIdentifier: String) -> Bool
c:@M@DeviceActivity@objc(pl)DeviceActivityAuthorizing(cpy)isAuthorized	swift.type.property	isAuthorized	DeviceActivityAuthorizing.isAuthorized	@objc static var isAuthorized: Bool { get }
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:14DeviceActivity0aB6CenterV15MonitoringErrorO	swift.property	helpAnchor	DeviceActivityCenter.MonitoringError.helpAnchor	var helpAnchor: String? { get }
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:14DeviceActivity0aB6CenterV15MonitoringErrorO	swift.property	failureReason	DeviceActivityCenter.MonitoringError.failureReason	var failureReason: String? { get }
s:14DeviceActivity0aB4DataV	swift.struct	DeviceActivityData	DeviceActivityData	struct DeviceActivityData
s:14DeviceActivity0aB4DataV011ApplicationB0V	swift.struct	DeviceActivityData.ApplicationActivity	DeviceActivityData.ApplicationActivity	struct ApplicationActivity
s:14DeviceActivity0aB4DataV011ApplicationB0V05totalB8DurationSdvp	swift.property	totalActivityDuration	DeviceActivityData.ApplicationActivity.totalActivityDuration	var totalActivityDuration: TimeInterval
s:14DeviceActivity0aB4DataV011ApplicationB0V11application15ManagedSettings0D0Vvp	swift.property	application	DeviceActivityData.ApplicationActivity.application	var application: Application
s:14DeviceActivity0aB4DataV011ApplicationB0V15numberOfPickupsSivp	swift.property	numberOfPickups	DeviceActivityData.ApplicationActivity.numberOfPickups	var numberOfPickups: Int
s:14DeviceActivity0aB4DataV011ApplicationB0V21numberOfNotificationsSivp	swift.property	numberOfNotifications	DeviceActivityData.ApplicationActivity.numberOfNotifications	var numberOfNotifications: Int
s:14DeviceActivity0aB4DataV011ApplicationB0V2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	DeviceActivityData.ApplicationActivity.==(_:_:)	static func == (a: DeviceActivityData.ApplicationActivity, b: DeviceActivityData.ApplicationActivity) -> Bool
s:14DeviceActivity0aB4DataV011ApplicationB0V4hash4intoys6HasherVz_tF	swift.method	hash(into:)	DeviceActivityData.ApplicationActivity.hash(into:)	func hash(into hasher: inout Hasher)
s:14DeviceActivity0aB4DataV011ApplicationB0V9hashValueSivp	swift.property	hashValue	DeviceActivityData.ApplicationActivity.hashValue	var hashValue: Int { get }
s:14DeviceActivity0aB4DataV01_aB8_SwiftUIE16activitySegmentsAD0aB7ResultsVyAC0B7SegmentVGvp	swift.property	activitySegments	DeviceActivityData.activitySegments	var activitySegments: DeviceActivityResults<DeviceActivityData.ActivitySegment> { get }
s:14DeviceActivity0aB4DataV08CategoryB0V	swift.struct	DeviceActivityData.CategoryActivity	DeviceActivityData.CategoryActivity	struct CategoryActivity
s:14DeviceActivity0aB4DataV08CategoryB0V01_aB8_SwiftUIE10webDomainsAF0aB7ResultsVyAC09WebDomainB0VGvp	swift.property	webDomains	DeviceActivityData.CategoryActivity.webDomains	var webDomains: DeviceActivityResults<DeviceActivityData.WebDomainActivity> { get }
s:14DeviceActivity0aB4DataV08CategoryB0V01_aB8_SwiftUIE12applicationsAF0aB7ResultsVyAC011ApplicationB0VGvp	swift.property	applications	DeviceActivityData.CategoryActivity.applications	var applications: DeviceActivityResults<DeviceActivityData.ApplicationActivity> { get }
s:14DeviceActivity0aB4DataV08CategoryB0V05totalB8DurationSdvp	swift.property	totalActivityDuration	DeviceActivityData.CategoryActivity.totalActivityDuration	var totalActivityDuration: TimeInterval
