precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@M@DeviceDiscoveryUI@objc(cs)DDDevicePairingViewController	swift.class	["DDDevicePairingViewController"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14	["/ABIRoot/children/14"]
c:@M@DeviceDiscoveryUI@objc(cs)DDDevicePairingViewController(im)viewDidLoad	swift.method	["DDDevicePairingViewController","viewDidLoad()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/2	["/ABIRoot/children/14/children/2"]
c:objc(cs)DDDevicePickerViewController	swift.class	["DDDevicePickerViewController"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16	["/ABIRoot/children/16"]
s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.struct	["DevicePairingView"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV4Bodya	swift.typealias	["DevicePairingView","Body"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV4bodyQrvp	swift.property	["DevicePairingView","body"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV_6access5label8fallbackACyxq_G7Network16ListenerProvider_p_0abC008DDDeviceE6AccessVxyXEq_yXEtcfc	swift.init	["DevicePairingView","init(_:access:label:fallback:)"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.struct	["DevicePicker"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A6PickerV4Bodya	swift.typealias	["DevicePicker","Body"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A6PickerV4bodyQrvp	swift.property	["DevicePicker","body"]	unmatched	none	0	0		[]
s:024_DeviceDiscoveryUI_SwiftC00A6PickerV_6access8onSelect5label8fallback10parametersACyxq_Gqd___0abC021DDDevicePairingAccessVy8EndpointQyd__cxyXEq_yXE7Network12NWParametersCycSgtcAO15BrowserProviderRd__lufc	swift.init	["DevicePicker","init(_:access:onSelect:label:fallback:parameters:)"]	unmatched	none	0	0		[]
s:17DeviceDiscoveryUI21DDDevicePairingAccessV	swift.struct	["DDDevicePairingAccess"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15	["/ABIRoot/children/15"]
s:17DeviceDiscoveryUI21DDDevicePairingAccessV7defaultACvpZ	swift.type.property	["DDDevicePairingAccess","default"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/0	["/ABIRoot/children/15/children/0"]
s:17DeviceDiscoveryUI21DDDevicePairingAccessV9permanentACvpZ	swift.type.property	["DDDevicePairingAccess","permanent"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/1	["/ABIRoot/children/15/children/1"]
s:17DeviceDiscoveryUI29DDDevicePairingViewControllerC11isSupportedySb7Network16ListenerProvider_pFZ	swift.type.method	["DDDevicePairingViewController","isSupported(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/0	["/ABIRoot/children/14/children/0"]
s:17DeviceDiscoveryUI29DDDevicePairingViewControllerC16listenerProvider6accessAC7Network08ListenerI0_p_AA0dE6AccessVtcfc	swift.init	["DDDevicePairingViewController","init(listenerProvider:access:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/1	["/ABIRoot/children/14/children/1"]
s:7SwiftUI4ViewPAAE010navigationC5StyleyQrqd__AA010NavigationcE0Rd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","navigationViewStyle(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE010navigationC5StyleyQrqd__AA010NavigationcE0Rd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","navigationViewStyle(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidth3min5ideal3maxQr14CoreFoundation7CGFloatVSg_AjKtF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","navigationSplitViewColumnWidth(min:ideal:max:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidth3min5ideal3maxQr14CoreFoundation7CGFloatVSg_AjKtF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","navigationSplitViewColumnWidth(min:ideal:max:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidthyQr14CoreFoundation7CGFloatVF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","navigationSplitViewColumnWidth(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidthyQr14CoreFoundation7CGFloatVF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","navigationSplitViewColumnWidth(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC5StyleyQrqd__AA010NavigationecF0Rd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","navigationSplitViewStyle(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE015navigationSplitC5StyleyQrqd__AA010NavigationecF0Rd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","navigationSplitViewStyle(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13CustomizationyQrAA7BindingVyAA03TabcE0VGSgF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","tabViewCustomization(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13CustomizationyQrAA7BindingVyAA03TabcE0VGSgF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","tabViewCustomization(_:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13SidebarFooter7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","tabViewSidebarFooter(content:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13SidebarFooter7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","tabViewSidebarFooter(content:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13SidebarHeader7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","tabViewSidebarHeader(content:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC13SidebarHeader7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A6PickerV	swift.method	["DevicePicker","tabViewSidebarHeader(content:)"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewPAAE03tabC15BottomAccessory7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:024_DeviceDiscoveryUI_SwiftC00A11PairingViewV	swift.method	["DevicePairingView","tabViewBottomAccessory(content:)"]	unmatched	none	0	0		[]
