precise	kind	title	path	declaration
s:9EnergyKit0A5VenueV	swift.struct	EnergyVenue	EnergyVenue	struct EnergyVenue
s:9EnergyKit0A5VenueV12submitEventsyySayxGYaKAA27ElectricalLoadEventProtocolRzlF	swift.method	submitEvents(_:)	EnergyVenue.submitEvents(_:)	func submitEvents<Event>(_ events: [Event]) async throws where Event : ElectricalLoadEventProtocol
s:9EnergyKit0A5VenueV2IDa	swift.typealias	EnergyVenue.ID	EnergyVenue.ID	typealias ID = UUID
s:9EnergyKit0A5VenueV2id10Foundation4UUIDVvp	swift.property	id	EnergyVenue.id	let id: UUID
s:9EnergyKit0A5VenueV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	EnergyVenue.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit0A5VenueV4nameSSvp	swift.property	name	EnergyVenue.name	let name: String
s:9EnergyKit0A5VenueV5venue28matchingHomeUniqueIdentifierAC10Foundation4UUIDV_tYaKFZ	swift.type.method	venue(matchingHomeUniqueIdentifier:)	EnergyVenue.venue(matchingHomeUniqueIdentifier:)	static func venue(matchingHomeUniqueIdentifier: UUID) async throws -> EnergyVenue
s:9EnergyKit0A5VenueV5venue3forAC10Foundation4UUIDV_tYaKFZ	swift.type.method	venue(for:)	EnergyVenue.venue(for:)	static func venue(for id: UUID) async throws -> EnergyVenue
s:9EnergyKit0A5VenueV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	EnergyVenue.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit0A5VenueV6venuesSayACGyYaKFZ	swift.type.method	venues()	EnergyVenue.venues()	static func venues() async throws -> [EnergyVenue]
s:9EnergyKit0aB5ErrorO	swift.enum	EnergyKitError	EnergyKitError	enum EnergyKitError
s:9EnergyKit0aB5ErrorO10helpAnchorSSSgvp	swift.property	helpAnchor	EnergyKitError.helpAnchor	var helpAnchor: String? { get }
s:9EnergyKit0aB5ErrorO10inProgressyA2CmF	swift.enum.case	EnergyKitError.inProgress	EnergyKitError.inProgress	case inProgress
s:9EnergyKit0aB5ErrorO13failureReasonSSSgvp	swift.property	failureReason	EnergyKitError.failureReason	var failureReason: String? { get }
s:9EnergyKit0aB5ErrorO16errorDescriptionSSSgvp	swift.property	errorDescription	EnergyKitError.errorDescription	var errorDescription: String? { get }
s:9EnergyKit0aB5ErrorO16invalidLoadEventyA2CmF	swift.enum.case	EnergyKitError.invalidLoadEvent	EnergyKitError.invalidLoadEvent	case invalidLoadEvent
s:9EnergyKit0aB5ErrorO16permissionDeniedyA2CmF	swift.enum.case	EnergyKitError.permissionDenied	EnergyKitError.permissionDenied	case permissionDenied
s:9EnergyKit0aB5ErrorO16venueUnavailableyA2CmF	swift.enum.case	EnergyKitError.venueUnavailable	EnergyKitError.venueUnavailable	case venueUnavailable
s:9EnergyKit0aB5ErrorO17rateLimitExceededyA2CmF	swift.enum.case	EnergyKitError.rateLimitExceeded	EnergyKitError.rateLimitExceeded	case rateLimitExceeded
s:9EnergyKit0aB5ErrorO17unsupportedRegionyA2CmF	swift.enum.case	EnergyKitError.unsupportedRegion	EnergyKitError.unsupportedRegion	case unsupportedRegion
s:9EnergyKit0aB5ErrorO18recoverySuggestionSSSgvp	swift.property	recoverySuggestion	EnergyKitError.recoverySuggestion	var recoverySuggestion: String? { get }
s:9EnergyKit0aB5ErrorO18serviceUnavailableyA2CmF	swift.enum.case	EnergyKitError.serviceUnavailable	EnergyKitError.serviceUnavailable	case serviceUnavailable
s:9EnergyKit0aB5ErrorO19guidanceUnavailableyA2CmF	swift.enum.case	EnergyKitError.guidanceUnavailable	EnergyKitError.guidanceUnavailable	case guidanceUnavailable
s:9EnergyKit0aB5ErrorO22locationServicesDeniedyA2CmF	swift.enum.case	EnergyKitError.locationServicesDenied	EnergyKitError.locationServicesDenied	case locationServicesDenied
s:9EnergyKit0aB5ErrorO2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	EnergyKitError.==(_:_:)	static func == (a: EnergyKitError, b: EnergyKitError) -> Bool
s:9EnergyKit0aB5ErrorO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	EnergyKitError.hash(into:)	func hash(into hasher: inout Hasher)
s:9EnergyKit0aB5ErrorO9hashValueSivp	swift.property	hashValue	EnergyKitError.hashValue	var hashValue: Int { get }
s:9EnergyKit19ElectricityGuidanceV	swift.struct	ElectricityGuidance	ElectricityGuidance	struct ElectricityGuidance
s:9EnergyKit19ElectricityGuidanceV13energyVenueID10Foundation4UUIDVvp	swift.property	energyVenueID	ElectricityGuidance.energyVenueID	let energyVenueID: UUID
s:9EnergyKit19ElectricityGuidanceV13guidanceToken10Foundation4UUIDVvp	swift.property	guidanceToken	ElectricityGuidance.guidanceToken	let guidanceToken: UUID
s:9EnergyKit19ElectricityGuidanceV13sharedServiceAC0F0CvpZ	swift.type.property	sharedService	ElectricityGuidance.sharedService	static let sharedService: ElectricityGuidance.Service
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO	swift.enum	ElectricityGuidance.SuggestedAction	ElectricityGuidance.SuggestedAction	enum SuggestedAction
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	ElectricityGuidance.SuggestedAction.==(_:_:)	static func == (a: ElectricityGuidance.SuggestedAction, b: ElectricityGuidance.SuggestedAction) -> Bool
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricityGuidance.SuggestedAction.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ElectricityGuidance.SuggestedAction.hash(into:)	func hash(into hasher: inout Hasher)
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO5shiftyA2EmF	swift.enum.case	ElectricityGuidance.SuggestedAction.shift	ElectricityGuidance.SuggestedAction.shift	case shift
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricityGuidance.SuggestedAction.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO6reduceyA2EmF	swift.enum.case	ElectricityGuidance.SuggestedAction.reduce	ElectricityGuidance.SuggestedAction.reduce	case reduce
s:9EnergyKit19ElectricityGuidanceV15SuggestedActionO9hashValueSivp	swift.property	hashValue	ElectricityGuidance.SuggestedAction.hashValue	var hashValue: Int { get }
s:9EnergyKit19ElectricityGuidanceV15suggestedActionAC09SuggestedF0Ovp	swift.property	suggestedAction	ElectricityGuidance.suggestedAction	let suggestedAction: ElectricityGuidance.SuggestedAction
s:9EnergyKit19ElectricityGuidanceV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricityGuidance.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit19ElectricityGuidanceV5QueryV	swift.struct	ElectricityGuidance.Query	ElectricityGuidance.Query	struct Query
s:9EnergyKit19ElectricityGuidanceV5QueryV15suggestedActionAeC09SuggestedG0O_tcfc	swift.init	init(suggestedAction:)	ElectricityGuidance.Query.init(suggestedAction:)	init(suggestedAction: ElectricityGuidance.SuggestedAction)
s:9EnergyKit19ElectricityGuidanceV5QueryV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricityGuidance.Query.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit19ElectricityGuidanceV5QueryV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricityGuidance.Query.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit19ElectricityGuidanceV5ValueV	swift.struct	ElectricityGuidance.Value	ElectricityGuidance.Value	struct Value
s:9EnergyKit19ElectricityGuidanceV5ValueV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricityGuidance.Value.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit19ElectricityGuidanceV5ValueV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricityGuidance.Value.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit19ElectricityGuidanceV5ValueV6ratingSdvp	swift.property	rating	ElectricityGuidance.Value.rating	let rating: Double
s:9EnergyKit19ElectricityGuidanceV5ValueV8interval10Foundation12DateIntervalVvp	swift.property	interval	ElectricityGuidance.Value.interval	let interval: DateInterval
s:9EnergyKit19ElectricityGuidanceV5ValueV8interval6ratingAE10Foundation12DateIntervalV_Sdtcfc	swift.init	init(interval:rating:)	ElectricityGuidance.Value.init(interval:rating:)	init(interval: DateInterval, rating: Double)
s:9EnergyKit19ElectricityGuidanceV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricityGuidance.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit19ElectricityGuidanceV6valuesSayAC5ValueVGvp	swift.property	values	ElectricityGuidance.values	let values: [ElectricityGuidance.Value]
s:9EnergyKit19ElectricityGuidanceV7OptionsO	swift.enum	ElectricityGuidance.Options	ElectricityGuidance.Options	enum Options
s:9EnergyKit19ElectricityGuidanceV7OptionsO19locationHasRatePlanyA2EmF	swift.enum.case	ElectricityGuidance.Options.locationHasRatePlan	ElectricityGuidance.Options.locationHasRatePlan	case locationHasRatePlan
s:9EnergyKit19ElectricityGuidanceV7OptionsO28guidanceIncorporatesRatePlanyA2EmF	swift.enum.case	ElectricityGuidance.Options.guidanceIncorporatesRatePlan	ElectricityGuidance.Options.guidanceIncorporatesRatePlan	case guidanceIncorporatesRatePlan
s:9EnergyKit19ElectricityGuidanceV7OptionsO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	ElectricityGuidance.Options.==(_:_:)	static func == (a: ElectricityGuidance.Options, b: ElectricityGuidance.Options) -> Bool
s:9EnergyKit19ElectricityGuidanceV7OptionsO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricityGuidance.Options.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit19ElectricityGuidanceV7OptionsO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ElectricityGuidance.Options.hash(into:)	func hash(into hasher: inout Hasher)
s:9EnergyKit19ElectricityGuidanceV7OptionsO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricityGuidance.Options.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit19ElectricityGuidanceV7OptionsO8AllCasesa	swift.typealias	ElectricityGuidance.Options.AllCases	ElectricityGuidance.Options.AllCases	typealias AllCases = [ElectricityGuidance.Options]
s:9EnergyKit19ElectricityGuidanceV7OptionsO8allCasesSayAEGvpZ	swift.type.property	allCases	ElectricityGuidance.Options.allCases	nonisolated static var allCases: [ElectricityGuidance.Options] { get }
s:9EnergyKit19ElectricityGuidanceV7OptionsO9hashValueSivp	swift.property	hashValue	ElectricityGuidance.Options.hashValue	var hashValue: Int { get }
s:9EnergyKit19ElectricityGuidanceV7ServiceC	swift.class	ElectricityGuidance.Service	ElectricityGuidance.Service	final class Service
s:9EnergyKit19ElectricityGuidanceV7ServiceC8guidance5using2atQrAC5QueryV_10Foundation4UUIDVtF	swift.method	guidance(using:at:)	ElectricityGuidance.Service.guidance(using:at:)	final func guidance(using query: ElectricityGuidance.Query, at energyVenueID: UUID) -> some AsyncSequence<ElectricityGuidance, any Error>\n
s:9EnergyKit19ElectricityGuidanceV7optionsShyAC7OptionsOGvp	swift.property	options	ElectricityGuidance.options	let options: Set<ElectricityGuidance.Options>
s:9EnergyKit19ElectricityGuidanceV8interval10Foundation12DateIntervalVvp	swift.property	interval	ElectricityGuidance.interval	let interval: DateInterval
s:9EnergyKit21ElectricHVACLoadEventV	swift.struct	ElectricHVACLoadEvent	ElectricHVACLoadEvent	struct ElectricHVACLoadEvent
s:9EnergyKit21ElectricHVACLoadEventV11measurementAC21ElectricalMeasurementVvp	swift.property	measurement	ElectricHVACLoadEvent.measurement	let measurement: ElectricHVACLoadEvent.ElectricalMeasurement
s:9EnergyKit21ElectricHVACLoadEventV21ElectricalMeasurementV	swift.struct	ElectricHVACLoadEvent.ElectricalMeasurement	ElectricHVACLoadEvent.ElectricalMeasurement	struct ElectricalMeasurement
s:9EnergyKit21ElectricHVACLoadEventV21ElectricalMeasurementV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricHVACLoadEvent.ElectricalMeasurement.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit21ElectricHVACLoadEventV21ElectricalMeasurementV5stageAESi_tcfc	swift.init	init(stage:)	ElectricHVACLoadEvent.ElectricalMeasurement.init(stage:)	init(stage: Int)
s:9EnergyKit21ElectricHVACLoadEventV21ElectricalMeasurementV5stageSivp	swift.property	stage	ElectricHVACLoadEvent.ElectricalMeasurement.stage	let stage: Int
s:9EnergyKit21ElectricHVACLoadEventV21ElectricalMeasurementV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricHVACLoadEvent.ElectricalMeasurement.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit21ElectricHVACLoadEventV2IDa	swift.typealias	ElectricHVACLoadEvent.ID	ElectricHVACLoadEvent.ID	typealias ID = UUID
s:9EnergyKit21ElectricHVACLoadEventV2id10Foundation4UUIDVvp	swift.property	id	ElectricHVACLoadEvent.id	let id: UUID
s:9EnergyKit21ElectricHVACLoadEventV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	ElectricHVACLoadEvent.init(from:)	init(from decoder: any Decoder) throws
s:9EnergyKit21ElectricHVACLoadEventV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ElectricHVACLoadEvent.encode(to:)	func encode(to encoder: any Encoder) throws
s:9EnergyKit21ElectricHVACLoadEventV7SessionV	swift.struct	ElectricHVACLoadEvent.Session	ElectricHVACLoadEvent.Session	struct Session
s:9EnergyKit21ElectricHVACLoadEventV7SessionV13GuidanceStateV	swift.struct	ElectricHVACLoadEvent.Session.GuidanceState	ElectricHVACLoadEvent.Session.GuidanceState	struct GuidanceState
s:9EnergyKit21ElectricHVACLoadEventV7SessionV13GuidanceStateV012wasFollowingG013guidanceTokenAGSb_10Foundation4UUIDVtcfc	swift.init	init(wasFollowingGuidance:guidanceToken:)	ElectricHVACLoadEvent.Session.GuidanceState.init(wasFollowingGuidance:guidanceToken:)	init(wasFollowingGuidance: Bool, guidanceToken: UUID)
s:9EnergyKit21ElectricHVACLoadEventV7SessionV13GuidanceStateV012wasFollowingG0Sbvp	swift.property	wasFollowingGuidance	ElectricHVACLoadEvent.Session.GuidanceState.wasFollowingGuidance	let wasFollowingGuidance: Bool
