precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)ENManager(im)activateWithCompletionHandler:	fba200457de1b93771f500e10b310b292f34921a10696990a21cccaad1e6e6fc	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	activate(completionHandler:)	ENManager.activate(completionHandler:)	func activate(completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ENManager(im)activateWithCompletionHandler:	1583851735d63dfe5e655822d7bea9c8ee7489869f52fa86436cf2f1c01311a3	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	activate()	ENManager.activate()	func activate() async throws
c:objc(cs)ENManager(im)getDiagnosisKeysWithCompletionHandler:	665626fb7b15ea5f4ceaf29ce01b8f77de846a76ed4bbadd84ce5a700becd846	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	diagnosisKeys()	ENManager.diagnosisKeys()	func diagnosisKeys() async throws -> [ENTemporaryExposureKey]
c:objc(cs)ENManager(im)getDiagnosisKeysWithCompletionHandler:	024b677d4bb0b464ac83e80d8b37e4b5be3cd064386c840e87493c6ecf4ce7e5	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	getDiagnosisKeys(completionHandler:)	ENManager.getDiagnosisKeys(completionHandler:)	func getDiagnosisKeys(completionHandler: @escaping ([ENTemporaryExposureKey]?, (any Error)?) -> Void)
c:objc(cs)ENManager(im)getTestDiagnosisKeysWithCompletionHandler:	c3e82a6832773e249dba43023907ca087a215021682fe0db9f04682a1391dc6e	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	getTestDiagnosisKeys(completionHandler:)	ENManager.getTestDiagnosisKeys(completionHandler:)	func getTestDiagnosisKeys(completionHandler: @escaping ([ENTemporaryExposureKey]?, (any Error)?) -> Void)
c:objc(cs)ENManager(im)getTestDiagnosisKeysWithCompletionHandler:	6561a303ea1229c8d25b4ffe4a177c5d26f0fa5307687b4d41b09ad8a1fb8fd4	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	testDiagnosisKeys()	ENManager.testDiagnosisKeys()	func testDiagnosisKeys() async throws -> [ENTemporaryExposureKey]
c:objc(cs)ENManager(im)getUserTraveledWithCompletionHandler:	5742beaaae9f1f784810ae1beabffe2e689e827812e1f0d419321365f3d1f85e	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	getUserTraveled(completionHandler:)	ENManager.getUserTraveled(completionHandler:)	func getUserTraveled(completionHandler: @escaping (Bool, (any Error)?) -> Void)
c:objc(cs)ENManager(im)getUserTraveledWithCompletionHandler:	fb525ca4a878ba295a201ebdaca2753c578583178cf187a2615beb545e36ec56	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	userTraveled()	ENManager.userTraveled()	func userTraveled() async throws -> Bool
c:objc(cs)ENManager(im)preAuthorizeDiagnosisKeysWithCompletionHandler:	fdf6fab9d60ef9bd6286e1e5f9adc2d7c963a06392d2864882dabaa7a7315424	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	preAuthorizeDiagnosisKeys(completionHandler:)	ENManager.preAuthorizeDiagnosisKeys(completionHandler:)	func preAuthorizeDiagnosisKeys(completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ENManager(im)preAuthorizeDiagnosisKeysWithCompletionHandler:	84be23a2bb51a28fc7f32bae9680063ce2534293806df92b9d5032ac383084f5	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	preAuthorizeDiagnosisKeys()	ENManager.preAuthorizeDiagnosisKeys()	func preAuthorizeDiagnosisKeys() async throws
c:objc(cs)ENManager(im)requestPreAuthorizedDiagnosisKeysWithCompletionHandler:	d3454205763fd056f1a3abf7030b4a6b2654a1f82c0d903a44c8cfe8ddccc7fd	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	requestPreAuthorizedDiagnosisKeys(completionHandler:)	ENManager.requestPreAuthorizedDiagnosisKeys(completionHandler:)	func requestPreAuthorizedDiagnosisKeys(completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ENManager(im)requestPreAuthorizedDiagnosisKeysWithCompletionHandler:	d5544bf85389e66b872812b07474b6bd4fc8d3c67b0058f353ba03011a451ad9	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	requestPreAuthorizedDiagnosisKeys()	ENManager.requestPreAuthorizedDiagnosisKeys()	func requestPreAuthorizedDiagnosisKeys() async throws
c:objc(cs)ENManager(im)setExposureNotificationEnabled:completionHandler:	6af3e48d180859903f5c192ccfb23c9b1188e601f4c837771c5bbfcdfcb47ed0	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	1	swift.method	setExposureNotificationEnabled(_:)	ENManager.setExposureNotificationEnabled(_:)	func setExposureNotificationEnabled(_ enabled: Bool) async throws
c:objc(cs)ENManager(im)setExposureNotificationEnabled:completionHandler:	5d3c04b931b3e8e629464ae33ae73743e2ec094421f8c484e8def2b46996096b	reference/symbol-graphs/ExposureNotification.symbols.json	0	1	0	swift.method	setExposureNotificationEnabled(_:completionHandler:)	ENManager.setExposureNotificationEnabled(_:completionHandler:)	func setExposureNotificationEnabled(_ enabled: Bool, completionHandler: @escaping ((any Error)?) -> Void)
