precise	status	evidence	notes
s:19ExtensionFoundation03AppA0P	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionInitAndConfiguration	Protocol adopted by ProbeExtension.
s:19ExtensionFoundation03AppA0P13ConfigurationQa	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionAssociatedConfigurationType	Associatedtype inferred from configuration.
s:19ExtensionFoundation03AppA0P13configuration13ConfigurationQzvp	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionInitAndConfiguration	Reads configuration and calls accept.
s:19ExtensionFoundation03AppA0PAAE4mainyyKFZ	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionMainThrows	Throws ExtensionFoundationHostError.extensionProcessUnavailable.
s:19ExtensionFoundation03AppA0Pxycfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionInitAndConfiguration	Required init() on ProbeExtension.
s:19ExtensionFoundation03AppA13ConfigurationP	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionConfigurationProtocolWitness	Existential AppExtensionConfiguration.
s:19ExtensionFoundation03AppA13ConfigurationP6accept10connectionSbSo15NSXPCConnectionC_tF	implemented	test:full/extensionfoundation/tests/agent/AppExtensionProtocolTests.swift#testAppExtensionConfigurationProtocolWitness	Protocol accept witness returns false.
s:19ExtensionFoundation03AppA5PointV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointEqualityAndInequality	Value type constructed via Definition.
s:19ExtensionFoundation03AppA5PointV10DefinitionV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointBuilderTests.swift#testDefinitionBuildBlockNameOnly	Result builder type.
s:19ExtensionFoundation03AppA5PointV10DefinitionV10buildBlockyA2C4NameV_xxQptRvzAC9AttributeRzlFZ	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointBuilderTests.swift#testDefinitionBuildBlockAllAttributes	Name plus UI/security/scope pack.
s:19ExtensionFoundation03AppA5PointV10IdentifierV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testAppExtensionPointIdentifierSystemName	System identifier value type.
s:19ExtensionFoundation03AppA5PointV10IdentifierV4host4nameAEs12StaticStringV_AItcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testAppExtensionPointIdentifierHostAndName	Host bundle plus point name.
s:19ExtensionFoundation03AppA5PointV10IdentifierVyAEs12StaticStringVcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testAppExtensionPointIdentifierSystemName	init(_:) for system points.
s:19ExtensionFoundation03AppA5PointV10identifierACs12StaticStringV_tKcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointInitLooksUpDefinition	Looks up a Definition-registered name.
s:19ExtensionFoundation03AppA5PointV13UserInterfaceV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testUserInterfaceDefaultIsTrue	UserInterface attribute type.
s:19ExtensionFoundation03AppA5PointV13UserInterfaceV5valueSbvp	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testUserInterfaceExplicitFalse	let value: Bool.
s:19ExtensionFoundation03AppA5PointV13UserInterfaceVyAESbcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testUserInterfaceDefaultIsTrue	Default init value is true.
s:19ExtensionFoundation03AppA5PointV16EnhancedSecurityV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testEnhancedSecurityDefaultIsTrue	EnhancedSecurity attribute type.
s:19ExtensionFoundation03AppA5PointV16EnhancedSecurityVyAESbcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testEnhancedSecurityExplicitFalse	Default init value is true; false stored.
s:19ExtensionFoundation03AppA5PointV2IDa	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointIDTypealias	typealias ID = String.
s:19ExtensionFoundation03AppA5PointV2eeoiySbAC_ACtFZ	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointEqualityAndInequality	Equal names compare equal.
s:19ExtensionFoundation03AppA5PointV2idSSvp	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointIDTypealias	id equals the Definition name.
s:19ExtensionFoundation03AppA5PointV4BindV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointBuilderTests.swift#testBindBuildBlockSystemIdentifier	Bind result builder type.
s:19ExtensionFoundation03AppA5PointV4BindV10buildBlockyA2C10IdentifierVFZ	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointBuilderTests.swift#testBindBuildBlockHostIdentifier	Host/name composes id with slash.
s:19ExtensionFoundation03AppA5PointV4NameV	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testAppExtensionPointNameStoresStaticString	Name value type.
s:19ExtensionFoundation03AppA5PointV4NameVyAEs12StaticStringVcfc	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointAttributeTests.swift#testAppExtensionPointNameEmptyString	init(_:) stores StaticString.
s:19ExtensionFoundation03AppA5PointV4hash4intoys6HasherVz_tF	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointValueTests.swift#testAppExtensionPointHashableAgreesWithEquality	hash(into:) agrees for equal points.
s:19ExtensionFoundation03AppA5PointV5ErrorO	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointErrorTests.swift#testAppExtensionPointErrorCases	Error enum; table-driven cases.
s:19ExtensionFoundation03AppA5PointV5ErrorO011unspecifiedcaD4NameyA2EmF	implemented	test:full/extensionfoundation/tests/agent/AppExtensionPointErrorTests.swift#testAppExtensionPointErrorCases	case unspecifiedAppExtensionPointName.
