precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:objc(cs)EXAppExtensionBrowserViewController	swift.class	["EXAppExtensionBrowserViewController"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(cs)EXHostViewController	swift.class	["EXHostViewController"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22	["/ABIRoot/children/22"]
c:objc(cs)EXHostViewController(im)makeXPCConnectionWithError:	swift.method	["EXHostViewController","makeXPCConnection()"]	unmatched	none	0	0		[]
c:objc(cs)EXHostViewController(py)delegate	swift.property	["EXHostViewController","delegate"]	unmatched	none	0	0		[]
c:objc(cs)EXHostViewController(py)placeholderView	swift.property	["EXHostViewController","placeholderView"]	unmatched	none	0	0		[]
c:objc(pl)EXHostViewControllerDelegate	swift.protocol	["EXHostViewControllerDelegate"]	unmatched	none	0	0		[]
c:objc(pl)EXHostViewControllerDelegate(im)hostViewControllerDidActivate:	swift.method	["EXHostViewControllerDelegate","hostViewControllerDidActivate(_:)"]	unmatched	none	0	0		[]
c:objc(pl)EXHostViewControllerDelegate(im)hostViewControllerWillDeactivate:error:	swift.method	["EXHostViewControllerDelegate","hostViewControllerWillDeactivate(_:error:)"]	unmatched	none	0	0		[]
s:12ExtensionKit012PrimitiveAppA5SceneV	swift.struct	["PrimitiveAppExtensionScene"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20	["/ABIRoot/children/20"]
s:12ExtensionKit012PrimitiveAppA5SceneV16debugDescriptionSSvp	swift.property	["PrimitiveAppExtensionScene","debugDescription"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/3	["/ABIRoot/children/20/children/3"]
s:12ExtensionKit012PrimitiveAppA5SceneV2id7content12onConnectionACSS_xycSbSo15NSXPCConnectionCctc7SwiftUI4ViewRzlufc	swift.init	["PrimitiveAppExtensionScene","init(id:content:onConnection:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0	["/ABIRoot/children/20/children/0"]
s:12ExtensionKit012PrimitiveAppA5SceneV4Bodya	swift.typealias	["PrimitiveAppExtensionScene","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/2	["/ABIRoot/children/20/children/2"]
s:12ExtensionKit012PrimitiveAppA5SceneV4bodys5NeverOvp	swift.property	["PrimitiveAppExtensionScene","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/1	["/ABIRoot/children/20/children/1"]
s:12ExtensionKit03AppA12SceneBuilderV	swift.struct	["AppExtensionSceneBuilder"]	exact-usr	exact-usr	1	1	/ABIRoot/children/21	["/ABIRoot/children/21"]
