precise	kind	title	path	declaration
c:objc(cs)EXAppExtensionBrowserViewController	swift.class	EXAppExtensionBrowserViewController	EXAppExtensionBrowserViewController	@MainActor class EXAppExtensionBrowserViewController
c:objc(cs)EXHostViewController	swift.class	EXHostViewController	EXHostViewController	@MainActor class EXHostViewController
c:objc(cs)EXHostViewController(im)makeXPCConnectionWithError:	swift.method	makeXPCConnection()	EXHostViewController.makeXPCConnection()	@MainActor func makeXPCConnection() throws -> NSXPCConnection
c:objc(cs)EXHostViewController(py)delegate	swift.property	delegate	EXHostViewController.delegate	@MainActor weak var delegate: (any EXHostViewControllerDelegate)? { get set }
c:objc(cs)EXHostViewController(py)placeholderView	swift.property	placeholderView	EXHostViewController.placeholderView	@MainActor var placeholderView: UIView { get set }
c:objc(pl)EXHostViewControllerDelegate	swift.protocol	EXHostViewControllerDelegate	EXHostViewControllerDelegate	protocol EXHostViewControllerDelegate : NSObjectProtocol
c:objc(pl)EXHostViewControllerDelegate(im)hostViewControllerDidActivate:	swift.method	hostViewControllerDidActivate(_:)	EXHostViewControllerDelegate.hostViewControllerDidActivate(_:)	@MainActor optional func hostViewControllerDidActivate(_ viewController: EXHostViewController)
c:objc(pl)EXHostViewControllerDelegate(im)hostViewControllerWillDeactivate:error:	swift.method	hostViewControllerWillDeactivate(_:error:)	EXHostViewControllerDelegate.hostViewControllerWillDeactivate(_:error:)	@MainActor optional func hostViewControllerWillDeactivate(_ viewController: EXHostViewController, error: (any Error)?)
s:12ExtensionKit012PrimitiveAppA5SceneV	swift.struct	PrimitiveAppExtensionScene	PrimitiveAppExtensionScene	@MainActor @preconcurrency struct PrimitiveAppExtensionScene
s:12ExtensionKit012PrimitiveAppA5SceneV16debugDescriptionSSvp	swift.property	debugDescription	PrimitiveAppExtensionScene.debugDescription	@MainActor @preconcurrency var debugDescription: String { get }
s:12ExtensionKit012PrimitiveAppA5SceneV2id7content12onConnectionACSS_xycSbSo15NSXPCConnectionCctc7SwiftUI4ViewRzlufc	swift.init	init(id:content:onConnection:)	PrimitiveAppExtensionScene.init(id:content:onConnection:)	@MainActor @preconcurrency init<Content>(id: String, @ViewBuilder content: @escaping () -> Content, onConnection: @escaping (NSXPCConnection) -> Bool = { _ in false }) where Content : View
s:12ExtensionKit012PrimitiveAppA5SceneV4Bodya	swift.typealias	PrimitiveAppExtensionScene.Body	PrimitiveAppExtensionScene.Body	typealias Body = Never
s:12ExtensionKit012PrimitiveAppA5SceneV4bodys5NeverOvp	swift.property	body	PrimitiveAppExtensionScene.body	@MainActor @preconcurrency var body: Never { get }
s:12ExtensionKit03AppA12SceneBuilderV	swift.struct	AppExtensionSceneBuilder	AppExtensionSceneBuilder	@MainActor @preconcurrency @resultBuilder struct AppExtensionSceneBuilder
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrxAA0caD0RzlFZ	swift.type.method	buildBlock(_:)	AppExtensionSceneBuilder.buildBlock(_:)	@MainActor @preconcurrency static func buildBlock<Content>(_ content: Content) -> some AppExtensionScene where Content : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_q3_q4_q5_q6_q7_tAA0caD0RzAaER_AaER0_AaER1_AaER2_AaER3_AaER4_AaER5_AaER6_AaER7_r8_lFZ	swift.type.method	buildBlock(_:_:_:_:_:_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4, C5, C6, C7, C8, C9>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4, _ c5: C5, _ c6: C6, _ c7: C7, _ c8: C8, _ c9: C9) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene, C5 : AppExtensionScene, C6 : AppExtensionScene, C7 : AppExtensionScene, C8 : AppExtensionScene, C9 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_q3_q4_q5_q6_tAA0caD0RzAaER_AaER0_AaER1_AaER2_AaER3_AaER4_AaER5_AaER6_r7_lFZ	swift.type.method	buildBlock(_:_:_:_:_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4, C5, C6, C7, C8>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4, _ c5: C5, _ c6: C6, _ c7: C7, _ c8: C8) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene, C5 : AppExtensionScene, C6 : AppExtensionScene, C7 : AppExtensionScene, C8 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_q3_q4_q5_tAA0caD0RzAaER_AaER0_AaER1_AaER2_AaER3_AaER4_AaER5_r6_lFZ	swift.type.method	buildBlock(_:_:_:_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4, C5, C6, C7>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4, _ c5: C5, _ c6: C6, _ c7: C7) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene, C5 : AppExtensionScene, C6 : AppExtensionScene, C7 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_q3_q4_tAA0caD0RzAaER_AaER0_AaER1_AaER2_AaER3_AaER4_r5_lFZ	swift.type.method	buildBlock(_:_:_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4, C5, C6>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4, _ c5: C5, _ c6: C6) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene, C5 : AppExtensionScene, C6 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_q3_tAA0caD0RzAaER_AaER0_AaER1_AaER2_AaER3_r4_lFZ	swift.type.method	buildBlock(_:_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4, C5>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4, _ c5: C5) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene, C5 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_q2_tAA0caD0RzAaER_AaER0_AaER1_AaER2_r3_lFZ	swift.type.method	buildBlock(_:_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3, C4>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3, _ c4: C4) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene, C4 : AppExtensionScene\n
s:12ExtensionKit03AppA12SceneBuilderV10buildBlockyQrx_q_q0_q1_tAA0caD0RzAaER_AaER0_AaER1_r2_lFZ	swift.type.method	buildBlock(_:_:_:_:)	AppExtensionSceneBuilder.buildBlock(_:_:_:_:)	@MainActor @preconcurrency static func buildBlock<C0, C1, C2, C3>(_ c0: C0, _ c1: C1, _ c2: C2, _ c3: C3) -> some AppExtensionScene where C0 : AppExtensionScene, C1 : AppExtensionScene, C2 : AppExtensionScene, C3 : AppExtensionScene\n
