precise	status	evidence	notes
c:@E@EABluetoothAccessoryPickerErrorCode	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorCodes	
c:@E@EABluetoothAccessoryPickerErrorCode@EABluetoothAccessoryPickerAlreadyConnected	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorCodes	
c:@E@EABluetoothAccessoryPickerErrorCode@EABluetoothAccessoryPickerResultCancelled	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorCodes	
c:@E@EABluetoothAccessoryPickerErrorCode@EABluetoothAccessoryPickerResultFailed	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorCodes	
c:@E@EABluetoothAccessoryPickerErrorCode@EABluetoothAccessoryPickerResultNotFound	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorCodes	
c:@E@EAWiFiUnconfiguredAccessoryBrowserState	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryBrowserStateRawValues	
c:@E@EAWiFiUnconfiguredAccessoryBrowserState@EAWiFiUnconfiguredAccessoryBrowserStateConfiguring	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryBrowserStateRawValues	
c:@E@EAWiFiUnconfiguredAccessoryBrowserState@EAWiFiUnconfiguredAccessoryBrowserStateSearching	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryBrowserStateRawValues	
c:@E@EAWiFiUnconfiguredAccessoryBrowserState@EAWiFiUnconfiguredAccessoryBrowserStateStopped	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryBrowserStateRawValues	
c:@E@EAWiFiUnconfiguredAccessoryBrowserState@EAWiFiUnconfiguredAccessoryBrowserStateWiFiUnavailable	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryBrowserStateRawValues	
c:@E@EAWiFiUnconfiguredAccessoryConfigurationStatus	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryConfigurationStatusRawValues	
c:@E@EAWiFiUnconfiguredAccessoryConfigurationStatus@EAWiFiUnconfiguredAccessoryConfigurationStatusFailed	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryConfigurationStatusRawValues	
c:@E@EAWiFiUnconfiguredAccessoryConfigurationStatus@EAWiFiUnconfiguredAccessoryConfigurationStatusSuccess	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryConfigurationStatusRawValues	
c:@E@EAWiFiUnconfiguredAccessoryConfigurationStatus@EAWiFiUnconfiguredAccessoryConfigurationStatusUserCancelledConfiguration	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryConfigurationStatusRawValues	
c:@E@EAWiFiUnconfiguredAccessoryProperties	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryPropertiesMembers	
c:@E@EAWiFiUnconfiguredAccessoryProperties@EAWiFiUnconfiguredAccessoryPropertySupportsAirPlay	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryPropertiesMembers	
c:@E@EAWiFiUnconfiguredAccessoryProperties@EAWiFiUnconfiguredAccessoryPropertySupportsAirPrint	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryPropertiesMembers	
c:@E@EAWiFiUnconfiguredAccessoryProperties@EAWiFiUnconfiguredAccessoryPropertySupportsHomeKit	implemented	test:full/externalaccessory/tests/agent/EAWiFiEnumTests.swift#testEAWiFiUnconfiguredAccessoryPropertiesMembers	
c:@EAAccessoryDidConnectNotification	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryNotificationNames	
c:@EAAccessoryDidDisconnectNotification	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryNotificationNames	
c:@EAAccessoryKey	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryNotificationKeys	
c:@EAAccessorySelectedKey	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryNotificationKeys	
c:@EABluetoothAccessoryPickerErrorDomain	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerErrorDomain	
c:@Ea@EAConnectionIDNone@EAConnectionIDNone	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAConnectionIDNone	
c:@T@EABluetoothAccessoryPickerCompletion	implemented	test:full/externalaccessory/tests/agent/EABluetoothAccessoryPickerErrorTests.swift#testEABluetoothAccessoryPickerCompletion	
c:objc(cs)EAAccessory	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)connected	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)connectionID	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)delegate	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryDelegateDisconnect	
c:objc(cs)EAAccessory(py)dockType	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)firmwareRevision	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)hardwareRevision	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)manufacturer	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)modelNumber	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)name	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)protocolStrings	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessory(py)serialNumber	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryHostPropertyStorage	
c:objc(cs)EAAccessoryManager	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerShared	
c:objc(cs)EAAccessoryManager(cm)sharedAccessoryManager	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerShared	
c:objc(cs)EAAccessoryManager(im)registerForLocalNotifications	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerNotificationRegistration	
c:objc(cs)EAAccessoryManager(im)showBluetoothAccessoryPickerWithNameFilter:completion:	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerPickerFailClosed	
c:objc(cs)EAAccessoryManager(im)unregisterForLocalNotifications	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerNotificationRegistration	
c:objc(cs)EAAccessoryManager(py)connectedAccessories	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEAAccessoryManagerConnectedAccessoriesEmpty	
c:objc(cs)EASession	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionPublicInitFailClosed	
c:objc(cs)EASession(im)initWithAccessory:forProtocol:	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionPublicInitFailClosed	
c:objc(cs)EASession(py)accessory	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionHostPropertiesNilStreams	
c:objc(cs)EASession(py)inputStream	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionHostPropertiesNilStreams	
c:objc(cs)EASession(py)outputStream	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionHostPropertiesNilStreams	
c:objc(cs)EASession(py)protocolString	implemented	test:full/externalaccessory/tests/agent/EAAccessoryManagerTests.swift#testEASessionHostPropertiesNilStreams	
c:objc(cs)EAWiFiUnconfiguredAccessory	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)macAddress	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)manufacturer	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)model	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)name	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)properties	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessory(py)ssid	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryEmptyProperties	
c:objc(cs)EAWiFiUnconfiguredAccessoryBrowser	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryBrowserInit	
c:objc(cs)EAWiFiUnconfiguredAccessoryBrowser(im)configureAccessory:withConfigurationUIOnViewController:	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryBrowserConfigureFailClosed	
c:objc(cs)EAWiFiUnconfiguredAccessoryBrowser(im)initWithDelegate:queue:	implemented	test:full/externalaccessory/tests/agent/EAWiFiBrowserTests.swift#testEAWiFiUnconfiguredAccessoryBrowserInit	
