category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/ExternalAccessory.framework/ExternalAccessory.tbd	12030	3d4a14b1d65136141e1712ee419b1554ee3fa9398e9fe7da6b6456058e107f0a
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/EAAccessory.h	2548	053149dcd7d83813689e4ae42e4147ee17b697746d554dcc426572ff8992f6d6
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/EAAccessoryManager.h	2231	31ba524e920c85f3e24d893720d82b3502e140dde7f37bcc4806de0d192d558a
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/EASession.h	1247	cfbce56e236e57a564193445ad630419b914e7fa0c67656873c05f7aabde6652
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/EAWiFiUnconfiguredAccessory.h	2292	3fd9f930b68678a6aac0942ec6cf515a3b8adba2a4d33e02598bb1df2e604f37
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/EAWiFiUnconfiguredAccessoryBrowser.h	9338	44586938344ad1587b988dfb4de319f9376572aa38bd96ed1cf1083bd6202313
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/ExternalAccessory.apinotes	133	77efed9e3a55fc26b50d8e7830d502c2c59d83cd6720db0d3a94437b5c52a9ad
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/ExternalAccessory.h	425	0d5f5aad19ed6d97103fa45724fe23f25d88d43d45f5cad28da6fa6d8800dc23
header	System/Library/Frameworks/ExternalAccessory.framework/Headers/ExternalAccessoryDefines.h	513	e1a8132e71b753cfa1db427d112048e3dfd3ec0b9f48c30004c740c53669f448
modulemap	System/Library/Frameworks/ExternalAccessory.framework/Modules/module.modulemap	131	ef1367a5eb638b998be41fe8739721620340d9b727310f167f173ee353b21e94
