precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@M@FamilyControls@E@FamilyControlsMember	swift.enum	["FamilyControlsMember"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18	["/ABIRoot/children/18"]
c:@M@FamilyControls@E@FamilyControlsMember@FamilyControlsMemberChild	swift.enum.case	["FamilyControlsMember","child"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/0	["/ABIRoot/children/18/children/0"]
c:@M@FamilyControls@E@FamilyControlsMember@FamilyControlsMemberIndividual	swift.enum.case	["FamilyControlsMember","individual"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/1	["/ABIRoot/children/18/children/1"]
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.type.property	["FamilyControlsError","errorDomain"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.property	["FamilyControlsError","errorUserInfo"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.property	["FamilyControlsError","errorCode"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.property	["FamilyControlsError","helpAnchor"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.property	["FamilyControlsError","failureReason"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:14FamilyControls0aB5ErrorO	swift.property	["FamilyControlsError","recoverySuggestion"]	unmatched	none	0	0		[]
s:14FamilyControls0A14ActivityPickerV	swift.struct	["FamilyActivityPicker"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17	["/ABIRoot/children/17"]
s:14FamilyControls0A14ActivityPickerV10headerText06footerF09selectionACSSSg_AG7SwiftUI7BindingVyAA0aC9SelectionVGtcfc	swift.init	["FamilyActivityPicker","init(headerText:footerText:selection:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17/children/1	["/ABIRoot/children/17/children/1"]
s:14FamilyControls0A14ActivityPickerV4Bodya	swift.typealias	["FamilyActivityPicker","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17/children/3	["/ABIRoot/children/17/children/3"]
s:14FamilyControls0A14ActivityPickerV4bodyQrvp	swift.property	["FamilyActivityPicker","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17/children/2	["/ABIRoot/children/17/children/2"]
s:14FamilyControls0A14ActivityPickerV9selectionAC7SwiftUI7BindingVyAA0aC9SelectionVG_tcfc	swift.init	["FamilyActivityPicker","init(selection:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/17/children/0	["/ABIRoot/children/17/children/0"]
s:14FamilyControls0A16ActivityIconViewV	swift.struct	["FamilyActivityIconView"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15	["/ABIRoot/children/15"]
s:14FamilyControls0A16ActivityIconViewV4Bodya	swift.typealias	["FamilyActivityIconView","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/1	["/ABIRoot/children/15/children/1"]
s:14FamilyControls0A16ActivityIconViewV4bodyQrvp	swift.property	["FamilyActivityIconView","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/15/children/0	["/ABIRoot/children/15/children/0"]
s:14FamilyControls0A17ActivitySelectionV	swift.struct	["FamilyActivitySelection"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16	["/ABIRoot/children/16"]
s:14FamilyControls0A17ActivitySelectionV10categoriesShy15ManagedSettings0C8CategoryVGvp	swift.property	["FamilyActivitySelection","categories"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/5	["/ABIRoot/children/16/children/5"]
s:14FamilyControls0A17ActivitySelectionV10webDomainsShy15ManagedSettings9WebDomainVGvp	swift.property	["FamilyActivitySelection","webDomains"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/6	["/ABIRoot/children/16/children/6"]
s:14FamilyControls0A17ActivitySelectionV12applicationsShy15ManagedSettings11ApplicationVGvp	swift.property	["FamilyActivitySelection","applications"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/4	["/ABIRoot/children/16/children/4"]
s:14FamilyControls0A17ActivitySelectionV14categoryTokensShy15ManagedSettings5TokenVyAE0C8CategoryVGGvp	swift.property	["FamilyActivitySelection","categoryTokens"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/2	["/ABIRoot/children/16/children/2"]
s:14FamilyControls0A17ActivitySelectionV15webDomainTokensShy15ManagedSettings5TokenVyAE03WebF0VGGvp	swift.property	["FamilyActivitySelection","webDomainTokens"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/3	["/ABIRoot/children/16/children/3"]
s:14FamilyControls0A17ActivitySelectionV17applicationTokensShy15ManagedSettings5TokenVyAE11ApplicationVGGvp	swift.property	["FamilyActivitySelection","applicationTokens"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/1	["/ABIRoot/children/16/children/1"]
s:14FamilyControls0A17ActivitySelectionV21includeEntireCategoryACSb_tcfc	swift.init	["FamilyActivitySelection","init(includeEntireCategory:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/7	["/ABIRoot/children/16/children/7"]
s:14FamilyControls0A17ActivitySelectionV21includeEntireCategorySbvp	swift.property	["FamilyActivitySelection","includeEntireCategory"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/0	["/ABIRoot/children/16/children/0"]
s:14FamilyControls0A17ActivitySelectionV2eeoiySbAC_ACtFZ	swift.func.op	["FamilyActivitySelection","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/9	["/ABIRoot/children/16/children/9"]
s:14FamilyControls0A17ActivitySelectionV4fromACs7Decoder_p_tKcfc	swift.init	["FamilyActivitySelection","init(from:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/11	["/ABIRoot/children/16/children/11"]
s:14FamilyControls0A17ActivitySelectionV6encode2toys7Encoder_p_tKF	swift.method	["FamilyActivitySelection","encode(to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/10	["/ABIRoot/children/16/children/10"]
s:14FamilyControls0A17ActivitySelectionVACycfc	swift.init	["FamilyActivitySelection","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/8	["/ABIRoot/children/16/children/8"]
s:14FamilyControls0A17ActivityTitleViewV	swift.struct	["FamilyActivityTitleView"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14	["/ABIRoot/children/14"]
s:14FamilyControls0A17ActivityTitleViewV4Bodya	swift.typealias	["FamilyActivityTitleView","Body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/1	["/ABIRoot/children/14/children/1"]
s:14FamilyControls0A17ActivityTitleViewV4bodyQrvp	swift.property	["FamilyActivityTitleView","body"]	exact-usr	exact-usr	1	1	/ABIRoot/children/14/children/0	["/ABIRoot/children/14/children/0"]
s:14FamilyControls0aB5ErrorO	swift.enum	["FamilyControlsError"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12	["/ABIRoot/children/12"]
s:14FamilyControls0aB5ErrorO07networkC0yA2CmF	swift.enum.case	["FamilyControlsError","networkError"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/6	["/ABIRoot/children/12/children/6"]
s:14FamilyControls0aB5ErrorO10restrictedyA2CmF	swift.enum.case	["FamilyControlsError","restricted"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/0	["/ABIRoot/children/12/children/0"]
s:14FamilyControls0aB5ErrorO11unavailableyA2CmF	swift.enum.case	["FamilyControlsError","unavailable"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/1	["/ABIRoot/children/12/children/1"]
s:14FamilyControls0aB5ErrorO13errorUserInfoSDySSypGvp	swift.property	["FamilyControlsError","errorUserInfo"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/11	["/ABIRoot/children/12/children/11"]
s:14FamilyControls0aB5ErrorO15invalidArgumentyA2CmF	swift.enum.case	["FamilyControlsError","invalidArgument"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/3	["/ABIRoot/children/12/children/3"]
s:14FamilyControls0aB5ErrorO16errorDescriptionSSSgvp	swift.property	["FamilyControlsError","errorDescription"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/8	["/ABIRoot/children/12/children/8"]
s:14FamilyControls0aB5ErrorO18invalidAccountTypeyA2CmF	swift.enum.case	["FamilyControlsError","invalidAccountType"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/2	["/ABIRoot/children/12/children/2"]
s:14FamilyControls0aB5ErrorO21authorizationCanceledyA2CmF	swift.enum.case	["FamilyControlsError","authorizationCanceled"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/5	["/ABIRoot/children/12/children/5"]
s:14FamilyControls0aB5ErrorO21authorizationConflictyA2CmF	swift.enum.case	["FamilyControlsError","authorizationConflict"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/4	["/ABIRoot/children/12/children/4"]
s:14FamilyControls0aB5ErrorO31authenticationMethodUnavailableyA2CmF	swift.enum.case	["FamilyControlsError","authenticationMethodUnavailable"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/7	["/ABIRoot/children/12/children/7"]
s:14FamilyControls0aB5ErrorO8RawValuea	swift.typealias	["FamilyControlsError","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/12	["/ABIRoot/children/12/children/12"]
s:14FamilyControls0aB5ErrorO8rawValueACSgSi_tcfc	swift.init	["FamilyControlsError","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/9	["/ABIRoot/children/12/children/9"]
s:14FamilyControls0aB5ErrorO8rawValueSivp	swift.property	["FamilyControlsError","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/10	["/ABIRoot/children/12/children/10"]
s:14FamilyControls0aB6MemberO11descriptionSSvp	swift.property	["FamilyControlsMember","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/2	["/ABIRoot/children/18/children/2"]
s:14FamilyControls0aB6MemberO8RawValuea	swift.typealias	["FamilyControlsMember","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/4	["/ABIRoot/children/18/children/4"]
s:14FamilyControls0aB6MemberO8rawValueACSgSi_tcfc	swift.init	["FamilyControlsMember","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/3	["/ABIRoot/children/18/children/3"]
s:14FamilyControls0aB6MemberO8rawValueSivp	swift.property	["FamilyControlsMember","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/18/children/5	["/ABIRoot/children/18/children/5"]
s:14FamilyControls19AuthorizationCenterC	swift.class	["AuthorizationCenter"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19	["/ABIRoot/children/19"]
s:14FamilyControls19AuthorizationCenterC06revokeC017completionHandleryys6ResultOyyts5Error_pGc_tF	swift.method	["AuthorizationCenter","revokeAuthorization(completionHandler:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/5	["/ABIRoot/children/19/children/5"]
s:14FamilyControls19AuthorizationCenterC07requestC017completionHandleryys6ResultOyyts5Error_pGc_tF	swift.method	["AuthorizationCenter","requestAuthorization(completionHandler:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/3	["/ABIRoot/children/19/children/3"]
s:14FamilyControls19AuthorizationCenterC07requestC03foryAA0aB6MemberO_tYaKF	swift.method	["AuthorizationCenter","requestAuthorization(for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/4	["/ABIRoot/children/19/children/4"]
s:14FamilyControls19AuthorizationCenterC19authorizationStatusAA0cF0Ovp	swift.property	["AuthorizationCenter","authorizationStatus"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/1	["/ABIRoot/children/19/children/1"]
s:14FamilyControls19AuthorizationCenterC20$authorizationStatus7Combine9PublishedV9PublisherVyAA0cF0O_Gvp	swift.property	["AuthorizationCenter","$authorizationStatus"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/2	["/ABIRoot/children/19/children/2"]
s:14FamilyControls19AuthorizationCenterC25ObjectWillChangePublishera	swift.typealias	["AuthorizationCenter","ObjectWillChangePublisher"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/6	["/ABIRoot/children/19/children/6"]
s:14FamilyControls19AuthorizationCenterC6sharedACvpZ	swift.type.property	["AuthorizationCenter","shared"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19/children/0	["/ABIRoot/children/19/children/0"]
s:14FamilyControls19AuthorizationStatusO	swift.enum	["AuthorizationStatus"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13	["/ABIRoot/children/13"]
s:14FamilyControls19AuthorizationStatusO11descriptionSSvp	swift.property	["AuthorizationStatus","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/3	["/ABIRoot/children/13/children/3"]
s:14FamilyControls19AuthorizationStatusO13notDeterminedyA2CmF	swift.enum.case	["AuthorizationStatus","notDetermined"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/0	["/ABIRoot/children/13/children/0"]
s:14FamilyControls19AuthorizationStatusO6deniedyA2CmF	swift.enum.case	["AuthorizationStatus","denied"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/1	["/ABIRoot/children/13/children/1"]
s:14FamilyControls19AuthorizationStatusO8RawValuea	swift.typealias	["AuthorizationStatus","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/5	["/ABIRoot/children/13/children/5"]
s:14FamilyControls19AuthorizationStatusO8approvedyA2CmF	swift.enum.case	["AuthorizationStatus","approved"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/2	["/ABIRoot/children/13/children/2"]
s:14FamilyControls19AuthorizationStatusO8rawValueACSgSi_tcfc	swift.init	["AuthorizationStatus","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/4	["/ABIRoot/children/13/children/4"]
s:14FamilyControls19AuthorizationStatusO8rawValueSivp	swift.property	["AuthorizationStatus","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/13/children/6	["/ABIRoot/children/13/children/6"]
s:7Combine16ObservableObjectPA2A0bC9PublisherC0c10WillChangeD0RtzrlE06objecteF0AEvp::SYNTHESIZED::s:14FamilyControls19AuthorizationCenterC	swift.property	["AuthorizationCenter","objectWillChange"]	unmatched	none	0	0		[]
