precise	status	evidence	notes
c:@E@NSFileProviderContentPolicy	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderContentPolicy@NSFileProviderContentPolicyDownloadLazilyAndEvictOnRemoteUpdate	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderContentPolicy@NSFileProviderContentPolicyInherited	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderCreateItemOptions	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderCreateItemOptions@NSFileProviderCreateItemDeletionConflicted	declared	full/fileprovider/FileProviderOptionSets.swift	Compiles in the isolated Foundation-only host gate; behavior not fully asserted
c:@E@NSFileProviderCreateItemOptions@NSFileProviderCreateItemMayAlreadyExist	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderDeleteItemOptions	declared	full/fileprovider/FileProviderOptionSets.swift	Compiles in the isolated Foundation-only host gate; behavior not fully asserted
c:@E@NSFileProviderDeleteItemOptions@NSFileProviderDeleteItemRecursive	declared	full/fileprovider/FileProviderOptionSets.swift	Compiles in the isolated Foundation-only host gate; behavior not fully asserted
c:@E@NSFileProviderDomainRemovalMode	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderDomainRemovalMode@NSFileProviderDomainRemovalModeRemoveAll	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderDomainTestingModes	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderDomainTestingModes@NSFileProviderDomainTestingModeAlwaysEnabled	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderDomainTestingModes@NSFileProviderDomainTestingModeInteractive	declared	full/fileprovider/FileProviderDomain.swift	Compiles in the isolated Foundation-only host gate; behavior not fully asserted
c:@E@NSFileProviderErrorCode	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorApplicationExtensionNotFound	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorCannotSynchronize	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorDeletionRejected	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorDirectoryNotEmpty	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorDomainDisabled	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorExcludedFromSync	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorFilenameCollision	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorInsufficientQuota	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorLocalVersionConflictingWithServer	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorNoSuchItem	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorNonEvictable	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorNonEvictableChildren	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorNotAuthenticated	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorProviderDomainNotFound	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
c:@E@NSFileProviderErrorCode@NSFileProviderErrorProviderDomainTemporarilyUnavailable	implemented	tests/agent/FileProviderRuntime.swift	Focused runtime evidence in tests/agent/FileProviderRuntime.swift
