precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@FPUIExtensionErrorCode	swift.enum	["FPUIExtensionErrorCode"]	unmatched	none	0	0		[]
c:@E@FPUIExtensionErrorCode@FPUIExtensionErrorCodeFailed	swift.enum.case	["FPUIExtensionErrorCode","failed"]	unmatched	none	0	0		[]
c:@E@FPUIExtensionErrorCode@FPUIExtensionErrorCodeUserCancelled	swift.enum.case	["FPUIExtensionErrorCode","userCancelled"]	unmatched	none	0	0		[]
c:@FPUIErrorDomain	swift.var	["FPUIErrorDomain"]	unmatched	none	0	0		[]
c:@T@FPUIActionIdentifier	swift.struct	["FPUIActionIdentifier"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionContext	swift.class	["FPUIActionExtensionContext"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(cs)FPUIActionExtensionContext(im)cancelRequestWithError:	swift.method	["FPUIActionExtensionContext","cancelRequest(withError:)"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionContext(im)completeRequest	swift.method	["FPUIActionExtensionContext","completeRequest()"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionContext(py)domainIdentifier	swift.property	["FPUIActionExtensionContext","domainIdentifier"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionViewController	swift.class	["FPUIActionExtensionViewController"]	import-name	exported-import-name	1	1	/ABIRoot/children/2	["/ABIRoot/children/2"]
c:objc(cs)FPUIActionExtensionViewController(im)prepareForActionWithIdentifier:itemIdentifiers:	swift.method	["FPUIActionExtensionViewController","prepare(forAction:itemIdentifiers:)"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionViewController(im)prepareForError:	swift.method	["FPUIActionExtensionViewController","prepare(forError:)"]	unmatched	none	0	0		[]
c:objc(cs)FPUIActionExtensionViewController(py)extensionContext	swift.property	["FPUIActionExtensionViewController","extensionContext"]	unmatched	none	0	0		[]
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@FPUIExtensionErrorCode	swift.func.op	["FPUIExtensionErrorCode","!=(_:_:)"]	unmatched	none	0	0		[]
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@T@FPUIActionIdentifier	swift.func.op	["FPUIActionIdentifier","!=(_:_:)"]	unmatched	none	0	0		[]
s:SYsSHRzSH8RawValueSYRpzrlE04hashB0Sivp::SYNTHESIZED::c:@E@FPUIExtensionErrorCode	swift.property	["FPUIExtensionErrorCode","hashValue"]	unmatched	none	0	0		[]
s:SYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@FPUIExtensionErrorCode	swift.method	["FPUIExtensionErrorCode","hash(into:)"]	unmatched	none	0	0		[]
s:So20FPUIActionIdentifiera8rawValueABSS_tcfc	swift.init	["FPUIActionIdentifier","init(rawValue:)"]	unmatched	none	0	0		[]
s:So20FPUIActionIdentifierayABSScfc	swift.init	["FPUIActionIdentifier","init(_:)"]	unmatched	none	0	0		[]
s:So22FPUIExtensionErrorCodeV8rawValueABSgSu_tcfc	swift.init	["FPUIExtensionErrorCode","init(rawValue:)"]	unmatched	none	0	0		[]
s:s20_SwiftNewtypeWrapperPsSHRzSH8RawValueSYRpzrlE04hashE0Sivp::SYNTHESIZED::c:@T@FPUIActionIdentifier	swift.property	["FPUIActionIdentifier","hashValue"]	unmatched	none	0	0		[]
s:s20_SwiftNewtypeWrapperPsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@T@FPUIActionIdentifier	swift.method	["FPUIActionIdentifier","hash(into:)"]	unmatched	none	0	0		[]
