precise	status	evidence	notes
c:@E@GCControllerPlayerIndex	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCControllerPlayerIndex@GCControllerPlayerIndex1	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCControllerPlayerIndex@GCControllerPlayerIndex2	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCControllerPlayerIndex@GCControllerPlayerIndex3	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCControllerPlayerIndex@GCControllerPlayerIndex4	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCControllerPlayerIndex@GCControllerPlayerIndexUnset	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDeviceBatteryState	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDeviceBatteryState@GCDeviceBatteryStateCharging	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDeviceBatteryState@GCDeviceBatteryStateDischarging	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDeviceBatteryState@GCDeviceBatteryStateFull	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDeviceBatteryState@GCDeviceBatteryStateUnknown	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDevicePhysicalInputElementChange	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDevicePhysicalInputElementChange@GCDevicePhysicalInputElementChanged	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDevicePhysicalInputElementChange@GCDevicePhysicalInputElementNoChange	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDevicePhysicalInputElementChange@GCDevicePhysicalInputElementUnknownChange	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDualSenseAdaptiveTriggerMode	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe; simulated device source on Linux
c:@E@GCDualSenseAdaptiveTriggerMode@GCDualSenseAdaptiveTriggerModeFeedback	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe
c:@E@GCDualSenseAdaptiveTriggerMode@GCDualSenseAdaptiveTriggerModeOff	implemented	tests/agent/GameControllerRuntime.swift	exercised by the agent runtime probe
