precise	status	evidence	notes
c:@CM@GameKit@@objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivity:handler:	implemented	test:full/gamekit/tests/agent/GKPlayerTests.swift#testGKAccessPointLocalState	family behavioral test
c:@CM@GameKit@@objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivityDefinitionID:handler:	implemented	test:full/gamekit/tests/agent/GKPlayerTests.swift#testGKAccessPointLocalState	family behavioral test
c:@E@GKAccessPointLocation	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKAccessPointLocation@GKAccessPointLocationBottomLeading	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKAccessPointLocation@GKAccessPointLocationBottomTrailing	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKAccessPointLocation@GKAccessPointLocationTopLeading	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKAccessPointLocation@GKAccessPointLocationTopTrailing	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKChallengeState	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKChallengeState@GKChallengeStateCompleted	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKChallengeState@GKChallengeStateDeclined	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKChallengeState@GKChallengeStateInvalid	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKChallengeState@GKChallengeStatePending	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKConnectionState	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKConnectionState@GKConnectionStateConnected	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKConnectionState@GKConnectionStateNotConnected	implemented	test:full/gamekit/tests/agent/GKEnumTests.swift#testGKEnumRawValues	table-driven enum raw values
c:@E@GKErrorCode	implemented	test:full/gamekit/tests/agent/GKErrorTests.swift#testGKErrorRawValues	table-driven GKError.Code raw values
c:@E@GKErrorCode@GKErrorAPINotAvailable	implemented	test:full/gamekit/tests/agent/GKErrorTests.swift#testGKErrorRawValues	table-driven GKError.Code raw values
