precise	kind	title	path	declaration
c:@CM@GameKit@@objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivity:handler:	swift.method	trigger(gameActivity:handler:)	GKAccessPoint.trigger(gameActivity:handler:)	@objc(triggerAccessPointWithGameActivity:handler:) dynamic func trigger(gameActivity: GKGameActivity, handler: (() -> Void)? = nil)
c:@CM@GameKit@@objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivityDefinitionID:handler:	swift.method	trigger(gameActivityDefinitionID:handler:)	GKAccessPoint.trigger(gameActivityDefinitionID:handler:)	@objc(triggerAccessPointWithGameActivityDefinitionID:handler:) dynamic func trigger(gameActivityDefinitionID: String, handler: (() -> Void)? = nil)
c:@E@GKAccessPointLocation	swift.enum	GKAccessPoint.Location	GKAccessPoint.Location	enum Location
c:@E@GKAccessPointLocation@GKAccessPointLocationBottomLeading	swift.enum.case	GKAccessPoint.Location.bottomLeading	GKAccessPoint.Location.bottomLeading	case bottomLeading
c:@E@GKAccessPointLocation@GKAccessPointLocationBottomTrailing	swift.enum.case	GKAccessPoint.Location.bottomTrailing	GKAccessPoint.Location.bottomTrailing	case bottomTrailing
c:@E@GKAccessPointLocation@GKAccessPointLocationTopLeading	swift.enum.case	GKAccessPoint.Location.topLeading	GKAccessPoint.Location.topLeading	case topLeading
c:@E@GKAccessPointLocation@GKAccessPointLocationTopTrailing	swift.enum.case	GKAccessPoint.Location.topTrailing	GKAccessPoint.Location.topTrailing	case topTrailing
c:@E@GKChallengeState	swift.enum	GKChallengeState	GKChallengeState	enum GKChallengeState
c:@E@GKChallengeState@GKChallengeStateCompleted	swift.enum.case	GKChallengeState.completed	GKChallengeState.completed	case completed
c:@E@GKChallengeState@GKChallengeStateDeclined	swift.enum.case	GKChallengeState.declined	GKChallengeState.declined	case declined
c:@E@GKChallengeState@GKChallengeStateInvalid	swift.enum.case	GKChallengeState.invalid	GKChallengeState.invalid	case invalid
c:@E@GKChallengeState@GKChallengeStatePending	swift.enum.case	GKChallengeState.pending	GKChallengeState.pending	case pending
c:@E@GKConnectionState	swift.enum	GKConnectionState	GKConnectionState	enum GKConnectionState
c:@E@GKConnectionState@GKConnectionStateConnected	swift.enum.case	GKConnectionState.connected	GKConnectionState.connected	case connected
c:@E@GKConnectionState@GKConnectionStateNotConnected	swift.enum.case	GKConnectionState.notConnected	GKConnectionState.notConnected	case notConnected
c:@E@GKErrorCode	swift.enum	GKError.Code	GKError.Code	enum Code
c:@E@GKErrorCode@GKErrorAPINotAvailable	swift.enum.case	GKError.Code.apiNotAvailable	GKError.Code.apiNotAvailable	case apiNotAvailable
c:@E@GKErrorCode@GKErrorAPIObsolete	swift.enum.case	GKError.Code.apiObsolete	GKError.Code.apiObsolete	case apiObsolete
c:@E@GKErrorCode@GKErrorAppUnlisted	swift.enum.case	GKError.Code.appUnlisted	GKError.Code.appUnlisted	case appUnlisted
c:@E@GKErrorCode@GKErrorAuthenticationInProgress	swift.enum.case	GKError.Code.authenticationInProgress	GKError.Code.authenticationInProgress	case authenticationInProgress
c:@E@GKErrorCode@GKErrorCancelled	swift.enum.case	GKError.Code.cancelled	GKError.Code.cancelled	case cancelled
c:@E@GKErrorCode@GKErrorChallengeInvalid	swift.enum.case	GKError.Code.challengeInvalid	GKError.Code.challengeInvalid	case challengeInvalid
c:@E@GKErrorCode@GKErrorCommunicationsFailure	swift.enum.case	GKError.Code.communicationsFailure	GKError.Code.communicationsFailure	case communicationsFailure
c:@E@GKErrorCode@GKErrorConnectionTimeout	swift.enum.case	GKError.Code.connectionTimeout	GKError.Code.connectionTimeout	case connectionTimeout
c:@E@GKErrorCode@GKErrorDebugMode	swift.enum.case	GKError.Code.debugMode	GKError.Code.debugMode	case debugMode
c:@E@GKErrorCode@GKErrorFriendListDenied	swift.enum.case	GKError.Code.friendListDenied	GKError.Code.friendListDenied	case friendListDenied
c:@E@GKErrorCode@GKErrorFriendListDescriptionMissing	swift.enum.case	GKError.Code.friendListDescriptionMissing	GKError.Code.friendListDescriptionMissing	case friendListDescriptionMissing
c:@E@GKErrorCode@GKErrorFriendListRestricted	swift.enum.case	GKError.Code.friendListRestricted	GKError.Code.friendListRestricted	case friendListRestricted
c:@E@GKErrorCode@GKErrorFriendRequestNotAvailable	swift.enum.case	GKError.Code.friendRequestNotAvailable	GKError.Code.friendRequestNotAvailable	case friendRequestNotAvailable
c:@E@GKErrorCode@GKErrorGameSessionRequestInvalid	swift.enum.case	GKError.Code.gameSessionRequestInvalid	GKError.Code.gameSessionRequestInvalid	case gameSessionRequestInvalid
c:@E@GKErrorCode@GKErrorGameUnrecognized	swift.enum.case	GKError.Code.gameUnrecognized	GKError.Code.gameUnrecognized	case gameUnrecognized
c:@E@GKErrorCode@GKErrorICloudUnavailable	swift.enum.case	GKError.Code.iCloudUnavailable	GKError.Code.iCloudUnavailable	case iCloudUnavailable
c:@E@GKErrorCode@GKErrorInvalidCredentials	swift.enum.case	GKError.Code.invalidCredentials	GKError.Code.invalidCredentials	case invalidCredentials
c:@E@GKErrorCode@GKErrorInvalidParameter	swift.enum.case	GKError.Code.invalidParameter	GKError.Code.invalidParameter	case invalidParameter
c:@E@GKErrorCode@GKErrorInvalidPlayer	swift.enum.case	GKError.Code.invalidPlayer	GKError.Code.invalidPlayer	case invalidPlayer
c:@E@GKErrorCode@GKErrorInvitationsDisabled	swift.enum.case	GKError.Code.invitationsDisabled	GKError.Code.invitationsDisabled	case invitationsDisabled
c:@E@GKErrorCode@GKErrorLockdownMode	swift.enum.case	GKError.Code.lockdownMode	GKError.Code.lockdownMode	case lockdownMode
c:@E@GKErrorCode@GKErrorMatchNotConnected	swift.enum.case	GKError.Code.matchNotConnected	GKError.Code.matchNotConnected	case matchNotConnected
c:@E@GKErrorCode@GKErrorMatchRequestInvalid	swift.enum.case	GKError.Code.matchRequestInvalid	GKError.Code.matchRequestInvalid	case matchRequestInvalid
c:@E@GKErrorCode@GKErrorNotAuthenticated	swift.enum.case	GKError.Code.notAuthenticated	GKError.Code.notAuthenticated	case notAuthenticated
c:@E@GKErrorCode@GKErrorNotAuthorized	swift.enum.case	GKError.Code.notAuthorized	GKError.Code.notAuthorized	case notAuthorized
c:@E@GKErrorCode@GKErrorNotSupported	swift.enum.case	GKError.Code.notSupported	GKError.Code.notSupported	case notSupported
c:@E@GKErrorCode@GKErrorParentalControlsBlocked	swift.enum.case	GKError.Code.parentalControlsBlocked	GKError.Code.parentalControlsBlocked	case parentalControlsBlocked
c:@E@GKErrorCode@GKErrorPlayerPhotoFailure	swift.enum.case	GKError.Code.playerPhotoFailure	GKError.Code.playerPhotoFailure	case playerPhotoFailure
c:@E@GKErrorCode@GKErrorPlayerStatusExceedsMaximumLength	swift.enum.case	GKError.Code.playerStatusExceedsMaximumLength	GKError.Code.playerStatusExceedsMaximumLength	case playerStatusExceedsMaximumLength
c:@E@GKErrorCode@GKErrorPlayerStatusInvalid	swift.enum.case	GKError.Code.playerStatusInvalid	GKError.Code.playerStatusInvalid	case playerStatusInvalid
c:@E@GKErrorCode@GKErrorRestrictedToAutomatch	swift.enum.case	GKError.Code.restrictedToAutomatch	GKError.Code.restrictedToAutomatch	case restrictedToAutomatch
c:@E@GKErrorCode@GKErrorScoreNotSet	swift.enum.case	GKError.Code.scoreNotSet	GKError.Code.scoreNotSet	case scoreNotSet
c:@E@GKErrorCode@GKErrorTurnBasedInvalidParticipant	swift.enum.case	GKError.Code.turnBasedInvalidParticipant	GKError.Code.turnBasedInvalidParticipant	case turnBasedInvalidParticipant
c:@E@GKErrorCode@GKErrorTurnBasedInvalidState	swift.enum.case	GKError.Code.turnBasedInvalidState	GKError.Code.turnBasedInvalidState	case turnBasedInvalidState
c:@E@GKErrorCode@GKErrorTurnBasedInvalidTurn	swift.enum.case	GKError.Code.turnBasedInvalidTurn	GKError.Code.turnBasedInvalidTurn	case turnBasedInvalidTurn
c:@E@GKErrorCode@GKErrorTurnBasedMatchDataTooLarge	swift.enum.case	GKError.Code.turnBasedMatchDataTooLarge	GKError.Code.turnBasedMatchDataTooLarge	case turnBasedMatchDataTooLarge
