precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)GKAccessPoint(im)triggerAccessPointForChallengesWithHandler:	c2f69b5ebf01e74d644140b1233b42196a225fb7d0acce7f3f5bfed0448a8f6f	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	triggerForChallenges(handler:)	GKAccessPoint.triggerForChallenges(handler:)	func triggerForChallenges(handler: (() -> Void)? = nil)
c:objc(cs)GKAccessPoint(im)triggerAccessPointForChallengesWithHandler:	a11e3cb49b0a50fb86d78e01b516f65b1ddca73759425975e01c564d2d2ee94f	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	triggerForChallenges()	GKAccessPoint.triggerForChallenges()	func triggerForChallenges() async
c:objc(cs)GKAccessPoint(im)triggerAccessPointForFriendingWithHandler:	dc48c9d3052c13f97b43a9c22e67b86095e100d4d54c553be0496843afeeb87b	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	triggerForFriending(handler:)	GKAccessPoint.triggerForFriending(handler:)	func triggerForFriending(handler: (() -> Void)? = nil)
c:objc(cs)GKAccessPoint(im)triggerAccessPointForFriendingWithHandler:	805bff439a19d713e8c65ac17690e5ec285612caba6579923b436c7c833d733a	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	triggerForFriending()	GKAccessPoint.triggerForFriending()	func triggerForFriending() async
c:objc(cs)GKAccessPoint(im)triggerAccessPointForPlayTogetherWithHandler:	1e3ab128f00e04b25c0222bbc494dc61fae0fe08105d800f9acce36baf1db016	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	triggerForPlayTogether(handler:)	GKAccessPoint.triggerForPlayTogether(handler:)	func triggerForPlayTogether(handler: (() -> Void)? = nil)
c:objc(cs)GKAccessPoint(im)triggerAccessPointForPlayTogetherWithHandler:	dce530fb6b0ea1b212f130428e775fbdd93f7975352c221da63ade600bbd23e1	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	triggerForPlayTogether()	GKAccessPoint.triggerForPlayTogether()	func triggerForPlayTogether() async
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithChallengeDefinitionID:handler:	25a69cdf554431a1f4df0814cf50753c1d92f6eab4146445604b721b55d8c437	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	trigger(challengeDefinitionID:)	GKAccessPoint.trigger(challengeDefinitionID:)	func trigger(challengeDefinitionID: String) async
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithChallengeDefinitionID:handler:	14d699c303c32b459c60cdd7711fae4dc4befcc18f51374aba755973608d4d06	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	trigger(challengeDefinitionID:handler:)	GKAccessPoint.trigger(challengeDefinitionID:handler:)	func trigger(challengeDefinitionID: String, handler: (() -> Void)? = nil)
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivity:handler:	480d3cb684ca6109fe0eddba564b29e4fbd8df0d57fc27a67a1e96b0333ff4bb	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	trigger(gameActivity:)	GKAccessPoint.trigger(gameActivity:)	func trigger(gameActivity: GKGameActivity) async
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivity:handler:	7eec3ad2acc89f8b5da11c0a9f4e3d326e368b94f161e791f1911361eb6a47c0	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	trigger(gameActivity:handler:)	GKAccessPoint.trigger(gameActivity:handler:)	func trigger(gameActivity: GKGameActivity, handler: (() -> Void)? = nil)
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivityDefinitionID:handler:	0dedb3d0c17737f3accf67b8bd8bb8c00044ebf02b3a5544df35e83a71f36d73	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	trigger(gameActivityDefinitionID:)	GKAccessPoint.trigger(gameActivityDefinitionID:)	func trigger(gameActivityDefinitionID: String) async
c:objc(cs)GKAccessPoint(im)triggerAccessPointWithGameActivityDefinitionID:handler:	ed71967e3d69a7a769c19bbabf5297b52ea084f7d8a306dbd4c5651c927d943c	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	trigger(gameActivityDefinitionID:handler:)	GKAccessPoint.trigger(gameActivityDefinitionID:handler:)	func trigger(gameActivityDefinitionID: String, handler: (() -> Void)? = nil)
c:objc(cs)GKAchievement(cm)loadAchievementsWithCompletionHandler:	112abc9bbf1a88b3e83352d1b6a0b85594ba9e39b97dd8e8ccf20d0a39965d67	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadAchievements(completionHandler:)	GKAchievement.loadAchievements(completionHandler:)	class func loadAchievements(completionHandler: (([GKAchievement]?, (any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievement(cm)loadAchievementsWithCompletionHandler:	3471f591564e5b8e4e1eb5c6e7110c6d062455f5a073a12d177e8e694a16b33a	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	loadAchievements()	GKAchievement.loadAchievements()	class func loadAchievements() async throws -> [GKAchievement]
c:objc(cs)GKAchievement(cm)reportAchievements:withCompletionHandler:	e94467cdb583ec911bfd70711287ce3edd878834908b9c5351ecf182b2166d7a	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	report(_:)	GKAchievement.report(_:)	class func report(_ achievements: [GKAchievement]) async throws
c:objc(cs)GKAchievement(cm)reportAchievements:withCompletionHandler:	70e4feeff3bb97a124c32de4f69840ad66d4230d063f6ffd39f396f95ed14dfe	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	report(_:withCompletionHandler:)	GKAchievement.report(_:withCompletionHandler:)	class func report(_ achievements: [GKAchievement], withCompletionHandler completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievement(cm)reportAchievements:withEligibleChallenges:withCompletionHandler:	c9009724fc2456fe5f9501025645f165c4859cced5adf5af77f76c90ef6c2277	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	report(_:withEligibleChallenges:)	GKAchievement.report(_:withEligibleChallenges:)	class func report(_ achievements: [GKAchievement], withEligibleChallenges challenges: [GKChallenge]) async throws
c:objc(cs)GKAchievement(cm)reportAchievements:withEligibleChallenges:withCompletionHandler:	cad0a38f1d5fac09f55856fd57b82d6e12c4d0f16e9e6a4cc0b3e70a4da8362c	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	report(_:withEligibleChallenges:withCompletionHandler:)	GKAchievement.report(_:withEligibleChallenges:withCompletionHandler:)	class func report(_ achievements: [GKAchievement], withEligibleChallenges challenges: [GKChallenge], withCompletionHandler completionHandler: (((any Error)?) -> Void)? = nil)
