precise	kind	title	path	declaration
c:@E@GKMeshGraphTriangulationMode	swift.struct	GKMeshGraphTriangulationMode	GKMeshGraphTriangulationMode	struct GKMeshGraphTriangulationMode
c:@E@GKMeshGraphTriangulationMode@GKMeshGraphTriangulationModeCenters	swift.type.property	centers	GKMeshGraphTriangulationMode.centers	static var centers: GKMeshGraphTriangulationMode { get }
c:@E@GKMeshGraphTriangulationMode@GKMeshGraphTriangulationModeEdgeMidpoints	swift.type.property	edgeMidpoints	GKMeshGraphTriangulationMode.edgeMidpoints	static var edgeMidpoints: GKMeshGraphTriangulationMode { get }
c:@E@GKMeshGraphTriangulationMode@GKMeshGraphTriangulationModeVertices	swift.type.property	vertices	GKMeshGraphTriangulationMode.vertices	static var vertices: GKMeshGraphTriangulationMode { get }
c:@E@GKRTreeSplitStrategy	swift.enum	GKRTreeSplitStrategy	GKRTreeSplitStrategy	enum GKRTreeSplitStrategy
c:@E@GKRTreeSplitStrategy@GKRTreeSplitStrategyHalve	swift.enum.case	GKRTreeSplitStrategy.halve	GKRTreeSplitStrategy.halve	case halve
c:@E@GKRTreeSplitStrategy@GKRTreeSplitStrategyLinear	swift.enum.case	GKRTreeSplitStrategy.linear	GKRTreeSplitStrategy.linear	case linear
c:@E@GKRTreeSplitStrategy@GKRTreeSplitStrategyQuadratic	swift.enum.case	GKRTreeSplitStrategy.quadratic	GKRTreeSplitStrategy.quadratic	case quadratic
c:@E@GKRTreeSplitStrategy@GKRTreeSplitStrategyReduceOverlap	swift.enum.case	GKRTreeSplitStrategy.reduceOverlap	GKRTreeSplitStrategy.reduceOverlap	case reduceOverlap
c:@GKGameModelMaxScore	swift.var	GKGameModelMaxScore	GKGameModelMaxScore	let GKGameModelMaxScore: Int
c:@GKGameModelMinScore	swift.var	GKGameModelMinScore	GKGameModelMinScore	let GKGameModelMinScore: Int
c:@S@GKBox	swift.struct	GKBox	GKBox	struct GKBox
c:@S@GKBox@FI@boxMax	swift.property	boxMax	GKBox.boxMax	var boxMax: vector_float3
c:@S@GKBox@FI@boxMin	swift.property	boxMin	GKBox.boxMin	var boxMin: vector_float3
c:@S@GKQuad	swift.struct	GKQuad	GKQuad	struct GKQuad
c:@S@GKQuad@FI@quadMax	swift.property	quadMax	GKQuad.quadMax	var quadMax: vector_float2
c:@S@GKQuad@FI@quadMin	swift.property	quadMin	GKQuad.quadMin	var quadMin: vector_float2
c:@S@GKTriangle	swift.struct	GKTriangle	GKTriangle	struct GKTriangle
c:@S@GKTriangle@FI@points	swift.property	points	GKTriangle.points	var points: (vector_float3, vector_float3, vector_float3)
c:@macro@GK_VERSION	swift.var	GK_VERSION	GK_VERSION	var GK_VERSION: Int32 { get }
c:objc(cs)GKARC4RandomSource	swift.class	GKARC4RandomSource	GKARC4RandomSource	class GKARC4RandomSource
c:objc(cs)GKARC4RandomSource(im)dropValuesWithCount:	swift.method	dropValues(_:)	GKARC4RandomSource.dropValues(_:)	func dropValues(_ count: Int)
c:objc(cs)GKARC4RandomSource(im)init	swift.init	init()	GKARC4RandomSource.init()	convenience init()
c:objc(cs)GKARC4RandomSource(im)initWithSeed:	swift.init	init(seed:)	GKARC4RandomSource.init(seed:)	init(seed: Data)
c:objc(cs)GKARC4RandomSource(py)seed	swift.property	seed	GKARC4RandomSource.seed	var seed: Data { get set }
c:objc(cs)GKAgent	swift.class	GKAgent	GKAgent	class GKAgent
c:objc(cs)GKAgent(py)behavior	swift.property	behavior	GKAgent.behavior	var behavior: GKBehavior? { get set }
c:objc(cs)GKAgent(py)delegate	swift.property	delegate	GKAgent.delegate	weak var delegate: (any GKAgentDelegate)? { get set }
c:objc(cs)GKAgent(py)mass	swift.property	mass	GKAgent.mass	var mass: Float { get set }
c:objc(cs)GKAgent(py)maxAcceleration	swift.property	maxAcceleration	GKAgent.maxAcceleration	var maxAcceleration: Float { get set }
c:objc(cs)GKAgent(py)maxSpeed	swift.property	maxSpeed	GKAgent.maxSpeed	var maxSpeed: Float { get set }
c:objc(cs)GKAgent(py)radius	swift.property	radius	GKAgent.radius	var radius: Float { get set }
c:objc(cs)GKAgent(py)speed	swift.property	speed	GKAgent.speed	var speed: Float { get set }
c:objc(cs)GKAgent2D	swift.class	GKAgent2D	GKAgent2D	class GKAgent2D
c:objc(cs)GKAgent2D(im)updateWithDeltaTime:	swift.method	update(deltaTime:)	GKAgent2D.update(deltaTime:)	func update(deltaTime seconds: TimeInterval)
c:objc(cs)GKAgent2D(py)position	swift.property	position	GKAgent2D.position	var position: vector_float2 { get set }
c:objc(cs)GKAgent2D(py)rotation	swift.property	rotation	GKAgent2D.rotation	var rotation: Float { get set }
c:objc(cs)GKAgent2D(py)velocity	swift.property	velocity	GKAgent2D.velocity	var velocity: vector_float2 { get }
c:objc(cs)GKAgent3D	swift.class	GKAgent3D	GKAgent3D	class GKAgent3D
c:objc(cs)GKAgent3D(im)updateWithDeltaTime:	swift.method	update(deltaTime:)	GKAgent3D.update(deltaTime:)	func update(deltaTime seconds: TimeInterval)
c:objc(cs)GKAgent3D(py)position	swift.property	position	GKAgent3D.position	var position: vector_float3 { get set }
c:objc(cs)GKAgent3D(py)rightHanded	swift.property	rightHanded	GKAgent3D.rightHanded	var rightHanded: Bool { get set }
c:objc(cs)GKAgent3D(py)rotation	swift.property	rotation	GKAgent3D.rotation	var rotation: matrix_float3x3 { get set }
