category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/GameplayKit.framework/GameplayKit.tbd	5209	7b45f59e0a072c174c73e4a41f261857e05d6a86c9beab2a7f47a93946d7a9f6
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKAgent.h	4761	3a167989fa16a8ab0a2a505a54c135b4f4821331842406bb7452a3e9762e9b1d
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKBehavior.h	2241	24c2b3e16234fc44ec584ef2614bbfc98bd3a3662a8bfbd2dd6a8eee7feaed62
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKComponent.h	3953	1daf5aa2ce02cb36c4ee7d674d18bc3bb8944cedc1972dd24a21dc5cb121ede8
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKCompositeBehavior.h	2041	a04461105f66fe9c921ffaf132fe4d9cec865b7711d6be39c5bae41f9c092c61
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKDecisionTree.h	4412	89b9166cd306aa8a55d069821c73dc6918b6104dfe1f7d82512e113375611b51
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKEntity.h	3038	d9e48f089396769c123225ae6d7adab3e00f7757d0b864c2f654cce1e1eb87e1
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKGameModel.h	4207	c33aad0845129044b039c2b30c1a2cc85615dce60ae641c00844b9c10090fecc
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKGoal.h	4169	ce8356a525c49101567e872d4d625d1d0bdd9d9b73d3138d3757725f0c341fd1
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKGraph.h	2046	ce134ec202b58681f7c1bab2374069618c90c77f24223309d8186907bede7e67
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKGraphNode.h	3231	c122b49ea8bb82c62826cd7fa441958634efae9fe684f3dc526ab4f1f838ff92
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKGridGraph.h	3377	1c858c379daa2fceb79b425d865da3f301de91247416b197cd5aad100d737bfb
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKMeshGraph.h	4532	e49a3b9bfc3a43e3d2922395885f9930c5c64d8d1e2787713faa3d47ee071b8c
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKMinmaxStrategist.h	1831	e60ca353d7df0df8666c6a1977e76c5af9e14216f8e1615a5923d532127fbccf
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKMonteCarloStrategist.h	1250	7044494a07638cacf3c48fd414d546503cb592c826c567a1f7dadbd5b9b0db03
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKNoise.h	7795	0da87266ee2c3bbc9805ec8ab002d6d64b6995794d8408b2332e82f5461b7e1b
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKNoiseMap.h	4826	f204d49f869ba3dc1859e28e446c76b4cf3650c5fe9349fa762c775e78f966f3
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKNoiseSource.h	5594	7e1d91f4fea22665e2c37acafcb6a026e4204f826bf47aeeca17a10110e61455
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKObstacle.h	2574	5182eef94a7b8af3115dfc74c852b3284f8ab883185229c6de16e4578e522c6c
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKObstacleGraph.h	5905	6a88a62a6374796470abc3c1729902c70ee693081eb885d4a68055c3bae4167f
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKOctree.h	3362	d56dabff8dc2653e16b48c0a0884abe1339036ba77a21992c98ad71a5184a628
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKPath.h	3170	ae02aa0b250199404f40326b26ae87950e5a93227c301c3915de63d248b05ac9
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKPrimitives.h	642	d882d9cf7460e69ebe8df54ed45f6f16387e28a4b56756fb1f382243fbf6b0ae
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKQuadtree.h	3405	c9162e3e392a9b3535dbf04dba66af95c938c3ead3c1c98ad82054ada0d12728
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKRTree.h	3462	f0ca0d6e40f0d496786e1c174c8e3fccda777261a16274fe998a348fa09c1681
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKRandomDistribution.h	6313	f3da2d592f475c2c80b4a7584029d1aa8b2408a16a1cc02da61f5ac85d6935e4
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKRandomSource.h	9238	dd2536e5d0e53c7183795da1fddf1bb476c910d69f02df0356fbbd51f44dcbe8
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKRuleSystem.h	9975	f3b997a7e6efe144b98c22fcd0ae8532671a780ca714f0d2b54612a6737800c9
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKSCNNodeComponent.h	1067	1fc18528a95242d496c7e524208626d614d8097c1d3aa2ef61266223f35aa58d
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKSKNodeComponent.h	1060	39639c92dbc27228fe123c7ef89d03bdcee4e2abcc5ef3abafdb7cd885128dba
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKScene.h	1840	f3888de49ee45b384068a21368c6cc2f9950c897adf88fbfa40e2edecb65c3ab
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKState.h	2142	1d7f4f88701d09259ee2f7b60c5d48304963e71771f2c6d73664c6bf8b68dad6
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKStateMachine.h	1962	d8e53f5cdd80da9591bd6af9d3560ad65e6695b6d33f38ea9c8396f57acae964
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKStrategist.h	811	acf488f6825ded453adcae49f273c0d7129b0d90d15fa374a0c24228c482e0d2
header	System/Library/Frameworks/GameplayKit.framework/Headers/GKVersion.h	29	fb152717f04994af4fa9ebcfe884ba6eab702e0c7084ca8f9be9402f7bcf4436
header	System/Library/Frameworks/GameplayKit.framework/Headers/GameplayKit.apinotes	8258	e310eead09863165b02374b3fad089a62f5f96af37b63e79a8c2849a318c0fdc
header	System/Library/Frameworks/GameplayKit.framework/Headers/GameplayKit.h	1443	4b8dc498cdeb3821a7ca5d2a7d122e774d0febf516920fb40934f3202d1cc4f8
header	System/Library/Frameworks/GameplayKit.framework/Headers/GameplayKitBase.h	1067	a9cc1225258fe1c37eb0dedbaede9a185ce4830e7286abd0cf36534ee0454a5f
header	System/Library/Frameworks/GameplayKit.framework/Headers/SceneKit+Additions.h	652	0e9ffd4216fd95db6472a8f9de41e98047b719a7e59d4910724f1452020705f7
header	System/Library/Frameworks/GameplayKit.framework/Headers/SpriteKit+Additions.h	3742	2b3b52e28d7077ddd03209cd8da35f44b7f3aed90136f263d23381cb5c463630
modulemap	System/Library/Frameworks/GameplayKit.framework/Modules/module.modulemap	102	55ad6c7af4de9e64a46f83ddd2efb773243719875b20f56349c487e4ba0cf8d8
