precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@GSSyncState	swift.enum	["GSSyncState"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateClosed	swift.enum.case	["GSSyncState","closed"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateConflicted	swift.enum.case	["GSSyncState","conflicted"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateError	swift.enum.case	["GSSyncState","error"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateLocal	swift.enum.case	["GSSyncState","local"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateOffline	swift.enum.case	["GSSyncState","offline"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateReady	swift.enum.case	["GSSyncState","ready"]	unmatched	none	0	0		[]
c:@E@GSSyncState@GSSyncStateSyncing	swift.enum.case	["GSSyncState","syncing"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory	swift.class	["GSSyncedDirectory"]	import-name	exported-import-name	1	1	/ABIRoot/children/1	["/ABIRoot/children/1"]
c:objc(cs)GSSyncedDirectory(cm)openDirectoryForContainerIdentifier:	swift.type.method	["GSSyncedDirectory","open(forContainerIdentifier:)"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(im)close	swift.method	["GSSyncedDirectory","close()"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(im)finishSyncing:completionHandler:	swift.method	["GSSyncedDirectory","finishSyncing(_:)"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(im)finishSyncingWithCompletionHandler:	swift.method	["GSSyncedDirectory","finishSyncing(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(im)resolveConflictsWithVersion:	swift.method	["GSSyncedDirectory","resolveConflicts(with:)"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(im)triggerPendingUploadWithCompletionHandler:	swift.method	["GSSyncedDirectory","triggerPendingUpload(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectory(py)directoryState	swift.property	["GSSyncedDirectory","directoryState"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryState	swift.class	["GSSyncedDirectoryState"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryState(py)conflictedVersions	swift.property	["GSSyncedDirectoryState","conflictedVersions"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryState(py)error	swift.property	["GSSyncedDirectoryState","error"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryState(py)state	swift.property	["GSSyncedDirectoryState","state"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryState(py)url	swift.property	["GSSyncedDirectoryState","url"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion	swift.class	["GSSyncedDirectoryVersion"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion(py)description	swift.property	["GSSyncedDirectoryVersion","description"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion(py)isLocal	swift.property	["GSSyncedDirectoryVersion","isLocal"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion(py)localizedNameOfSavingComputer	swift.property	["GSSyncedDirectoryVersion","localizedNameOfSavingComputer"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion(py)modifiedDate	swift.property	["GSSyncedDirectoryVersion","modifiedDate"]	unmatched	none	0	0		[]
c:objc(cs)GSSyncedDirectoryVersion(py)url	swift.property	["GSSyncedDirectoryVersion","url"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewP8GameSaveE04gameE12SyncingAlert9directory15finishedLoadingQrAA7BindingVyAD0dE15SyncedDirectoryCSgG_yyctF	swift.method	["View","gameSaveSyncingAlert(directory:finishedLoading:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/21/children/0	["/ABIRoot/children/21/children/0"]
s:8GameSave0aB11ErrorDomainSSvp	swift.var	["GameSaveErrorDomain"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20	["/ABIRoot/children/20"]
s:8GameSave0aB15SyncedDirectoryC	swift.class	["GameSaveSyncedDirectory"]	exact-usr	exact-usr	1	1	/ABIRoot/children/19	["/ABIRoot/children/19"]
