precise	kind	title	path	declaration
c:@E@GSSyncState	swift.enum	GSSyncState	GSSyncState	enum GSSyncState
c:@E@GSSyncState@GSSyncStateClosed	swift.enum.case	GSSyncState.closed	GSSyncState.closed	case closed
c:@E@GSSyncState@GSSyncStateConflicted	swift.enum.case	GSSyncState.conflicted	GSSyncState.conflicted	case conflicted
c:@E@GSSyncState@GSSyncStateError	swift.enum.case	GSSyncState.error	GSSyncState.error	case error
c:@E@GSSyncState@GSSyncStateLocal	swift.enum.case	GSSyncState.local	GSSyncState.local	case local
c:@E@GSSyncState@GSSyncStateOffline	swift.enum.case	GSSyncState.offline	GSSyncState.offline	case offline
c:@E@GSSyncState@GSSyncStateReady	swift.enum.case	GSSyncState.ready	GSSyncState.ready	case ready
c:@E@GSSyncState@GSSyncStateSyncing	swift.enum.case	GSSyncState.syncing	GSSyncState.syncing	case syncing
c:objc(cs)GSSyncedDirectory	swift.class	GSSyncedDirectory	GSSyncedDirectory	class GSSyncedDirectory
c:objc(cs)GSSyncedDirectory(cm)openDirectoryForContainerIdentifier:	swift.type.method	open(forContainerIdentifier:)	GSSyncedDirectory.open(forContainerIdentifier:)	class func open(forContainerIdentifier containerIdentifier: String?) -> GSSyncedDirectory
c:objc(cs)GSSyncedDirectory(im)close	swift.method	close()	GSSyncedDirectory.close()	func close()
c:objc(cs)GSSyncedDirectory(im)finishSyncing:completionHandler:	swift.method	finishSyncing(_:)	GSSyncedDirectory.finishSyncing(_:)	func finishSyncing(_ statusDisplay: UIWindow) async
c:objc(cs)GSSyncedDirectory(im)finishSyncingWithCompletionHandler:	swift.method	finishSyncing(completionHandler:)	GSSyncedDirectory.finishSyncing(completionHandler:)	func finishSyncing(completionHandler completion: @escaping () -> Void)
c:objc(cs)GSSyncedDirectory(im)resolveConflictsWithVersion:	swift.method	resolveConflicts(with:)	GSSyncedDirectory.resolveConflicts(with:)	func resolveConflicts(with version: GSSyncedDirectoryVersion)
c:objc(cs)GSSyncedDirectory(im)triggerPendingUploadWithCompletionHandler:	swift.method	triggerPendingUpload(completionHandler:)	GSSyncedDirectory.triggerPendingUpload(completionHandler:)	func triggerPendingUpload(completionHandler completion: @escaping (Bool) -> Void)
c:objc(cs)GSSyncedDirectory(py)directoryState	swift.property	directoryState	GSSyncedDirectory.directoryState	var directoryState: GSSyncedDirectoryState { get }
c:objc(cs)GSSyncedDirectoryState	swift.class	GSSyncedDirectoryState	GSSyncedDirectoryState	class GSSyncedDirectoryState
c:objc(cs)GSSyncedDirectoryState(py)conflictedVersions	swift.property	conflictedVersions	GSSyncedDirectoryState.conflictedVersions	var conflictedVersions: [GSSyncedDirectoryVersion]? { get }
c:objc(cs)GSSyncedDirectoryState(py)error	swift.property	error	GSSyncedDirectoryState.error	var error: (any Error)? { get }
