precise	kind	title	path	declaration
c:@M@_GroupActivities_UIKit@objc(cs)GroupActivitySharingController	swift.class	GroupActivitySharingController	GroupActivitySharingController	@MainActor @objc class GroupActivitySharingController
c:@M@_GroupActivities_UIKit@objc(cs)GroupActivitySharingController(im)viewDidLoad	swift.method	viewDidLoad()	GroupActivitySharingController.viewDidLoad()	@MainActor override dynamic func viewDidLoad()
c:@M@_GroupActivities_UIKit@objc(cs)GroupActivitySharingController(im)viewWillAppear:	swift.method	viewWillAppear(_:)	GroupActivitySharingController.viewWillAppear(_:)	@MainActor override dynamic func viewWillAppear(_ animated: Bool)
c:@M@_GroupActivities_UIKit@objc(cs)GroupActivitySharingController(py)modalPresentationStyle	swift.property	modalPresentationStyle	GroupActivitySharingController.modalPresentationStyle	@MainActor override dynamic var modalPresentationStyle: UIModalPresentationStyle { get set }
s:15GroupActivities0A12SessionEventV	swift.struct	GroupSessionEvent	GroupSessionEvent	struct GroupSessionEvent
s:15GroupActivities0A12SessionEventV10originator6action3urlAcA11ParticipantV_AC6ActionV10Foundation3URLVSgtcfc	swift.init	init(originator:action:url:)	GroupSessionEvent.init(originator:action:url:)	init(originator: Participant, action: GroupSessionEvent.Action, url: URL?)
s:15GroupActivities0A12SessionEventV10originatorAA11ParticipantVvp	swift.property	originator	GroupSessionEvent.originator	let originator: Participant
s:15GroupActivities0A12SessionEventV3url10Foundation3URLVSgvp	swift.property	url	GroupSessionEvent.url	let url: URL?
s:15GroupActivities0A12SessionEventV6ActionV	swift.struct	GroupSessionEvent.Action	GroupSessionEvent.Action	struct Action
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV	swift.struct	GroupSessionEvent.Action.QueueChange	GroupSessionEvent.Action.QueueChange	struct QueueChange
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV4ItemV	swift.struct	GroupSessionEvent.Action.QueueChange.Item	GroupSessionEvent.Action.QueueChange.Item	struct Item
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV4ItemV4songyAISSFZ	swift.type.method	song(_:)	GroupSessionEvent.Action.QueueChange.Item.song(_:)	static func song(_ name: String) -> GroupSessionEvent.Action.QueueChange.Item
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV4ItemV9containeryAISSFZ	swift.type.method	container(_:)	GroupSessionEvent.Action.QueueChange.Item.container(_:)	static func container(_ name: String) -> GroupSessionEvent.Action.QueueChange.Item
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV5addedyA2G4ItemVFZ	swift.type.method	added(_:)	GroupSessionEvent.Action.QueueChange.added(_:)	static func added(_ item: GroupSessionEvent.Action.QueueChange.Item) -> GroupSessionEvent.Action.QueueChange
s:15GroupActivities0A12SessionEventV6ActionV11QueueChangeV9setUpNextyA2G4ItemVFZ	swift.type.method	setUpNext(_:)	GroupSessionEvent.Action.QueueChange.setUpNext(_:)	static func setUpNext(_ item: GroupSessionEvent.Action.QueueChange.Item) -> GroupSessionEvent.Action.QueueChange
s:15GroupActivities0A12SessionEventV6ActionV12updatedQueueAEvpZ	swift.type.property	updatedQueue	GroupSessionEvent.Action.updatedQueue	static let updatedQueue: GroupSessionEvent.Action
s:15GroupActivities0A12SessionEventV6ActionV12updatedQueueyA2E0G6ChangeVFZ	swift.type.method	updatedQueue(_:)	GroupSessionEvent.Action.updatedQueue(_:)	static func updatedQueue(_ change: GroupSessionEvent.Action.QueueChange) -> GroupSessionEvent.Action
