precise	kind	title	path	declaration
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB16PresentmentErrorV	swift.property	helpAnchor	IdentityDocumentPresentmentError.helpAnchor	var helpAnchor: String? { get }
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB25ProviderRegistrationStoreC0E5ErrorO	swift.property	helpAnchor	IdentityDocumentProviderRegistrationStore.RegistrationError.helpAnchor	var helpAnchor: String? { get }
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB16PresentmentErrorV	swift.property	failureReason	IdentityDocumentPresentmentError.failureReason	var failureReason: String? { get }
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB25ProviderRegistrationStoreC0E5ErrorO	swift.property	failureReason	IdentityDocumentProviderRegistrationStore.RegistrationError.failureReason	var failureReason: String? { get }
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB16PresentmentErrorV	swift.property	errorDescription	IdentityDocumentPresentmentError.errorDescription	var errorDescription: String? { get }
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB25ProviderRegistrationStoreC0E5ErrorO	swift.property	errorDescription	IdentityDocumentProviderRegistrationStore.RegistrationError.errorDescription	var errorDescription: String? { get }
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB16PresentmentErrorV	swift.property	recoverySuggestion	IdentityDocumentPresentmentError.recoverySuggestion	var recoverySuggestion: String? { get }
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:24IdentityDocumentServices0aB25ProviderRegistrationStoreC0E5ErrorO	swift.property	recoverySuggestion	IdentityDocumentProviderRegistrationStore.RegistrationError.recoverySuggestion	var recoverySuggestion: String? { get }
s:24IdentityDocumentServices014ISO18013MobileB7RequestV	swift.struct	ISO18013MobileDocumentRequest	ISO18013MobileDocumentRequest	struct ISO18013MobileDocumentRequest
s:24IdentityDocumentServices014ISO18013MobileB7RequestV011PresentmentF0V	swift.struct	ISO18013MobileDocumentRequest.PresentmentRequest	ISO18013MobileDocumentRequest.PresentmentRequest	struct PresentmentRequest
s:24IdentityDocumentServices014ISO18013MobileB7RequestV011PresentmentF0V08documentF4Sets11isMandatoryAESayAC0bF3SetVG_Sbtcfc	swift.init	init(documentRequestSets:isMandatory:)	ISO18013MobileDocumentRequest.PresentmentRequest.init(documentRequestSets:isMandatory:)	init(documentRequestSets: [ISO18013MobileDocumentRequest.DocumentRequestSet], isMandatory: Bool)
s:24IdentityDocumentServices014ISO18013MobileB7RequestV011PresentmentF0V08documentF4SetsSayAC0bF3SetVGvp	swift.property	documentRequestSets	ISO18013MobileDocumentRequest.PresentmentRequest.documentRequestSets	var documentRequestSets: [ISO18013MobileDocumentRequest.DocumentRequestSet]
s:24IdentityDocumentServices014ISO18013MobileB7RequestV011PresentmentF0V11isMandatorySbvp	swift.property	isMandatory	ISO18013MobileDocumentRequest.PresentmentRequest.isMandatory	var isMandatory: Bool
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0F14AuthenticationV	swift.struct	ISO18013MobileDocumentRequest.RequestAuthentication	ISO18013MobileDocumentRequest.RequestAuthentication	struct RequestAuthentication
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0F14AuthenticationV30authenticationCertificateChainAESaySo03SecI3RefaG_tcfc	swift.init	init(authenticationCertificateChain:)	ISO18013MobileDocumentRequest.RequestAuthentication.init(authenticationCertificateChain:)	init(authenticationCertificateChain: [SecCertificate])
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0F14AuthenticationV30authenticationCertificateChainSaySo03SecI3RefaGvp	swift.property	authenticationCertificateChain	ISO18013MobileDocumentRequest.RequestAuthentication.authenticationCertificateChain	var authenticationCertificateChain: [SecCertificate] { get set }
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF0V	swift.struct	ISO18013MobileDocumentRequest.DocumentRequest	ISO18013MobileDocumentRequest.DocumentRequest	struct DocumentRequest
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF0V10namespacesSDySSSDySSAC11ElementInfoVGGvp	swift.property	namespaces	ISO18013MobileDocumentRequest.DocumentRequest.namespaces	var namespaces: [String : [String : ISO18013MobileDocumentRequest.ElementInfo]]
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF0V12documentType10namespacesAESS_SDySSSDySSAC11ElementInfoVGGtcfc	swift.init	init(documentType:namespaces:)	ISO18013MobileDocumentRequest.DocumentRequest.init(documentType:namespaces:)	init(documentType: String, namespaces: [String : [String : ISO18013MobileDocumentRequest.ElementInfo]])
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF0V12documentTypeSSvp	swift.property	documentType	ISO18013MobileDocumentRequest.DocumentRequest.documentType	var documentType: String
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF3SetV	swift.struct	ISO18013MobileDocumentRequest.DocumentRequestSet	ISO18013MobileDocumentRequest.DocumentRequestSet	struct DocumentRequestSet
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF3SetV8requestsAESayAC0bF0VG_tcfc	swift.init	init(requests:)	ISO18013MobileDocumentRequest.DocumentRequestSet.init(requests:)	init(requests: [ISO18013MobileDocumentRequest.DocumentRequest])
s:24IdentityDocumentServices014ISO18013MobileB7RequestV0bF3SetV8requestsSayAC0bF0VGvp	swift.property	requests	ISO18013MobileDocumentRequest.DocumentRequestSet.requests	var requests: [ISO18013MobileDocumentRequest.DocumentRequest]
s:24IdentityDocumentServices014ISO18013MobileB7RequestV11ElementInfoV	swift.struct	ISO18013MobileDocumentRequest.ElementInfo	ISO18013MobileDocumentRequest.ElementInfo	struct ElementInfo
s:24IdentityDocumentServices014ISO18013MobileB7RequestV11ElementInfoV11isRetainingAESb_tcfc	swift.init	init(isRetaining:)	ISO18013MobileDocumentRequest.ElementInfo.init(isRetaining:)	init(isRetaining: Bool)
s:24IdentityDocumentServices014ISO18013MobileB7RequestV11ElementInfoV11isRetainingSbvp	swift.property	isRetaining	ISO18013MobileDocumentRequest.ElementInfo.isRetaining	var isRetaining: Bool
s:24IdentityDocumentServices014ISO18013MobileB7RequestV19presentmentRequests22requestAuthenticationsACSayAC011PresentmentF0VG_SayAC0F14AuthenticationVGtcfc	swift.init	init(presentmentRequests:requestAuthentications:)	ISO18013MobileDocumentRequest.init(presentmentRequests:requestAuthentications:)	init(presentmentRequests: [ISO18013MobileDocumentRequest.PresentmentRequest], requestAuthentications: [ISO18013MobileDocumentRequest.RequestAuthentication])
s:24IdentityDocumentServices014ISO18013MobileB7RequestV19presentmentRequestsSayAC011PresentmentF0VGvp	swift.property	presentmentRequests	ISO18013MobileDocumentRequest.presentmentRequests	var presentmentRequests: [ISO18013MobileDocumentRequest.PresentmentRequest]
s:24IdentityDocumentServices014ISO18013MobileB7RequestV22requestAuthenticationsSayAC0F14AuthenticationVGvp	swift.property	requestAuthentications	ISO18013MobileDocumentRequest.requestAuthentications	var requestAuthentications: [ISO18013MobileDocumentRequest.RequestAuthentication]
s:24IdentityDocumentServices014ISO18013MobileB8ResponseV	swift.struct	ISO18013MobileDocumentResponse	ISO18013MobileDocumentResponse	struct ISO18013MobileDocumentResponse
s:24IdentityDocumentServices014ISO18013MobileB8ResponseV12responseData10Foundation0H0Vvp	swift.property	responseData	ISO18013MobileDocumentResponse.responseData	let responseData: Data
s:24IdentityDocumentServices014ISO18013MobileB8ResponseV12responseDataAC10Foundation0H0V_tcfc	swift.init	init(responseData:)	ISO18013MobileDocumentResponse.init(responseData:)	init(responseData: Data)
s:24IdentityDocumentServices06MobileB12RegistrationV	swift.struct	MobileDocumentRegistration	MobileDocumentRegistration	struct MobileDocumentRegistration
s:24IdentityDocumentServices06MobileB12RegistrationV06mobileB4Type32supportedAuthorityKeyIdentifiers18documentIdentifier16invalidationDateACSS_Say10Foundation4DataVGSSAH0O0VSgtcfc	swift.init	init(mobileDocumentType:supportedAuthorityKeyIdentifiers:documentIdentifier:invalidationDate:)	MobileDocumentRegistration.init(mobileDocumentType:supportedAuthorityKeyIdentifiers:documentIdentifier:invalidationDate:)	init(mobileDocumentType: String, supportedAuthorityKeyIdentifiers: [Data], documentIdentifier: String = UUID().uuidString, invalidationDate: Date? = nil)
s:24IdentityDocumentServices06MobileB12RegistrationV06mobileB4TypeSSvp	swift.property	mobileDocumentType	MobileDocumentRegistration.mobileDocumentType	var mobileDocumentType: String
s:24IdentityDocumentServices06MobileB12RegistrationV16invalidationDate10Foundation0G0VSgvp	swift.property	invalidationDate	MobileDocumentRegistration.invalidationDate	var invalidationDate: Date?
s:24IdentityDocumentServices06MobileB12RegistrationV18documentIdentifierSSvp	swift.property	documentIdentifier	MobileDocumentRegistration.documentIdentifier	var documentIdentifier: String
s:24IdentityDocumentServices06MobileB12RegistrationV32supportedAuthorityKeyIdentifiersSay10Foundation4DataVGvp	swift.property	supportedAuthorityKeyIdentifiers	MobileDocumentRegistration.supportedAuthorityKeyIdentifiers	var supportedAuthorityKeyIdentifiers: [Data]
s:24IdentityDocumentServices0aB12RegistrationP	swift.protocol	IdentityDocumentRegistration	IdentityDocumentRegistration	protocol IdentityDocumentRegistration : Sendable
s:24IdentityDocumentServices0aB12RegistrationP18documentIdentifierSSvp	swift.property	documentIdentifier	IdentityDocumentRegistration.documentIdentifier	var documentIdentifier: String { get }
s:24IdentityDocumentServices0aB16PresentmentErrorV	swift.struct	IdentityDocumentPresentmentError	IdentityDocumentPresentmentError	struct IdentityDocumentPresentmentError
s:24IdentityDocumentServices0aB16PresentmentErrorV11notEntitledAC4CodeOvpZ	swift.type.property	notEntitled	IdentityDocumentPresentmentError.notEntitled	static let notEntitled: IdentityDocumentPresentmentError.Code
s:24IdentityDocumentServices0aB16PresentmentErrorV14invalidRequestAC4CodeOvpZ	swift.type.property	invalidRequest	IdentityDocumentPresentmentError.invalidRequest	static let invalidRequest: IdentityDocumentPresentmentError.Code
s:24IdentityDocumentServices0aB16PresentmentErrorV16debugDescriptionSSvp	swift.property	debugDescription	IdentityDocumentPresentmentError.debugDescription	let debugDescription: String
s:24IdentityDocumentServices0aB16PresentmentErrorV17requestInProgressAC4CodeOvpZ	swift.type.property	requestInProgress	IdentityDocumentPresentmentError.requestInProgress	static let requestInProgress: IdentityDocumentPresentmentError.Code
s:24IdentityDocumentServices0aB16PresentmentErrorV4CodeO	swift.enum	IdentityDocumentPresentmentError.Code	IdentityDocumentPresentmentError.Code	enum Code
s:24IdentityDocumentServices0aB16PresentmentErrorV4CodeO11notEntitledyA2EmF	swift.enum.case	IdentityDocumentPresentmentError.Code.notEntitled	IdentityDocumentPresentmentError.Code.notEntitled	case notEntitled
