precise	status	evidence	notes
s:26IdentityDocumentServicesUI014ISO18013MobileB12RequestSceneV	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestSceneType	Stores content closure; no SwiftUI/ExtensionKit render.
s:26IdentityDocumentServicesUI014ISO18013MobileB12RequestSceneV4Bodya	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestSceneBodyTypealias	Body is the Linux host leaf scene.
s:26IdentityDocumentServicesUI014ISO18013MobileB12RequestSceneV4bodyQrvp	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestSceneBody	Leaf scene; no identity-document UI.
s:26IdentityDocumentServicesUI014ISO18013MobileB12RequestSceneV7contentACyxGxAA0efbG7ContextVc_tcfc	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestSceneInit	Init captures the content closure and a process-local context.
s:26IdentityDocumentServicesUI014ISO18013MobileB14RequestContextV	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestContextType	Boxed struct; no Apple presentment session.
s:26IdentityDocumentServicesUI014ISO18013MobileB14RequestContextV12sendResponseyy0abC00efbJ0VAE0ab17WebPresentmentRawG0VYaYbKcYaKF	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestContextSendResponse	Always throws; handler is never invoked.
s:26IdentityDocumentServicesUI014ISO18013MobileB14RequestContextV23requestingWebsiteOrigin10Foundation3URLVSgvp	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestContextRequestingWebsiteOrigin	Stored URL?; default nil.
s:26IdentityDocumentServicesUI014ISO18013MobileB14RequestContextV6cancelyyF	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestContextCancel	Idempotent process-local cancel; subsequent send throws cancelled.
s:26IdentityDocumentServicesUI014ISO18013MobileB14RequestContextV7request0abC00efbG0Vvp	implemented	test:full/identitydocumentservicesui/tests/agent/ISO18013MobileDocumentRequestTests.swift#testISO18013MobileDocumentRequestContextRequest	Stored ISO18013MobileDocumentRequest value.
s:26IdentityDocumentServicesUI0aB12RequestSceneP	implemented	test:full/identitydocumentservicesui/tests/agent/IdentityDocumentProviderTests.swift#testIdentityDocumentRequestSceneProtocol	Protocol identity; no ExtensionKit host.
s:26IdentityDocumentServicesUI0aB18PresentationAnchora	implemented	test:full/identitydocumentservicesui/tests/agent/IdentityDocumentPresentationAnchorTests.swift#testIdentityDocumentPresentationAnchor	typealias UIWindow.
s:26IdentityDocumentServicesUI0aB19RequestSceneBuilderV	implemented	test:full/identitydocumentservicesui/tests/agent/IdentityDocumentProviderTests.swift#testIdentityDocumentRequestSceneBuilderType	Result builder type; no appex registration.
