precise	kind	title	path	declaration
c:@E@ICDeviceLocationType	swift.enum	ICDeviceLocationType	ICDeviceLocationType	enum ICDeviceLocationType
c:@E@ICDeviceLocationType@ICDeviceLocationTypeBluetooth	swift.enum.case	ICDeviceLocationType.bluetooth	ICDeviceLocationType.bluetooth	case bluetooth
c:@E@ICDeviceLocationType@ICDeviceLocationTypeBonjour	swift.enum.case	ICDeviceLocationType.bonjour	ICDeviceLocationType.bonjour	case bonjour
c:@E@ICDeviceLocationType@ICDeviceLocationTypeLocal	swift.enum.case	ICDeviceLocationType.local	ICDeviceLocationType.local	case local
c:@E@ICDeviceLocationType@ICDeviceLocationTypeShared	swift.enum.case	ICDeviceLocationType.shared	ICDeviceLocationType.shared	case shared
c:@E@ICDeviceLocationTypeMask	swift.enum	ICDeviceLocationTypeMask	ICDeviceLocationTypeMask	enum ICDeviceLocationTypeMask
c:@E@ICDeviceLocationTypeMask@ICDeviceLocationTypeMaskBluetooth	swift.enum.case	ICDeviceLocationTypeMask.bluetooth	ICDeviceLocationTypeMask.bluetooth	case bluetooth
c:@E@ICDeviceLocationTypeMask@ICDeviceLocationTypeMaskBonjour	swift.enum.case	ICDeviceLocationTypeMask.bonjour	ICDeviceLocationTypeMask.bonjour	case bonjour
c:@E@ICDeviceLocationTypeMask@ICDeviceLocationTypeMaskLocal	swift.enum.case	ICDeviceLocationTypeMask.local	ICDeviceLocationTypeMask.local	case local
c:@E@ICDeviceLocationTypeMask@ICDeviceLocationTypeMaskRemote	swift.enum.case	ICDeviceLocationTypeMask.remote	ICDeviceLocationTypeMask.remote	case remote
c:@E@ICDeviceLocationTypeMask@ICDeviceLocationTypeMaskShared	swift.enum.case	ICDeviceLocationTypeMask.shared	ICDeviceLocationTypeMask.shared	case shared
c:@E@ICDeviceType	swift.enum	ICDeviceType	ICDeviceType	enum ICDeviceType
c:@E@ICDeviceType@ICDeviceTypeCamera	swift.enum.case	ICDeviceType.camera	ICDeviceType.camera	case camera
c:@E@ICDeviceType@ICDeviceTypeScanner	swift.enum.case	ICDeviceType.scanner	ICDeviceType.scanner	case scanner
c:@E@ICDeviceTypeMask	swift.enum	ICDeviceTypeMask	ICDeviceTypeMask	enum ICDeviceTypeMask
c:@E@ICDeviceTypeMask@ICDeviceTypeMaskCamera	swift.enum.case	ICDeviceTypeMask.camera	ICDeviceTypeMask.camera	case camera
c:@E@ICDeviceTypeMask@ICDeviceTypeMaskScanner	swift.enum.case	ICDeviceTypeMask.scanner	ICDeviceTypeMask.scanner	case scanner
c:@E@ICEXIFOrientationType	swift.enum	ICEXIFOrientationType	ICEXIFOrientationType	enum ICEXIFOrientationType
c:@E@ICEXIFOrientationType@ICEXIFOrientation1	swift.enum.case	ICEXIFOrientationType.orientation1	ICEXIFOrientationType.orientation1	case orientation1
c:@E@ICEXIFOrientationType@ICEXIFOrientation2	swift.enum.case	ICEXIFOrientationType.orientation2	ICEXIFOrientationType.orientation2	case orientation2
c:@E@ICEXIFOrientationType@ICEXIFOrientation3	swift.enum.case	ICEXIFOrientationType.orientation3	ICEXIFOrientationType.orientation3	case orientation3
c:@E@ICEXIFOrientationType@ICEXIFOrientation4	swift.enum.case	ICEXIFOrientationType.orientation4	ICEXIFOrientationType.orientation4	case orientation4
c:@E@ICEXIFOrientationType@ICEXIFOrientation5	swift.enum.case	ICEXIFOrientationType.orientation5	ICEXIFOrientationType.orientation5	case orientation5
c:@E@ICEXIFOrientationType@ICEXIFOrientation6	swift.enum.case	ICEXIFOrientationType.orientation6	ICEXIFOrientationType.orientation6	case orientation6
c:@E@ICEXIFOrientationType@ICEXIFOrientation7	swift.enum.case	ICEXIFOrientationType.orientation7	ICEXIFOrientationType.orientation7	case orientation7
c:@E@ICEXIFOrientationType@ICEXIFOrientation8	swift.enum.case	ICEXIFOrientationType.orientation8	ICEXIFOrientationType.orientation8	case orientation8
c:@E@ICLegacyReturnCode	swift.enum	ICLegacyReturn.Code	ICLegacyReturn.Code	enum Code
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeCannotYieldDevice	swift.enum.case	ICLegacyReturn.Code.cannotYieldDevice	ICLegacyReturn.Code.cannotYieldDevice	case cannotYieldDevice
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeCommunicationErr	swift.enum.case	ICLegacyReturn.Code.communicationErr	ICLegacyReturn.Code.communicationErr	case communicationErr
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeDataTypeNotFoundErr	swift.enum.case	ICLegacyReturn.Code.dataTypeNotFoundErr	ICLegacyReturn.Code.dataTypeNotFoundErr	case dataTypeNotFoundErr
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeDeviceAlreadyOpenErr	swift.enum.case	ICLegacyReturn.Code.deviceAlreadyOpenErr	ICLegacyReturn.Code.deviceAlreadyOpenErr	case deviceAlreadyOpenErr
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeDeviceGUIDNotFoundErr	swift.enum.case	ICLegacyReturn.Code.deviceGUIDNotFoundErr	ICLegacyReturn.Code.deviceGUIDNotFoundErr	case deviceGUIDNotFoundErr
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeDeviceIOServicePathNotFoundErr	swift.enum.case	ICLegacyReturn.Code.deviceIOServicePathNotFoundErr	ICLegacyReturn.Code.deviceIOServicePathNotFoundErr	case deviceIOServicePathNotFoundErr
c:@E@ICLegacyReturnCode@ICLegacyReturnCodeDeviceInternalErr	swift.enum.case	ICLegacyReturn.Code.deviceInternalErr	ICLegacyReturn.Code.deviceInternalErr	case deviceInternalErr
