category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICCameraDevice.h	26309	aea709ba768c2e9081de1be8a45e03b101d7bf3858e62719b80a403b980ccb06
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICCameraFile.h	10418	4a39854dcc03b88ca797057bc9f6e85956e73ab215e4ef9bae74eaf0764c6b9f
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICCameraFolder.h	1129	2170ef89fbc15bec0c2a77632463b971c17b624f6ae39dc0f1d22e31af8ef5b1
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICCameraItem.h	12270	e0c6f45e32fe7f306b737d199decc347496071148b64404bc094de28b7d22d2a
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICDevice.h	25128	c252ab35fe923dd16aedacdce19f24bf61450898d8fa57dcbf5e7fbcfff2b007
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICDeviceBrowser.h	13141	1fc22246a0ebd48a0d8c2fc243227bc4c6dce2253f395dafc4c7f99aff4337c7
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICScannerBandData.h	3268	74ee775151840c04b66e086f4084956388325a905e600d09e4d7965b8fa49542
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICScannerDevice.h	14003	0907fb06e2510ce4128bccc3edb34e37ad297390003d63b0805994f7fea1804f
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ICScannerFunctionalUnits.h	35662	0f45967a8ca5201c7d9cc4e4360517c1b6ff7300b70179864d272794b2ac23d1
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ImageCaptureConstants.h	13472	af87c3a2de66607584c9e3a24edd1840d8c3e8d64697b391703cad178c47d521
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ImageCaptureCore.h	1101	e04cca882bb4faade0e224ecf41a4fea6df593146a3c06855d65a00a1b139352
header	System/Library/Frameworks/ImageCaptureCore.framework/Headers/ImageCapturePlatform.h	2768	fc4de2e70e56f563b9305cb96fa6c53bb13b0dd3aa8923a394f97c2fc8b0f910
tbd	System/Library/Frameworks/ImageCaptureCore.framework/ImageCaptureCore.tbd	2281	a3aa1d8ec98f4dbde1d2d9938ba9b86e6cc7cefb4f89074eeacab5a6cd964068
modulemap	System/Library/Frameworks/ImageCaptureCore.framework/Modules/module.modulemap	123	af8f7fb834eae985dfd1cc3551e5b075ba584b399bb83826de271a4f6cfba132
