precise	status	evidence	notes
c:@CM@ImagePlayground@objc(cs)ImagePlaygroundViewController(cpy)available	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)init	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)viewDidDisappear:	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)viewDidLoad	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)delegate	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)modalInPresentation	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)modalPresentationStyle	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)preferredContentSize	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)sourceImage	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)supportedInterfaceOrientations	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:15ImagePlayground0A7CreatorC5ErrorO	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:15ImagePlayground0A7CreatorC	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC07CreatedA0V	deferred		isolated host cannot import CoreGraphics; CreatedImage.cgImage and Concept.image(CGImage) omitted
s:15ImagePlayground0A7CreatorC07CreatedA0V02cgA0So10CGImageRefavp	deferred		isolated host cannot import CoreGraphics; CreatedImage.cgImage and Concept.image(CGImage) omitted
s:15ImagePlayground0A7CreatorC15availableStylesSayAA0aB5StyleVGvp	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO016unsupportedInputA0yA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO06faceInA8TooSmallyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO11errorDomainSSvpZ	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:15ImagePlayground0A7CreatorC5ErrorO11unavailableyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO12notSupportedyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO13errorUserInfoSDySSypGvp	declared	ImagePlayground.swift	Linux-host CustomNSError/LocalizedError payload; Darwin strings/codes unobserved
s:15ImagePlayground0A7CreatorC5ErrorO14creationFailedyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO17creationCancelledyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO19unsupportedLanguageyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO27backgroundCreationForbiddenyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO29conceptsRequirePersonIdentityyA2EmF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO2eeoiySbAE_AEtFZ	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO4hash4intoys6HasherVz_tF	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO8AllCasesa	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO8allCasesSayAEGvpZ	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC5ErrorO9hashValueSivp	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0A7CreatorC6images3for5style5limitQrSayAA0aB7ConceptVG_AA0aB5StyleVSitF	deferred		isolated host cannot import CoreGraphics; CreatedImage.cgImage and Concept.image(CGImage) omitted
s:15ImagePlayground0A7CreatorCACyYaKcfc	implemented	tests/agent/ImagePlaygroundRuntime.swift	focused isolated-host probe
s:15ImagePlayground0aB14ViewControllerC21personalizationPolicyAA0ab15PersonalizationF0Ovp	deferred		isolated host cannot import UIKit; ImagePlaygroundViewController must subclass UIKit.UIViewController — no NSObject substitute
