precise	kind	title	path	declaration
c:@E@INUIAddVoiceShortcutButtonStyle	swift.enum	INUIAddVoiceShortcutButtonStyle	INUIAddVoiceShortcutButtonStyle	enum INUIAddVoiceShortcutButtonStyle
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleAutomatic	swift.enum.case	INUIAddVoiceShortcutButtonStyle.automatic	INUIAddVoiceShortcutButtonStyle.automatic	case automatic
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleAutomaticOutline	swift.enum.case	INUIAddVoiceShortcutButtonStyle.automaticOutline	INUIAddVoiceShortcutButtonStyle.automaticOutline	case automaticOutline
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleBlack	swift.enum.case	INUIAddVoiceShortcutButtonStyle.black	INUIAddVoiceShortcutButtonStyle.black	case black
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleBlackOutline	swift.enum.case	INUIAddVoiceShortcutButtonStyle.blackOutline	INUIAddVoiceShortcutButtonStyle.blackOutline	case blackOutline
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleWhite	swift.enum.case	INUIAddVoiceShortcutButtonStyle.white	INUIAddVoiceShortcutButtonStyle.white	case white
c:@E@INUIAddVoiceShortcutButtonStyle@INUIAddVoiceShortcutButtonStyleWhiteOutline	swift.enum.case	INUIAddVoiceShortcutButtonStyle.whiteOutline	INUIAddVoiceShortcutButtonStyle.whiteOutline	case whiteOutline
c:@E@INUIHostedViewContext	swift.enum	INUIHostedViewContext	INUIHostedViewContext	enum INUIHostedViewContext
c:@E@INUIHostedViewContext@INUIHostedViewContextMapsCard	swift.enum.case	INUIHostedViewContext.mapsCard	INUIHostedViewContext.mapsCard	case mapsCard
c:@E@INUIHostedViewContext@INUIHostedViewContextSiriSnippet	swift.enum.case	INUIHostedViewContext.siriSnippet	INUIHostedViewContext.siriSnippet	case siriSnippet
c:@E@INUIInteractiveBehavior	swift.enum	INUIInteractiveBehavior	INUIInteractiveBehavior	enum INUIInteractiveBehavior
c:@E@INUIInteractiveBehavior@INUIInteractiveBehaviorGenericAction	swift.enum.case	INUIInteractiveBehavior.genericAction	INUIInteractiveBehavior.genericAction	case genericAction
c:@E@INUIInteractiveBehavior@INUIInteractiveBehaviorLaunch	swift.enum.case	INUIInteractiveBehavior.launch	INUIInteractiveBehavior.launch	case launch
c:@E@INUIInteractiveBehavior@INUIInteractiveBehaviorNextView	swift.enum.case	INUIInteractiveBehavior.nextView	INUIInteractiveBehavior.nextView	case nextView
c:@E@INUIInteractiveBehavior@INUIInteractiveBehaviorNone	swift.enum.case	INUIInteractiveBehavior.none	INUIInteractiveBehavior.none	case none
c:objc(cs)INImage(cm)imageSizeForIntentResponse:	swift.type.method	imageSize(for:)	INImage.imageSize(for:)	class func imageSize(for response: INIntentResponse) -> CGSize
c:objc(cs)INImage(cm)imageWithCGImage:	swift.init	init(CGImage:)	INImage.init(CGImage:)	convenience init(CGImage imageRef: CGImage)
c:objc(cs)INImage(cm)imageWithUIImage:	swift.init	init(UIImage:)	INImage.init(UIImage:)	convenience init(UIImage image: UIImage)
c:objc(cs)INImage(im)fetchUIImageWithCompletion:	swift.method	fetchUIImage(completion:)	INImage.fetchUIImage(completion:)	func fetchUIImage(completion: @escaping (UIImage?) -> Void)
c:objc(cs)INUIAddVoiceShortcutButton	swift.class	INUIAddVoiceShortcutButton	INUIAddVoiceShortcutButton	@MainActor class INUIAddVoiceShortcutButton
c:objc(cs)INUIAddVoiceShortcutButton(im)initWithStyle:	swift.init	init(style:)	INUIAddVoiceShortcutButton.init(style:)	@MainActor init(style: INUIAddVoiceShortcutButtonStyle)
c:objc(cs)INUIAddVoiceShortcutButton(im)setStyle:	swift.method	setStyle(_:)	INUIAddVoiceShortcutButton.setStyle(_:)	@MainActor func setStyle(_ style: INUIAddVoiceShortcutButtonStyle)
c:objc(cs)INUIAddVoiceShortcutButton(py)cornerRadius	swift.property	cornerRadius	INUIAddVoiceShortcutButton.cornerRadius	@MainActor var cornerRadius: CGFloat { get set }
c:objc(cs)INUIAddVoiceShortcutButton(py)delegate	swift.property	delegate	INUIAddVoiceShortcutButton.delegate	@MainActor weak var delegate: (any INUIAddVoiceShortcutButtonDelegate)? { get set }
c:objc(cs)INUIAddVoiceShortcutButton(py)shortcut	swift.property	shortcut	INUIAddVoiceShortcutButton.shortcut	@MainActor var shortcut: INShortcut? { get set }
