precise	status	evidence	notes
c:@E@JSRelationCondition	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@E@JSRelationCondition@kJSRelationConditionEqual	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@E@JSRelationCondition@kJSRelationConditionGreaterThan	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@E@JSRelationCondition@kJSRelationConditionLessThan	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@E@JSRelationCondition@kJSRelationConditionUndefined	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeBigInt	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeBoolean	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeNull	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeNumber	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeObject	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeString	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeSymbol	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSType@kJSTypeUndefined	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType@kJSTypedArrayTypeArrayBuffer	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType@kJSTypedArrayTypeBigInt64Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeBigUint64Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeFloat32Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeFloat64Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt16Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt32Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt8Array	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType@kJSTypedArrayTypeNone	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint16Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint32Array	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint8Array	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint8ClampedArray	declared	JSTypes.swift	symbol compiles; host probe did not exercise this identifier
c:@Ea@kJSClassAttributeNone@kJSClassAttributeNoAutomaticPrototype	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@Ea@kJSClassAttributeNone@kJSClassAttributeNone	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeDontDelete	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeDontEnum	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeNone	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeReadOnly	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSBigIntCreateWithDouble	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSBigIntCreateWithInt64	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSBigIntCreateWithString	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSBigIntCreateWithUInt64	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSCheckScriptSyntax	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSClassCreate	declared	JSCAPI.swift	compiles; JSClassCreate path was not probed
c:@F@JSClassRelease	declared	JSCAPI.swift	compiles; JSClassCreate path was not probed
c:@F@JSClassRetain	declared	JSCAPI.swift	compiles; JSClassCreate path was not probed
c:@F@JSContextGetGlobalContext	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSContextGetGlobalObject	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSContextGetGroup	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSContextGroupCreate	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSContextGroupRelease	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSContextGroupRetain	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSEvaluateScript	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGarbageCollect	deferred	JSCAPI.swift	entry compiles and is called; collector is a no-op and collection is unproven
c:@F@JSGlobalContextCopyName	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGlobalContextCreate	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGlobalContextCreateInGroup	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSGlobalContextIsInspectable	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGlobalContextRelease	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGlobalContextRetain	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSGlobalContextSetInspectable	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSGlobalContextSetName	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectCallAsConstructor	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSObjectCallAsFunction	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSObjectCopyPropertyNames	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectDeleteProperty	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectDeletePropertyForKey	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSObjectGetArrayBufferByteLength	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetArrayBufferBytesPtr	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetPrivate	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetProperty	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetPropertyAtIndex	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetPropertyForKey	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSObjectGetPrototype	declared	JSCAPI.swift	symbol compiles; host probe did not exercise this identifier
c:@F@JSObjectGetTypedArrayBuffer	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
c:@F@JSObjectGetTypedArrayByteLength	implemented	tests/agent/JavaScriptCoreRuntime.swift	exercised by the isolated Linux runtime probe
