precise	kind	title	path	declaration
c:@E@JSRelationCondition	swift.enum	JSRelationCondition	JSRelationCondition	enum JSRelationCondition
c:@E@JSRelationCondition@kJSRelationConditionEqual	swift.enum.case	JSRelationCondition.equal	JSRelationCondition.equal	case equal
c:@E@JSRelationCondition@kJSRelationConditionGreaterThan	swift.enum.case	JSRelationCondition.greaterThan	JSRelationCondition.greaterThan	case greaterThan
c:@E@JSRelationCondition@kJSRelationConditionLessThan	swift.enum.case	JSRelationCondition.lessThan	JSRelationCondition.lessThan	case lessThan
c:@E@JSRelationCondition@kJSRelationConditionUndefined	swift.enum.case	JSRelationCondition.undefined	JSRelationCondition.undefined	case undefined
c:@EA@JSType	swift.struct	JSType	JSType	struct JSType
c:@EA@JSType@kJSTypeBigInt	swift.var	kJSTypeBigInt	kJSTypeBigInt	var kJSTypeBigInt: JSType { get }
c:@EA@JSType@kJSTypeBoolean	swift.var	kJSTypeBoolean	kJSTypeBoolean	var kJSTypeBoolean: JSType { get }
c:@EA@JSType@kJSTypeNull	swift.var	kJSTypeNull	kJSTypeNull	var kJSTypeNull: JSType { get }
c:@EA@JSType@kJSTypeNumber	swift.var	kJSTypeNumber	kJSTypeNumber	var kJSTypeNumber: JSType { get }
c:@EA@JSType@kJSTypeObject	swift.var	kJSTypeObject	kJSTypeObject	var kJSTypeObject: JSType { get }
c:@EA@JSType@kJSTypeString	swift.var	kJSTypeString	kJSTypeString	var kJSTypeString: JSType { get }
c:@EA@JSType@kJSTypeSymbol	swift.var	kJSTypeSymbol	kJSTypeSymbol	var kJSTypeSymbol: JSType { get }
c:@EA@JSType@kJSTypeUndefined	swift.var	kJSTypeUndefined	kJSTypeUndefined	var kJSTypeUndefined: JSType { get }
c:@EA@JSTypedArrayType	swift.struct	JSTypedArrayType	JSTypedArrayType	struct JSTypedArrayType
c:@EA@JSTypedArrayType@kJSTypedArrayTypeArrayBuffer	swift.var	kJSTypedArrayTypeArrayBuffer	kJSTypedArrayTypeArrayBuffer	var kJSTypedArrayTypeArrayBuffer: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeBigInt64Array	swift.var	kJSTypedArrayTypeBigInt64Array	kJSTypedArrayTypeBigInt64Array	var kJSTypedArrayTypeBigInt64Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeBigUint64Array	swift.var	kJSTypedArrayTypeBigUint64Array	kJSTypedArrayTypeBigUint64Array	var kJSTypedArrayTypeBigUint64Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeFloat32Array	swift.var	kJSTypedArrayTypeFloat32Array	kJSTypedArrayTypeFloat32Array	var kJSTypedArrayTypeFloat32Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeFloat64Array	swift.var	kJSTypedArrayTypeFloat64Array	kJSTypedArrayTypeFloat64Array	var kJSTypedArrayTypeFloat64Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt16Array	swift.var	kJSTypedArrayTypeInt16Array	kJSTypedArrayTypeInt16Array	var kJSTypedArrayTypeInt16Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt32Array	swift.var	kJSTypedArrayTypeInt32Array	kJSTypedArrayTypeInt32Array	var kJSTypedArrayTypeInt32Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeInt8Array	swift.var	kJSTypedArrayTypeInt8Array	kJSTypedArrayTypeInt8Array	var kJSTypedArrayTypeInt8Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeNone	swift.var	kJSTypedArrayTypeNone	kJSTypedArrayTypeNone	var kJSTypedArrayTypeNone: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint16Array	swift.var	kJSTypedArrayTypeUint16Array	kJSTypedArrayTypeUint16Array	var kJSTypedArrayTypeUint16Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint32Array	swift.var	kJSTypedArrayTypeUint32Array	kJSTypedArrayTypeUint32Array	var kJSTypedArrayTypeUint32Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint8Array	swift.var	kJSTypedArrayTypeUint8Array	kJSTypedArrayTypeUint8Array	var kJSTypedArrayTypeUint8Array: JSTypedArrayType { get }
c:@EA@JSTypedArrayType@kJSTypedArrayTypeUint8ClampedArray	swift.var	kJSTypedArrayTypeUint8ClampedArray	kJSTypedArrayTypeUint8ClampedArray	var kJSTypedArrayTypeUint8ClampedArray: JSTypedArrayType { get }
c:@Ea@kJSClassAttributeNone@kJSClassAttributeNoAutomaticPrototype	swift.var	kJSClassAttributeNoAutomaticPrototype	kJSClassAttributeNoAutomaticPrototype	var kJSClassAttributeNoAutomaticPrototype: Int { get }
c:@Ea@kJSClassAttributeNone@kJSClassAttributeNone	swift.var	kJSClassAttributeNone	kJSClassAttributeNone	var kJSClassAttributeNone: Int { get }
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeDontDelete	swift.var	kJSPropertyAttributeDontDelete	kJSPropertyAttributeDontDelete	var kJSPropertyAttributeDontDelete: Int { get }
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeDontEnum	swift.var	kJSPropertyAttributeDontEnum	kJSPropertyAttributeDontEnum	var kJSPropertyAttributeDontEnum: Int { get }
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeNone	swift.var	kJSPropertyAttributeNone	kJSPropertyAttributeNone	var kJSPropertyAttributeNone: Int { get }
c:@Ea@kJSPropertyAttributeNone@kJSPropertyAttributeReadOnly	swift.var	kJSPropertyAttributeReadOnly	kJSPropertyAttributeReadOnly	var kJSPropertyAttributeReadOnly: Int { get }
c:@F@JSBigIntCreateWithDouble	swift.func	JSBigIntCreateWithDouble(_:_:_:)	JSBigIntCreateWithDouble(_:_:_:)	func JSBigIntCreateWithDouble(_ ctx: JSContextRef, _ value: Double, _ exception: UnsafeMutablePointer<JSValueRef?>?) -> JSValueRef
c:@F@JSBigIntCreateWithInt64	swift.func	JSBigIntCreateWithInt64(_:_:_:)	JSBigIntCreateWithInt64(_:_:_:)	func JSBigIntCreateWithInt64(_ ctx: JSContextRef, _ integer: Int64, _ exception: UnsafeMutablePointer<JSValueRef?>?) -> JSValueRef
c:@F@JSBigIntCreateWithString	swift.func	JSBigIntCreateWithString(_:_:_:)	JSBigIntCreateWithString(_:_:_:)	func JSBigIntCreateWithString(_ ctx: JSContextRef, _ string: JSStringRef, _ exception: UnsafeMutablePointer<JSValueRef?>?) -> JSValueRef
c:@F@JSBigIntCreateWithUInt64	swift.func	JSBigIntCreateWithUInt64(_:_:_:)	JSBigIntCreateWithUInt64(_:_:_:)	func JSBigIntCreateWithUInt64(_ ctx: JSContextRef, _ integer: UInt64, _ exception: UnsafeMutablePointer<JSValueRef?>?) -> JSValueRef
c:@F@JSCheckScriptSyntax	swift.func	JSCheckScriptSyntax(_:_:_:_:_:)	JSCheckScriptSyntax(_:_:_:_:_:)	func JSCheckScriptSyntax(_ ctx: JSContextRef!, _ script: JSStringRef!, _ sourceURL: JSStringRef!, _ startingLineNumber: Int32, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Bool
c:@F@JSClassCreate	swift.func	JSClassCreate(_:)	JSClassCreate(_:)	func JSClassCreate(_ definition: UnsafePointer<JSClassDefinition>!) -> JSClassRef!
c:@F@JSClassRelease	swift.func	JSClassRelease(_:)	JSClassRelease(_:)	func JSClassRelease(_ jsClass: JSClassRef!)
c:@F@JSClassRetain	swift.func	JSClassRetain(_:)	JSClassRetain(_:)	func JSClassRetain(_ jsClass: JSClassRef!) -> JSClassRef!
c:@F@JSContextGetGlobalContext	swift.func	JSContextGetGlobalContext(_:)	JSContextGetGlobalContext(_:)	func JSContextGetGlobalContext(_ ctx: JSContextRef!) -> JSGlobalContextRef!
c:@F@JSContextGetGlobalObject	swift.func	JSContextGetGlobalObject(_:)	JSContextGetGlobalObject(_:)	func JSContextGetGlobalObject(_ ctx: JSContextRef!) -> JSObjectRef!
c:@F@JSContextGetGroup	swift.func	JSContextGetGroup(_:)	JSContextGetGroup(_:)	func JSContextGetGroup(_ ctx: JSContextRef!) -> JSContextGroupRef!
c:@F@JSContextGroupCreate	swift.func	JSContextGroupCreate()	JSContextGroupCreate()	func JSContextGroupCreate() -> JSContextGroupRef!
c:@F@JSContextGroupRelease	swift.func	JSContextGroupRelease(_:)	JSContextGroupRelease(_:)	func JSContextGroupRelease(_ group: JSContextGroupRef!)
c:@F@JSContextGroupRetain	swift.func	JSContextGroupRetain(_:)	JSContextGroupRetain(_:)	func JSContextGroupRetain(_ group: JSContextGroupRef!) -> JSContextGroupRef!
c:@F@JSEvaluateScript	swift.func	JSEvaluateScript(_:_:_:_:_:_:)	JSEvaluateScript(_:_:_:_:_:_:)	func JSEvaluateScript(_ ctx: JSContextRef!, _ script: JSStringRef!, _ thisObject: JSObjectRef!, _ sourceURL: JSStringRef!, _ startingLineNumber: Int32, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSValueRef!
c:@F@JSGarbageCollect	swift.func	JSGarbageCollect(_:)	JSGarbageCollect(_:)	func JSGarbageCollect(_ ctx: JSContextRef!)
c:@F@JSGlobalContextCopyName	swift.func	JSGlobalContextCopyName(_:)	JSGlobalContextCopyName(_:)	func JSGlobalContextCopyName(_ ctx: JSGlobalContextRef!) -> JSStringRef!
c:@F@JSGlobalContextCreate	swift.func	JSGlobalContextCreate(_:)	JSGlobalContextCreate(_:)	func JSGlobalContextCreate(_ globalObjectClass: JSClassRef!) -> JSGlobalContextRef!
c:@F@JSGlobalContextCreateInGroup	swift.func	JSGlobalContextCreateInGroup(_:_:)	JSGlobalContextCreateInGroup(_:_:)	func JSGlobalContextCreateInGroup(_ group: JSContextGroupRef!, _ globalObjectClass: JSClassRef!) -> JSGlobalContextRef!
c:@F@JSGlobalContextIsInspectable	swift.func	JSGlobalContextIsInspectable(_:)	JSGlobalContextIsInspectable(_:)	func JSGlobalContextIsInspectable(_ ctx: JSGlobalContextRef!) -> Bool
c:@F@JSGlobalContextRelease	swift.func	JSGlobalContextRelease(_:)	JSGlobalContextRelease(_:)	func JSGlobalContextRelease(_ ctx: JSGlobalContextRef!)
c:@F@JSGlobalContextRetain	swift.func	JSGlobalContextRetain(_:)	JSGlobalContextRetain(_:)	func JSGlobalContextRetain(_ ctx: JSGlobalContextRef!) -> JSGlobalContextRef!
c:@F@JSGlobalContextSetInspectable	swift.func	JSGlobalContextSetInspectable(_:_:)	JSGlobalContextSetInspectable(_:_:)	func JSGlobalContextSetInspectable(_ ctx: JSGlobalContextRef!, _ inspectable: Bool)
c:@F@JSGlobalContextSetName	swift.func	JSGlobalContextSetName(_:_:)	JSGlobalContextSetName(_:_:)	func JSGlobalContextSetName(_ ctx: JSGlobalContextRef!, _ name: JSStringRef!)
c:@F@JSObjectCallAsConstructor	swift.func	JSObjectCallAsConstructor(_:_:_:_:_:)	JSObjectCallAsConstructor(_:_:_:_:_:)	func JSObjectCallAsConstructor(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ argumentCount: Int, _ arguments: UnsafePointer<JSValueRef?>!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSObjectRef!
c:@F@JSObjectCallAsFunction	swift.func	JSObjectCallAsFunction(_:_:_:_:_:_:)	JSObjectCallAsFunction(_:_:_:_:_:_:)	func JSObjectCallAsFunction(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ thisObject: JSObjectRef!, _ argumentCount: Int, _ arguments: UnsafePointer<JSValueRef?>!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSValueRef!
c:@F@JSObjectCopyPropertyNames	swift.func	JSObjectCopyPropertyNames(_:_:)	JSObjectCopyPropertyNames(_:_:)	func JSObjectCopyPropertyNames(_ ctx: JSContextRef!, _ object: JSObjectRef!) -> JSPropertyNameArrayRef!
c:@F@JSObjectDeleteProperty	swift.func	JSObjectDeleteProperty(_:_:_:_:)	JSObjectDeleteProperty(_:_:_:_:)	func JSObjectDeleteProperty(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ propertyName: JSStringRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Bool
c:@F@JSObjectDeletePropertyForKey	swift.func	JSObjectDeletePropertyForKey(_:_:_:_:)	JSObjectDeletePropertyForKey(_:_:_:_:)	func JSObjectDeletePropertyForKey(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ propertyKey: JSValueRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Bool
c:@F@JSObjectGetArrayBufferByteLength	swift.func	JSObjectGetArrayBufferByteLength(_:_:_:)	JSObjectGetArrayBufferByteLength(_:_:_:)	func JSObjectGetArrayBufferByteLength(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Int
c:@F@JSObjectGetArrayBufferBytesPtr	swift.func	JSObjectGetArrayBufferBytesPtr(_:_:_:)	JSObjectGetArrayBufferBytesPtr(_:_:_:)	func JSObjectGetArrayBufferBytesPtr(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> UnsafeMutableRawPointer!
c:@F@JSObjectGetPrivate	swift.func	JSObjectGetPrivate(_:)	JSObjectGetPrivate(_:)	func JSObjectGetPrivate(_ object: JSObjectRef!) -> UnsafeMutableRawPointer!
c:@F@JSObjectGetProperty	swift.func	JSObjectGetProperty(_:_:_:_:)	JSObjectGetProperty(_:_:_:_:)	func JSObjectGetProperty(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ propertyName: JSStringRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSValueRef!
c:@F@JSObjectGetPropertyAtIndex	swift.func	JSObjectGetPropertyAtIndex(_:_:_:_:)	JSObjectGetPropertyAtIndex(_:_:_:_:)	func JSObjectGetPropertyAtIndex(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ propertyIndex: UInt32, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSValueRef!
c:@F@JSObjectGetPropertyForKey	swift.func	JSObjectGetPropertyForKey(_:_:_:_:)	JSObjectGetPropertyForKey(_:_:_:_:)	func JSObjectGetPropertyForKey(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ propertyKey: JSValueRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSValueRef!
c:@F@JSObjectGetPrototype	swift.func	JSObjectGetPrototype(_:_:)	JSObjectGetPrototype(_:_:)	func JSObjectGetPrototype(_ ctx: JSContextRef!, _ object: JSObjectRef!) -> JSValueRef!
c:@F@JSObjectGetTypedArrayBuffer	swift.func	JSObjectGetTypedArrayBuffer(_:_:_:)	JSObjectGetTypedArrayBuffer(_:_:_:)	func JSObjectGetTypedArrayBuffer(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> JSObjectRef!
c:@F@JSObjectGetTypedArrayByteLength	swift.func	JSObjectGetTypedArrayByteLength(_:_:_:)	JSObjectGetTypedArrayByteLength(_:_:_:)	func JSObjectGetTypedArrayByteLength(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Int
c:@F@JSObjectGetTypedArrayByteOffset	swift.func	JSObjectGetTypedArrayByteOffset(_:_:_:)	JSObjectGetTypedArrayByteOffset(_:_:_:)	func JSObjectGetTypedArrayByteOffset(_ ctx: JSContextRef!, _ object: JSObjectRef!, _ exception: UnsafeMutablePointer<JSValueRef?>!) -> Int
