category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSBase.h	8451	265461a515aa39e8f40b70b5ad2cf755dd0745de862b0b6688c614bd33b105f9
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSContext.h	8641	b7f81d143bccd510217054c197dfe0b332466f35df9e1557eb28c6fdc06e5225
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSContextRef.h	7290	d582a5d0227cd7f2a4b0766769357334130407a53abe6235c6a13d136920ee60
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSExport.h	6415	7e39c540052b875dadf978aab8a074e373fd6db324bb4095b5e2ed193c54d893
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSManagedValue.h	3053	25635bdcdb092cdf33bf834036cc33092bd73cdcf1c0fe7ec9b9ef7089c959ec
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSObjectRef.h	42643	7d79ed3e3c2c9ca8ba334a3f1fc294af0dcb8a4be608b96636f93d29919fb686
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSStringRef.h	5880	20091cc5435fd835d3a0f4ec5a2be8a76503aee57d88ae71b8834350f02e1482
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSStringRefCF.h	2422	3babd32709773d49574f546e61f45f848b0c817cbcc028ea7f36af18818c2497
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSTypedArray.h	12186	6d6da313076eed64e0a07e097140933b50739d7d7633f6fd4dd59e84a1db0296
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSValue.h	34296	d2ada7f5d1063953491854fda795c8682b61437a675c417c91eb76a063e76e2d
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSValueRef.h	30198	63f922651d1a46bcbf6e6c22005dcfb56a517e3b5f2da5c1d20037381df92641
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JSVirtualMachine.h	3683	34cebf379462025c147b0dde97f2d148ef6408d973b0d6b9f2ba5c72829c239c
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JavaScript.h	1688	a6745932adc36ac24f8df05568dc3171401caa1d3a0d6e069dc77aa35715e1a4
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/JavaScriptCore.h	1702	919728e239e42bf87caa83b5c82e4fb980e4fe04de6f9937aa429bdd40188b78
header	System/Library/Frameworks/JavaScriptCore.framework/Headers/WebKitAvailability.h	1557	ee159da004897bbf84424f4a52b1a384122db46b341b4de2889cfade0b57a13e
tbd	System/Library/Frameworks/JavaScriptCore.framework/JavaScriptCore.tbd	453387	319412e49b33fba14552670a41425c33695b16915927364c3c6bb5ca1841dcae
modulemap	System/Library/Frameworks/JavaScriptCore.framework/Modules/module.modulemap	115	95576c61eee405dba5c81027bda107b9202e3fdb516e4f1ac17f670300b71875
