precise	kind	title	path	declaration
s:27LightweightCodeRequirements06LaunchB11RequirementV	swift.struct	LaunchCodeRequirement	LaunchCodeRequirement	struct LaunchCodeRequirement
s:27LightweightCodeRequirements06LaunchB11RequirementV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	LaunchCodeRequirement.==(_:_:)	static func == (lhs: LaunchCodeRequirement, rhs: LaunchCodeRequirement) -> Bool
s:27LightweightCodeRequirements06LaunchB11RequirementV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	LaunchCodeRequirement.init(from:)	init(from decoder: any Decoder) throws
s:27LightweightCodeRequirements06LaunchB11RequirementV5allOf11requirementACSayAA0D10Constraint_pGyXE_tKFZ	swift.type.method	allOf(requirement:)	LaunchCodeRequirement.allOf(requirement:)	static func allOf(@LaunchConstraintBuilder requirement: () -> [any LaunchConstraint]) throws -> LaunchCodeRequirement
s:27LightweightCodeRequirements06LaunchB11RequirementV5anyOf11requirementACSayAA0D10Constraint_pGyXE_tKFZ	swift.type.method	anyOf(requirement:)	LaunchCodeRequirement.anyOf(requirement:)	static func anyOf(@LaunchConstraintBuilder requirement: () -> [any LaunchConstraint]) throws -> LaunchCodeRequirement
s:27LightweightCodeRequirements06LaunchB11RequirementV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	LaunchCodeRequirement.encode(to:)	func encode(to encoder: any Encoder) throws
s:27LightweightCodeRequirements06LaunchB11RequirementVyAcA06OnDiskbE0VKcfc	swift.init	init(_:)	LaunchCodeRequirement.init(_:)	init(_ onDiskRequirement: OnDiskCodeRequirement) throws
s:27LightweightCodeRequirements06LaunchB11RequirementVyAcA07ProcessbE0VKcfc	swift.init	init(_:)	LaunchCodeRequirement.init(_:)	init(_ processRequirement: ProcessCodeRequirement) throws
s:27LightweightCodeRequirements06OnDiskB11RequirementV	swift.struct	OnDiskCodeRequirement	OnDiskCodeRequirement	struct OnDiskCodeRequirement
s:27LightweightCodeRequirements06OnDiskB11RequirementV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	OnDiskCodeRequirement.==(_:_:)	static func == (lhs: OnDiskCodeRequirement, rhs: OnDiskCodeRequirement) -> Bool
s:27LightweightCodeRequirements06OnDiskB11RequirementV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	OnDiskCodeRequirement.init(from:)	init(from decoder: any Decoder) throws
s:27LightweightCodeRequirements06OnDiskB11RequirementV5allOf11requirementACSayAA0dE10Constraint_pGyXE_tKFZ	swift.type.method	allOf(requirement:)	OnDiskCodeRequirement.allOf(requirement:)	static func allOf(@OnDiskConstraintBuilder requirement: () -> [any OnDiskConstraint]) throws -> OnDiskCodeRequirement
s:27LightweightCodeRequirements06OnDiskB11RequirementV5anyOf11requirementACSayAA0dE10Constraint_pGyXE_tKFZ	swift.type.method	anyOf(requirement:)	OnDiskCodeRequirement.anyOf(requirement:)	static func anyOf(@OnDiskConstraintBuilder requirement: () -> [any OnDiskConstraint]) throws -> OnDiskCodeRequirement
s:27LightweightCodeRequirements06OnDiskB11RequirementV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	OnDiskCodeRequirement.encode(to:)	func encode(to encoder: any Encoder) throws
s:27LightweightCodeRequirements06OnDiskB11RequirementVyAcA06LaunchbF0VKcfc	swift.init	init(_:)	OnDiskCodeRequirement.init(_:)	init(_ launchRequirement: LaunchCodeRequirement) throws
s:27LightweightCodeRequirements06OnDiskB11RequirementVyAcA07ProcessbF0VKcfc	swift.init	init(_:)	OnDiskCodeRequirement.init(_:)	init(_ processRequirement: ProcessCodeRequirement) throws
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV	swift.struct	OnDiskCodeSigningFlags	OnDiskCodeSigningFlags	struct OnDiskCodeSigningFlags
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV10isSuperset2ofA2C8ValueSetV_tFZ	swift.type.method	isSuperset(of:)	OnDiskCodeSigningFlags.isSuperset(of:)	static func isSuperset(of: OnDiskCodeSigningFlags.DataType) -> OnDiskCodeSigningFlags.OutType
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	OnDiskCodeSigningFlags.init(from:)	init(from decoder: any Decoder) throws
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	OnDiskCodeSigningFlags.encode(to:)	func encode(to encoder: any Encoder) throws
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV7OutTypea	swift.typealias	OnDiskCodeSigningFlags.OutType	OnDiskCodeSigningFlags.OutType	typealias OutType = OnDiskCodeSigningFlags
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8DataTypea	swift.typealias	OnDiskCodeSigningFlags.DataType	OnDiskCodeSigningFlags.DataType	typealias DataType = OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV	swift.struct	OnDiskCodeSigningFlags.ValueSet	OnDiskCodeSigningFlags.ValueSet	struct ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV010terminatesdbF7FailureAEvpZ	swift.type.property	terminatesOnCodeSigningFailure	OnDiskCodeSigningFlags.ValueSet.terminatesOnCodeSigningFailure	static let terminatesOnCodeSigningFailure: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV015signalsBusErrordbF7FailureAEvpZ	swift.type.property	signalsBusErrorOnCodeSigningFailure	OnDiskCodeSigningFlags.ValueSet.signalsBusErrorOnCodeSigningFailure	static let signalsBusErrorOnCodeSigningFailure: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV02isb33SignatureRequiredForAllExecutableB0AEvpZ	swift.type.property	isCodeSignatureRequiredForAllExecutableCode	OnDiskCodeSigningFlags.ValueSet.isCodeSignatureRequiredForAllExecutableCode	static let isCodeSignatureRequiredForAllExecutableCode: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV03RawH0a	swift.typealias	OnDiskCodeSigningFlags.ValueSet.RawValue	OnDiskCodeSigningFlags.ValueSet.RawValue	typealias RawValue = Int64
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV03rawH0AEs5Int64V_tcfc	swift.init	init(rawValue:)	OnDiskCodeSigningFlags.ValueSet.init(rawValue:)	init(rawValue: Int64)
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV03rawH0s5Int64Vvp	swift.property	rawValue	OnDiskCodeSigningFlags.ValueSet.rawValue	let rawValue: Int64
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV13isAdhocSignedAEvpZ	swift.type.property	isAdhocSigned	OnDiskCodeSigningFlags.ValueSet.isAdhocSigned	static let isAdhocSigned: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV16isSignedByLinkerAEvpZ	swift.type.property	isSignedByLinker	OnDiskCodeSigningFlags.ValueSet.isSignedByLinker	static let isSignedByLinker: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV19ArrayLiteralElementa	swift.typealias	OnDiskCodeSigningFlags.ValueSet.ArrayLiteralElement	OnDiskCodeSigningFlags.ValueSet.ArrayLiteralElement	typealias ArrayLiteralElement = OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV25isHardenedRuntimeEnforcedAEvpZ	swift.type.property	isHardenedRuntimeEnforced	OnDiskCodeSigningFlags.ValueSet.isHardenedRuntimeEnforced	static let isHardenedRuntimeEnforced: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV27isLibraryValidationRequiredAEvpZ	swift.type.property	isLibraryValidationRequired	OnDiskCodeSigningFlags.ValueSet.isLibraryValidationRequired	static let isLibraryValidationRequired: OnDiskCodeSigningFlags.ValueSet
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV29isDynamicLinkerPolicyHardenedAEvpZ	swift.type.property	isDynamicLinkerPolicyHardened	OnDiskCodeSigningFlags.ValueSet.isDynamicLinkerPolicyHardened	static let isDynamicLinkerPolicyHardened: OnDiskCodeSigningFlags.ValueSet
