precise	status	evidence	notes
s:20LiveCommunicationKit12ConversationC	implemented	test:full/livecommunicationkit/tests/agent/ConversationTests.swift#testConversationHostProperties	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO06remoteE0yA2EmF	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO10unansweredyA2EmF	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO15joinedElsewhereyA2EmF	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO17declinedElsewhereyA2EmF	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO6failedyA2EmF	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO8RawValuea	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValueTypealias	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO8rawValueAESgSi_tcfc	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11EndedReasonO8rawValueSivp	implemented	test:full/livecommunicationkit/tests/agent/ConversationEnumTests.swift#testConversationEndedReasonRawValues	-
s:20LiveCommunicationKit12ConversationC11localMemberAA6HandleVSgvp	implemented	test:full/livecommunicationkit/tests/agent/ConversationTests.swift#testConversationHostProperties	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV12playingTonesAEvpZ	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV19ArrayLiteralElementa	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesRawValueTypealiases	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV5videoAEvpZ	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7Elementa	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesRawValueTypealiases	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7mergingAEvpZ	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7pausingAEvpZ	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8RawValuea	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesRawValueTypealiases	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8rawValueAESi_tcfc	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8rawValueSivp	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC12CapabilitiesV9unmergingAEvpZ	implemented	test:full/livecommunicationkit/tests/agent/ConversationCapabilitiesTests.swift#testCapabilitiesMemberRawValues	-
s:20LiveCommunicationKit12ConversationC16debugDescriptionSSvp	implemented	test:full/livecommunicationkit/tests/agent/ConversationTests.swift#testConversationDebugDescriptionContainsUUIDAndState	-
