precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:20LiveCommunicationKit12ConversationC	swift.class	["Conversation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9	["/ABIRoot/children/9"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO	swift.enum	["Conversation","EndedReason"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7	["/ABIRoot/children/9/children/7"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO06remoteE0yA2EmF	swift.enum.case	["Conversation","EndedReason","remoteEnded"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/1	["/ABIRoot/children/9/children/7/children/1"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO10unansweredyA2EmF	swift.enum.case	["Conversation","EndedReason","unanswered"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/2	["/ABIRoot/children/9/children/7/children/2"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO15joinedElsewhereyA2EmF	swift.enum.case	["Conversation","EndedReason","joinedElsewhere"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/3	["/ABIRoot/children/9/children/7/children/3"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO17declinedElsewhereyA2EmF	swift.enum.case	["Conversation","EndedReason","declinedElsewhere"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/4	["/ABIRoot/children/9/children/7/children/4"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO6failedyA2EmF	swift.enum.case	["Conversation","EndedReason","failed"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/0	["/ABIRoot/children/9/children/7/children/0"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO8RawValuea	swift.typealias	["Conversation","EndedReason","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/6	["/ABIRoot/children/9/children/7/children/6"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO8rawValueAESgSi_tcfc	swift.init	["Conversation","EndedReason","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/5	["/ABIRoot/children/9/children/7/children/5"]
s:20LiveCommunicationKit12ConversationC11EndedReasonO8rawValueSivp	swift.property	["Conversation","EndedReason","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/7/children/7	["/ABIRoot/children/9/children/7/children/7"]
s:20LiveCommunicationKit12ConversationC11localMemberAA6HandleVSgvp	swift.property	["Conversation","localMember"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/2	["/ABIRoot/children/9/children/2"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV	swift.struct	["Conversation","Capabilities"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8	["/ABIRoot/children/9/children/8"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV12playingTonesAEvpZ	swift.type.property	["Conversation","Capabilities","playingTones"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/4	["/ABIRoot/children/9/children/8/children/4"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV19ArrayLiteralElementa	swift.typealias	["Conversation","Capabilities","ArrayLiteralElement"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/7	["/ABIRoot/children/9/children/8/children/7"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV5videoAEvpZ	swift.type.property	["Conversation","Capabilities","video"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/3	["/ABIRoot/children/9/children/8/children/3"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7Elementa	swift.typealias	["Conversation","Capabilities","Element"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/8	["/ABIRoot/children/9/children/8/children/8"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7mergingAEvpZ	swift.type.property	["Conversation","Capabilities","merging"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/1	["/ABIRoot/children/9/children/8/children/1"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV7pausingAEvpZ	swift.type.property	["Conversation","Capabilities","pausing"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/0	["/ABIRoot/children/9/children/8/children/0"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8RawValuea	swift.typealias	["Conversation","Capabilities","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/9	["/ABIRoot/children/9/children/8/children/9"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8rawValueAESi_tcfc	swift.init	["Conversation","Capabilities","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/6	["/ABIRoot/children/9/children/8/children/6"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV8rawValueSivp	swift.property	["Conversation","Capabilities","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/5	["/ABIRoot/children/9/children/8/children/5"]
s:20LiveCommunicationKit12ConversationC12CapabilitiesV9unmergingAEvpZ	swift.type.property	["Conversation","Capabilities","unmerging"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/8/children/2	["/ABIRoot/children/9/children/8/children/2"]
s:20LiveCommunicationKit12ConversationC16debugDescriptionSSvp	swift.property	["Conversation","debugDescription"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/3	["/ABIRoot/children/9/children/3"]
s:20LiveCommunicationKit12ConversationC4uuid10Foundation4UUIDVvp	swift.property	["Conversation","uuid"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/0	["/ABIRoot/children/9/children/0"]
s:20LiveCommunicationKit12ConversationC5EventO	swift.enum	["Conversation","Event"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5	["/ABIRoot/children/9/children/5"]
s:20LiveCommunicationKit12ConversationC5EventO17conversationEndedyAE10Foundation4DateV_AC0G6ReasonOtcAEmF	swift.enum.case	["Conversation","Event","conversationEnded(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/3	["/ABIRoot/children/9/children/5/children/3"]
s:20LiveCommunicationKit12ConversationC5EventO19conversationUpdatedyAeC6UpdateVcAEmF	swift.enum.case	["Conversation","Event","conversationUpdated(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/0	["/ABIRoot/children/9/children/5/children/0"]
s:20LiveCommunicationKit12ConversationC5EventO21conversationConnectedyAE10Foundation4DateVcAEmF	swift.enum.case	["Conversation","Event","conversationConnected(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/2	["/ABIRoot/children/9/children/5/children/2"]
s:20LiveCommunicationKit12ConversationC5EventO29conversationStartedConnectingyAE10Foundation4DateVcAEmF	swift.enum.case	["Conversation","Event","conversationStartedConnecting(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/1	["/ABIRoot/children/9/children/5/children/1"]
s:20LiveCommunicationKit12ConversationC5EventO2eeoiySbAE_AEtFZ	swift.func.op	["Conversation","Event","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/4	["/ABIRoot/children/9/children/5/children/4"]
s:20LiveCommunicationKit12ConversationC5EventO4fromAEs7Decoder_p_tKcfc	swift.init	["Conversation","Event","init(from:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/8	["/ABIRoot/children/9/children/5/children/8"]
s:20LiveCommunicationKit12ConversationC5EventO4hash4intoys6HasherVz_tF	swift.method	["Conversation","Event","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/6	["/ABIRoot/children/9/children/5/children/6"]
s:20LiveCommunicationKit12ConversationC5EventO6encode2toys7Encoder_p_tKF	swift.method	["Conversation","Event","encode(to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/5	["/ABIRoot/children/9/children/5/children/5"]
s:20LiveCommunicationKit12ConversationC5EventO9hashValueSivp	swift.property	["Conversation","Event","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/5/children/7	["/ABIRoot/children/9/children/5/children/7"]
s:20LiveCommunicationKit12ConversationC5StateO	swift.enum	["Conversation","State"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4	["/ABIRoot/children/9/children/4"]
s:20LiveCommunicationKit12ConversationC5StateO4idleyA2EmF	swift.enum.case	["Conversation","State","idle"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/0	["/ABIRoot/children/9/children/4/children/0"]
s:20LiveCommunicationKit12ConversationC5StateO4leftyA2EmF	swift.enum.case	["Conversation","State","left"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/5	["/ABIRoot/children/9/children/4/children/5"]
s:20LiveCommunicationKit12ConversationC5StateO6joinedyA2EmF	swift.enum.case	["Conversation","State","joined"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/2	["/ABIRoot/children/9/children/4/children/2"]
s:20LiveCommunicationKit12ConversationC5StateO6pausedyA2EmF	swift.enum.case	["Conversation","State","paused"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/3	["/ABIRoot/children/9/children/4/children/3"]
s:20LiveCommunicationKit12ConversationC5StateO7joiningyA2EmF	swift.enum.case	["Conversation","State","joining"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/1	["/ABIRoot/children/9/children/4/children/1"]
s:20LiveCommunicationKit12ConversationC5StateO7leavingyA2EmF	swift.enum.case	["Conversation","State","leaving"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/4	["/ABIRoot/children/9/children/4/children/4"]
s:20LiveCommunicationKit12ConversationC5StateO8RawValuea	swift.typealias	["Conversation","State","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/7	["/ABIRoot/children/9/children/4/children/7"]
s:20LiveCommunicationKit12ConversationC5StateO8rawValueAESgSi_tcfc	swift.init	["Conversation","State","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/6	["/ABIRoot/children/9/children/4/children/6"]
s:20LiveCommunicationKit12ConversationC5StateO8rawValueSivp	swift.property	["Conversation","State","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/4/children/8	["/ABIRoot/children/9/children/4/children/8"]
s:20LiveCommunicationKit12ConversationC5stateAC5StateOvp	swift.property	["Conversation","state"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/1	["/ABIRoot/children/9/children/1"]
s:20LiveCommunicationKit12ConversationC6UpdateV	swift.struct	["Conversation","Update"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6	["/ABIRoot/children/9/children/6"]
s:20LiveCommunicationKit12ConversationC6UpdateV11localMember7members19activeRemoteMembers12capabilitiesAeA6HandleVSg_ShyAKGSgAnC12CapabilitiesVSgtcfc	swift.init	["Conversation","Update","init(localMember:members:activeRemoteMembers:capabilities:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/4	["/ABIRoot/children/9/children/6/children/4"]
s:20LiveCommunicationKit12ConversationC6UpdateV11localMemberAA6HandleVSgvp	swift.property	["Conversation","Update","localMember"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/0	["/ABIRoot/children/9/children/6/children/0"]
s:20LiveCommunicationKit12ConversationC6UpdateV12capabilitiesAC12CapabilitiesVSgvp	swift.property	["Conversation","Update","capabilities"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/3	["/ABIRoot/children/9/children/6/children/3"]
s:20LiveCommunicationKit12ConversationC6UpdateV19activeRemoteMembersShyAA6HandleVGSgvp	swift.property	["Conversation","Update","activeRemoteMembers"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/2	["/ABIRoot/children/9/children/6/children/2"]
s:20LiveCommunicationKit12ConversationC6UpdateV2eeoiySbAE_AEtFZ	swift.func.op	["Conversation","Update","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/5	["/ABIRoot/children/9/children/6/children/5"]
s:20LiveCommunicationKit12ConversationC6UpdateV4fromAEs7Decoder_p_tKcfc	swift.init	["Conversation","Update","init(from:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/9	["/ABIRoot/children/9/children/6/children/9"]
s:20LiveCommunicationKit12ConversationC6UpdateV4hash4intoys6HasherVz_tF	swift.method	["Conversation","Update","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/7	["/ABIRoot/children/9/children/6/children/7"]
s:20LiveCommunicationKit12ConversationC6UpdateV6encode2toys7Encoder_p_tKF	swift.method	["Conversation","Update","encode(to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/6	["/ABIRoot/children/9/children/6/children/6"]
s:20LiveCommunicationKit12ConversationC6UpdateV7membersShyAA6HandleVGSgvp	swift.property	["Conversation","Update","members"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/1	["/ABIRoot/children/9/children/6/children/1"]
s:20LiveCommunicationKit12ConversationC6UpdateV9hashValueSivp	swift.property	["Conversation","Update","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9/children/6/children/8	["/ABIRoot/children/9/children/6/children/8"]
s:20LiveCommunicationKit14PlayToneActionC	swift.class	["PlayToneAction"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20	["/ABIRoot/children/20"]
s:20LiveCommunicationKit14PlayToneActionC0E0O	swift.enum	["PlayToneAction","Tone"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0	["/ABIRoot/children/20/children/0"]
s:20LiveCommunicationKit14PlayToneActionC0E0O6singleyA2EmF	swift.enum.case	["PlayToneAction","Tone","single"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/0	["/ABIRoot/children/20/children/0/children/0"]
s:20LiveCommunicationKit14PlayToneActionC0E0O8RawValuea	swift.typealias	["PlayToneAction","Tone","RawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/4	["/ABIRoot/children/20/children/0/children/4"]
s:20LiveCommunicationKit14PlayToneActionC0E0O8rawValueAESgSi_tcfc	swift.init	["PlayToneAction","Tone","init(rawValue:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/3	["/ABIRoot/children/20/children/0/children/3"]
s:20LiveCommunicationKit14PlayToneActionC0E0O8rawValueSivp	swift.property	["PlayToneAction","Tone","rawValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/5	["/ABIRoot/children/20/children/0/children/5"]
s:20LiveCommunicationKit14PlayToneActionC0E0O9hardPauseyA2EmF	swift.enum.case	["PlayToneAction","Tone","hardPause"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/2	["/ABIRoot/children/20/children/0/children/2"]
s:20LiveCommunicationKit14PlayToneActionC0E0O9softPauseyA2EmF	swift.enum.case	["PlayToneAction","Tone","softPause"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/0/children/1	["/ABIRoot/children/20/children/0/children/1"]
s:20LiveCommunicationKit14PlayToneActionC16conversationUUID6digits4toneAC10Foundation0H0V_SSAC0E0Otcfc	swift.init	["PlayToneAction","init(conversationUUID:digits:tone:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/3	["/ABIRoot/children/20/children/3"]
s:20LiveCommunicationKit14PlayToneActionC4toneAC0E0Ovp	swift.property	["PlayToneAction","tone"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/2	["/ABIRoot/children/20/children/2"]
s:20LiveCommunicationKit14PlayToneActionC6digitsSSvp	swift.property	["PlayToneAction","digits"]	exact-usr	exact-usr	1	1	/ABIRoot/children/20/children/1	["/ABIRoot/children/20/children/1"]
s:20LiveCommunicationKit15CellularServiceV	swift.struct	["CellularService"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12	["/ABIRoot/children/12"]
s:20LiveCommunicationKit15CellularServiceV2IDa	swift.typealias	["CellularService","ID"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/3	["/ABIRoot/children/12/children/3"]
s:20LiveCommunicationKit15CellularServiceV2eeoiySbAC_ACtFZ	swift.func.op	["CellularService","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/2	["/ABIRoot/children/12/children/2"]
s:20LiveCommunicationKit15CellularServiceV2id10Foundation4UUIDVvp	swift.property	["CellularService","id"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/0	["/ABIRoot/children/12/children/0"]
s:20LiveCommunicationKit15CellularServiceV4fromACs7Decoder_p_tKcfc	swift.init	["CellularService","init(from:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/7	["/ABIRoot/children/12/children/7"]
s:20LiveCommunicationKit15CellularServiceV4hash4intoys6HasherVz_tF	swift.method	["CellularService","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/5	["/ABIRoot/children/12/children/5"]
s:20LiveCommunicationKit15CellularServiceV5labelSSvp	swift.property	["CellularService","label"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/1	["/ABIRoot/children/12/children/1"]
s:20LiveCommunicationKit15CellularServiceV6encode2toys7Encoder_p_tKF	swift.method	["CellularService","encode(to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/4	["/ABIRoot/children/12/children/4"]
s:20LiveCommunicationKit15CellularServiceV9hashValueSivp	swift.property	["CellularService","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/12/children/6	["/ABIRoot/children/12/children/6"]
s:20LiveCommunicationKit18ConversationActionC	swift.class	["ConversationAction"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10	["/ABIRoot/children/10"]
s:20LiveCommunicationKit18ConversationActionC11timeoutDate10Foundation0G0Vvp	swift.property	["ConversationAction","timeoutDate"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/3	["/ABIRoot/children/10/children/3"]
s:20LiveCommunicationKit18ConversationActionC16conversationUUID10Foundation0G0Vvp	swift.property	["ConversationAction","conversationUUID"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/1	["/ABIRoot/children/10/children/1"]
s:20LiveCommunicationKit18ConversationActionC16conversationUUID11timeoutDateAC10Foundation0G0V_AF0I0Vtcfc	swift.init	["ConversationAction","init(conversationUUID:timeoutDate:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/4	["/ABIRoot/children/10/children/4"]
s:20LiveCommunicationKit18ConversationActionC4failyyF	swift.method	["ConversationAction","fail()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/6	["/ABIRoot/children/10/children/6"]
s:20LiveCommunicationKit18ConversationActionC4uuid10Foundation4UUIDVvp	swift.property	["ConversationAction","uuid"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/0	["/ABIRoot/children/10/children/0"]
s:20LiveCommunicationKit18ConversationActionC5StateO	swift.enum	["ConversationAction","State"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7	["/ABIRoot/children/10/children/7"]
s:20LiveCommunicationKit18ConversationActionC5StateO2eeoiySbAE_AEtFZ	swift.func.op	["ConversationAction","State","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/4	["/ABIRoot/children/10/children/7/children/4"]
s:20LiveCommunicationKit18ConversationActionC5StateO4fromAEs7Decoder_p_tKcfc	swift.init	["ConversationAction","State","init(from:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/8	["/ABIRoot/children/10/children/7/children/8"]
s:20LiveCommunicationKit18ConversationActionC5StateO4hash4intoys6HasherVz_tF	swift.method	["ConversationAction","State","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/6	["/ABIRoot/children/10/children/7/children/6"]
s:20LiveCommunicationKit18ConversationActionC5StateO4idleyA2EmF	swift.enum.case	["ConversationAction","State","idle"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/0	["/ABIRoot/children/10/children/7/children/0"]
s:20LiveCommunicationKit18ConversationActionC5StateO6encode2toys7Encoder_p_tKF	swift.method	["ConversationAction","State","encode(to:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/5	["/ABIRoot/children/10/children/7/children/5"]
s:20LiveCommunicationKit18ConversationActionC5StateO6failedyAESS_tcAEmF	swift.enum.case	["ConversationAction","State","failed(reason:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/3	["/ABIRoot/children/10/children/7/children/3"]
s:20LiveCommunicationKit18ConversationActionC5StateO7runningyA2EmF	swift.enum.case	["ConversationAction","State","running"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/1	["/ABIRoot/children/10/children/7/children/1"]
s:20LiveCommunicationKit18ConversationActionC5StateO8completeyA2EmF	swift.enum.case	["ConversationAction","State","complete"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/2	["/ABIRoot/children/10/children/7/children/2"]
s:20LiveCommunicationKit18ConversationActionC5StateO9hashValueSivp	swift.property	["ConversationAction","State","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/7/children/7	["/ABIRoot/children/10/children/7/children/7"]
s:20LiveCommunicationKit18ConversationActionC5stateAC5StateOvp	swift.property	["ConversationAction","state"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/2	["/ABIRoot/children/10/children/2"]
s:20LiveCommunicationKit18ConversationActionC7fulfillyyF	swift.method	["ConversationAction","fulfill()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/5	["/ABIRoot/children/10/children/5"]
s:20LiveCommunicationKit19ConversationManagerC	swift.class	["ConversationManager"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16	["/ABIRoot/children/16"]
s:20LiveCommunicationKit19ConversationManagerC017reportNewIncomingD04uuid6updatey10Foundation4UUIDV_AA0D0C6UpdateVtYaKF	swift.method	["ConversationManager","reportNewIncomingConversation(uuid:update:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/6	["/ABIRoot/children/16/children/6"]
s:20LiveCommunicationKit19ConversationManagerC06reportD5Event_3foryAA0D0C0G0O_AGtF	swift.method	["ConversationManager","reportConversationEvent(_:for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/7	["/ABIRoot/children/16/children/7"]
s:20LiveCommunicationKit19ConversationManagerC07pendingD7Actions2of3forSayAA0D6ActionCGAHm_AA0D0CtF	swift.method	["ConversationManager","pendingConversationActions(of:for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/16/children/10	["/ABIRoot/children/16/children/10"]
