precise	kind	title	path	declaration
c:@NSUserActivityTypeLockedCameraCapture	swift.var	NSUserActivityTypeLockedCameraCapture	NSUserActivityTypeLockedCameraCapture	let NSUserActivityTypeLockedCameraCapture: String
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::s:19LockedCameraCapture0abC7SessionC22ApplicationLaunchErrorO	swift.type.property	errorDomain	LockedCameraCaptureSession.ApplicationLaunchError.errorDomain	static var errorDomain: String { get }
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::s:19LockedCameraCapture0abC7SessionC22ApplicationLaunchErrorO	swift.property	errorUserInfo	LockedCameraCaptureSession.ApplicationLaunchError.errorUserInfo	var errorUserInfo: [String : Any] { get }
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:19LockedCameraCapture0abC7SessionC22ApplicationLaunchErrorO	swift.property	helpAnchor	LockedCameraCaptureSession.ApplicationLaunchError.helpAnchor	var helpAnchor: String? { get }
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:19LockedCameraCapture0abC7SessionC22ApplicationLaunchErrorO	swift.property	errorDescription	LockedCameraCaptureSession.ApplicationLaunchError.errorDescription	var errorDescription: String? { get }
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:19LockedCameraCapture0abC7SessionC22ApplicationLaunchErrorO	swift.property	recoverySuggestion	LockedCameraCaptureSession.ApplicationLaunchError.recoverySuggestion	var recoverySuggestion: String? { get }
s:19LockedCameraCapture0abC14ExtensionSceneP	swift.protocol	LockedCameraCaptureExtensionScene	LockedCameraCaptureExtensionScene	@MainActor protocol LockedCameraCaptureExtensionScene : AppExtensionScene
s:19LockedCameraCapture0abC7ManagerC	swift.class	LockedCameraCaptureManager	LockedCameraCaptureManager	final class LockedCameraCaptureManager
s:19LockedCameraCapture0abC7ManagerC18sessionContentURLsSay10Foundation3URLVGvp	swift.property	sessionContentURLs	LockedCameraCaptureManager.sessionContentURLs	final var sessionContentURLs: [URL] { get }
s:19LockedCameraCapture0abC7ManagerC20SessionContentUpdateO	swift.enum	LockedCameraCaptureManager.SessionContentUpdate	LockedCameraCaptureManager.SessionContentUpdate	enum SessionContentUpdate
