precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:10ManagedApp0aB5ErrorO	swift.property	["ManagedAppError","helpAnchor"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:10ManagedApp0aB5ErrorO	swift.property	["ManagedAppError","failureReason"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:10ManagedApp0aB5ErrorO	swift.property	["ManagedAppError","errorDescription"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:10ManagedApp0aB5ErrorO	swift.property	["ManagedAppError","recoverySuggestion"]	unmatched	none	0	0		[]
s:10ManagedApp0aB17PasswordsProviderC	swift.class	["ManagedAppPasswordsProvider"]	exact-usr	exact-usr	1	1	/ABIRoot/children/8	["/ABIRoot/children/8"]
s:10ManagedApp0aB17PasswordsProviderC11identifiersQrvp	swift.property	["ManagedAppPasswordsProvider","identifiers"]	exact-usr	exact-usr	1	1	/ABIRoot/children/8/children/1	["/ABIRoot/children/8/children/1"]
s:10ManagedApp0aB17PasswordsProviderC8password14withIdentifierS2S_tYaAA0aB5ErrorOYKF	swift.method	["ManagedAppPasswordsProvider","password(withIdentifier:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/8/children/2	["/ABIRoot/children/8/children/2"]
s:10ManagedApp0aB17PasswordsProviderCACycfc	swift.init	["ManagedAppPasswordsProvider","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/8/children/0	["/ABIRoot/children/8/children/0"]
s:10ManagedApp0aB18IdentitiesProviderC	swift.class	["ManagedAppIdentitiesProvider"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10	["/ABIRoot/children/10"]
s:10ManagedApp0aB18IdentitiesProviderC11identifiersQrvp	swift.property	["ManagedAppIdentitiesProvider","identifiers"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/1	["/ABIRoot/children/10/children/1"]
s:10ManagedApp0aB18IdentitiesProviderC8identity14withIdentifierSo14SecIdentityRefaSS_tYaAA0aB5ErrorOYKF	swift.method	["ManagedAppIdentitiesProvider","identity(withIdentifier:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/2	["/ABIRoot/children/10/children/2"]
s:10ManagedApp0aB18IdentitiesProviderCACycfc	swift.init	["ManagedAppIdentitiesProvider","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/0	["/ABIRoot/children/10/children/0"]
s:10ManagedApp0aB20CertificatesProviderC	swift.class	["ManagedAppCertificatesProvider"]	exact-usr	exact-usr	1	1	/ABIRoot/children/9	["/ABIRoot/children/9"]
