precise	status	evidence	notes
s:22ManagedAppDistribution0aB0V	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V11descriptionSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V11releaseDate10Foundation0E0VSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppReleaseDate	
s:22ManagedAppDistribution0aB0V12releaseNotesSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V12requirementsSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V13contentRatingSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V13privacyPolicy10Foundation3URLVSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppURLs	
s:22ManagedAppDistribution0aB0V14screenshotURLs7fittingSay10Foundation3URLVGSo6CGSizeV_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppScreenshotURLsFailClosed	
s:22ManagedAppDistribution0aB0V16developerWebsite10Foundation3URLVSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppURLs	
s:22ManagedAppDistribution0aB0V16licenseAgreement10Foundation3URLVSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppURLs	
s:22ManagedAppDistribution0aB0V16metadataLanguage10Foundation6LocaleV0E0VSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppLanguages	
s:22ManagedAppDistribution0aB0V2IDa	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppIdentifiable	
s:22ManagedAppDistribution0aB0V2eeoiySbAC_ACtFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppEquality	
s:22ManagedAppDistribution0aB0V2idSSvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppIdentifiable	
s:22ManagedAppDistribution0aB0V4hash4intoys6HasherVz_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppHash	
s:22ManagedAppDistribution0aB0V4nameSSvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V6genresSaySSGvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V6sellerSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V7iconURL7fitting10Foundation0E0VSgSo6CGSizeV_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppIconURLFailClosed	
s:22ManagedAppDistribution0aB0V7versionSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V8PlatformV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformCases	
s:22ManagedAppDistribution0aB0V8PlatformV11descriptionSSvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformDescription	
s:22ManagedAppDistribution0aB0V8PlatformV2eeoiySbAE_AEtFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformHashable	
s:22ManagedAppDistribution0aB0V8PlatformV3iOSAEvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformCases	
s:22ManagedAppDistribution0aB0V8PlatformV4hash4intoys6HasherVz_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformHashable	
s:22ManagedAppDistribution0aB0V8PlatformV5macOSAEvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformCases	
s:22ManagedAppDistribution0aB0V8PlatformV8visionOSAEvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformCases	
s:22ManagedAppDistribution0aB0V8PlatformV9hashValueSivp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testManagedAppPlatformHashable	
s:22ManagedAppDistribution0aB0V8fileSize10Foundation11MeasurementVySo24NSUnitInformationStorageCGSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppFileSize	
s:22ManagedAppDistribution0aB0V8platformAA8PlatformVvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppPlatformProperty	
s:22ManagedAppDistribution0aB0V8subtitleSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V9copyrightSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppStoresMetadata	
s:22ManagedAppDistribution0aB0V9hashValueSivp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppHash	
s:22ManagedAppDistribution0aB0V9languagesSay10Foundation6LocaleV8LanguageVGvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppTests.swift#testManagedAppLanguages	
s:22ManagedAppDistribution0aB7LibraryC	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testCurrentDistributorSingleton	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testAvailableAppsType	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV13AsyncIteratorV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testManagedAppsMakeAsyncIterator	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV13AsyncIteratorV4next9isolations6ResultOySayAA0aB0VGAA0abC5ErrorOGSgScA_pSgYi_tYaF	deferred		async AsyncIterator.next(isolation:) overload; sealed runner cannot await and cited tests may not block-wait
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV13AsyncIteratorV4nexts6ResultOySayAA0aB0VGAA0abC5ErrorOGSgyYaKF	deferred		async AsyncIterator.next() overload; sealed runner cannot await and cited tests may not block-wait
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV13AsyncIteratorV7Elementa	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testAsyncIteratorElementTypealias	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV13AsyncIteratorV7Failurea	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testAsyncIteratorFailureIsNever	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV17makeAsyncIteratorAE0gH0VyF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testManagedAppsMakeAsyncIterator	
s:22ManagedAppDistribution0aB7LibraryC0A4AppsV7Elementa	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testManagedAppsElementTypealias	
s:22ManagedAppDistribution0aB7LibraryC13availableAppsAC0aF0Vvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testAvailableAppsType	
s:22ManagedAppDistribution0aB7LibraryC18currentDistributorACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppLibraryTests.swift#testCurrentDistributorSingleton	
s:22ManagedAppDistribution0abC5ErrorO	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO013unrecoverableD0yA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO06appNotA0yA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO07networkD0yA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO09deviceNotA0yA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO10helpAnchorSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorRecoveryFailClosed	
s:22ManagedAppDistribution0abC5ErrorO11descriptionSSvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorDescriptionStrings	
s:22ManagedAppDistribution0abC5ErrorO13failureReasonSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorDescriptionStrings	
s:22ManagedAppDistribution0abC5ErrorO15attemptRecovery11optionIndex13resultHandlerySi_ySbctF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorAttemptRecoveryHandler	
s:22ManagedAppDistribution0abC5ErrorO15attemptRecovery11optionIndexSbSi_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorRecoveryFailClosed	
s:22ManagedAppDistribution0abC5ErrorO15licenseNotFoundyA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO15recoveryOptionsSaySSGvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorRecoveryFailClosed	
s:22ManagedAppDistribution0abC5ErrorO16errorDescriptionSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorDescriptionStrings	
s:22ManagedAppDistribution0abC5ErrorO18recoverySuggestionSSSgvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorRecoveryFailClosed	
s:22ManagedAppDistribution0abC5ErrorO19unsupportedPlatformyA2CmF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCases	
s:22ManagedAppDistribution0abC5ErrorO23localizedStringResource10Foundation09LocalizedfG0Vvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorLocalizedStringResource	
s:22ManagedAppDistribution0abC5ErrorO2eeoiySbAC_ACtFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorHashableInequality	
s:22ManagedAppDistribution0abC5ErrorO4fromACs7Decoder_p_tKcfc	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCodableRoundTrip	
s:22ManagedAppDistribution0abC5ErrorO4hash4intoys6HasherVz_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorHashableInequality	
s:22ManagedAppDistribution0abC5ErrorO6encode2toys7Encoder_p_tKF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorCodableRoundTrip	
s:22ManagedAppDistribution0abC5ErrorO9hashValueSivp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppDistributionErrorTests.swift#testErrorHashableInequality	
s:22ManagedAppDistribution8PlatformV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformCases	
s:22ManagedAppDistribution8PlatformV11descriptionSSvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformDescription	
s:22ManagedAppDistribution8PlatformV2eeoiySbAC_ACtFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformHashable	
s:22ManagedAppDistribution8PlatformV3iOSACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformCases	
s:22ManagedAppDistribution8PlatformV4hash4intoys6HasherVz_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformHashable	
s:22ManagedAppDistribution8PlatformV5macOSACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformCases	
s:22ManagedAppDistribution8PlatformV8visionOSACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformCases	
s:22ManagedAppDistribution8PlatformV9hashValueSivp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppPlatformTests.swift#testPlatformHashable	
s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedContentViewStoresLabels	
s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV12primaryLabel09secondaryI008tertiaryI0010quaternaryI010offerState0M6Action4iconACyxG0dE018LocalizedStringKeyV_A3nA0af5OfferN0VyAPcxyXEtcfc	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedContentViewStoresLabels	
s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV12primaryLabel09secondaryI008tertiaryI0010quaternaryI010offerState0M6Action4iconACyxGSy_p_Sy_pSy_pSy_pAA0af5OfferN0VyAMcxyXEtcfc	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedContentViewStringProtocolInit	
s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV4Bodya	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedContentViewStoresLabels	
s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV4bodyQrvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedContentViewStoresLabels	
s:31_ManagedAppDistribution_SwiftUI0A12ContentStyleV	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testContentStyleCases	
s:31_ManagedAppDistribution_SwiftUI0A12ContentStyleV6headerACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testContentStyleCases	
s:31_ManagedAppDistribution_SwiftUI0A12ContentStyleV7compactACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testContentStyleCases	
s:31_ManagedAppDistribution_SwiftUI0A12ContentStyleV9automaticACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testContentStyleCases	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCases	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV10installing8progressACSdSg_tFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateInstallingProgress	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV12notInstalledACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCases	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV14neverInstalledACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCases	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV14noninteractiveACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCases	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV2eeoiySbAC_ACtFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateHashable	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV4hash4intoys6HasherVz_tF	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateHashable	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV6custom5titleACSS_tFZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCustomTitle	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV9hashValueSivp	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateHashable	
s:31_ManagedAppDistribution_SwiftUI0A17ContentOfferStateV9installedACvpZ	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testOfferStateCases	
s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedAppViewStoresApp	
s:31_ManagedAppDistribution_SwiftUI0aB4ViewV3appAC0abC00aB0V_tcfc	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedAppViewStoresApp	
s:31_ManagedAppDistribution_SwiftUI0aB4ViewV4Bodya	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedAppViewBody	
s:31_ManagedAppDistribution_SwiftUI0aB4ViewV4bodyQrvp	implemented	test:full/managedappdistribution/tests/agent/ManagedAppViewTests.swift#testManagedAppViewBody	
s:7SwiftUI4ViewP024_ManagedAppDistribution_aB0E19managedContentStyleyQrAD0dhI0VF	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testManagedContentStyleModifier	
s:7SwiftUI4ViewP024_ManagedAppDistribution_aB0E19managedContentStyleyQrAD0dhI0VF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testManagedContentStyleModifier	
s:7SwiftUI4ViewP024_ManagedAppDistribution_aB0E19managedContentStyleyQrAD0dhI0VF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedContentTests.swift#testManagedContentStyleModifier	
s:7SwiftUI4ViewPAAE010navigationC5StyleyQrqd__AA010NavigationcE0Rd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationViewStyleIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE010navigationC5StyleyQrqd__AA010NavigationcE0Rd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationViewStyleIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidth3min5ideal3maxQr14CoreFoundation7CGFloatVSg_AjKtF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewColumnWidthIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidth3min5ideal3maxQr14CoreFoundation7CGFloatVSg_AjKtF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewColumnWidthIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidthyQr14CoreFoundation7CGFloatVF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewColumnWidthIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC11ColumnWidthyQr14CoreFoundation7CGFloatVF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewColumnWidthIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC5StyleyQrqd__AA010NavigationecF0Rd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewStyleIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE015navigationSplitC5StyleyQrqd__AA010NavigationecF0Rd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityCTests.swift#testNavigationSplitViewStyleIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13CustomizationyQrAA7BindingVyAA03TabcE0VGSgF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewCustomizationIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13CustomizationyQrAA7BindingVyAA03TabcE0VGSgF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewCustomizationIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13SidebarFooter7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewSidebarFooterIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13SidebarFooter7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewSidebarFooterIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13SidebarHeader7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewSidebarHeaderIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC13SidebarHeader7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0aB4ViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewSidebarHeaderIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
s:7SwiftUI4ViewPAAE03tabC15BottomAccessory7contentQrqd__yXE_tAaBRd__lF::SYNTHESIZED::s:31_ManagedAppDistribution_SwiftUI0A11ContentViewV	implemented	test:full/managedappdistribution/tests/agent/ManagedOverlayIdentityDTests.swift#testTabViewBottomAccessoryIdentity	identity View modifier; SwiftUI overlay; Linux no-op, no layout engine
