precise	kind	title	path	declaration
s:22ManagedAppDistribution0aB0V	swift.struct	ManagedApp	ManagedApp	struct ManagedApp
s:22ManagedAppDistribution0aB0V11descriptionSSSgvp	swift.property	description	ManagedApp.description	let description: String?
s:22ManagedAppDistribution0aB0V11releaseDate10Foundation0E0VSgvp	swift.property	releaseDate	ManagedApp.releaseDate	let releaseDate: Date?
s:22ManagedAppDistribution0aB0V12releaseNotesSSSgvp	swift.property	releaseNotes	ManagedApp.releaseNotes	let releaseNotes: String?
s:22ManagedAppDistribution0aB0V12requirementsSSSgvp	swift.property	requirements	ManagedApp.requirements	let requirements: String?
s:22ManagedAppDistribution0aB0V13contentRatingSSSgvp	swift.property	contentRating	ManagedApp.contentRating	let contentRating: String?
s:22ManagedAppDistribution0aB0V13privacyPolicy10Foundation3URLVSgvp	swift.property	privacyPolicy	ManagedApp.privacyPolicy	let privacyPolicy: URL?
s:22ManagedAppDistribution0aB0V14screenshotURLs7fittingSay10Foundation3URLVGSo6CGSizeV_tF	swift.method	screenshotURLs(fitting:)	ManagedApp.screenshotURLs(fitting:)	func screenshotURLs(fitting size: CGSize) -> [URL]
s:22ManagedAppDistribution0aB0V16developerWebsite10Foundation3URLVSgvp	swift.property	developerWebsite	ManagedApp.developerWebsite	let developerWebsite: URL?
s:22ManagedAppDistribution0aB0V16licenseAgreement10Foundation3URLVSgvp	swift.property	licenseAgreement	ManagedApp.licenseAgreement	var licenseAgreement: URL? { get }
s:22ManagedAppDistribution0aB0V16metadataLanguage10Foundation6LocaleV0E0VSgvp	swift.property	metadataLanguage	ManagedApp.metadataLanguage	let metadataLanguage: Locale.Language?
s:22ManagedAppDistribution0aB0V2IDa	swift.typealias	ManagedApp.ID	ManagedApp.ID	typealias ID = String
s:22ManagedAppDistribution0aB0V2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	ManagedApp.==(_:_:)	static func == (lhs: ManagedApp, rhs: ManagedApp) -> Bool
s:22ManagedAppDistribution0aB0V2idSSvp	swift.property	id	ManagedApp.id	var id: String { get }
