precise	status	evidence	notes
c:@M@ManagedSettings@objc(cs)ShieldActionDelegate	implemented	test:full/managedsettings/tests/agent/ManagedSettingsShieldTests.swift#testShieldActionDelegateInit	
c:@M@ManagedSettings@objc(cs)ShieldActionDelegate(im)init	implemented	test:full/managedsettings/tests/agent/ManagedSettingsShieldTests.swift#testShieldActionDelegateInit	
s:15ManagedSettings010GameCenterB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testGameCenterSettingsDenyAddingFriends	
s:15ManagedSettings010GameCenterB0V17denyAddingFriendsAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testGameCenterSettingsDenyAddingFriends	
s:15ManagedSettings010GameCenterB0V17denyAddingFriendsSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testGameCenterSettingsDenyAddingFriends	
s:15ManagedSettings010GameCenterB0V21denyMultiplayerGamingAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testGameCenterSettingsDenyMultiplayerGaming	
s:15ManagedSettings010GameCenterB0V21denyMultiplayerGamingSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testGameCenterSettingsDenyMultiplayerGaming	
s:15ManagedSettings010WebContentB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testWebContentSettingsBlockedByFilter	
s:15ManagedSettings010WebContentB0V12FilterPolicyO	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyEquality	
s:15ManagedSettings010WebContentB0V12FilterPolicyO2eeoiySbAE_AEtFZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyEquality	
s:15ManagedSettings010WebContentB0V12FilterPolicyO3allyAEShyAA0C6DomainVG_tcAEmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyEquality	
s:15ManagedSettings010WebContentB0V12FilterPolicyO4autoyAEShyAA0C6DomainVG_AItcAEmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyAssociatedDefaults	
s:15ManagedSettings010WebContentB0V12FilterPolicyO4noneyA2EmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyEquality	
s:15ManagedSettings010WebContentB0V12FilterPolicyO8specificyAEShyAA0C6DomainVGcAEmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testFilterPolicyEquality	
s:15ManagedSettings010WebContentB0V15blockedByFilterAA15SettingMetadataVyAC0G6PolicyOGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testWebContentSettingsBlockedByFilter	
s:15ManagedSettings010WebContentB0V15blockedByFilterAC0G6PolicyOSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testWebContentSettingsBlockedByFilter	
s:15ManagedSettings011ApplicationB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsDenyAppRemoval	
s:15ManagedSettings011ApplicationB0V14denyAppRemovalAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsDenyAppRemoval	
s:15ManagedSettings011ApplicationB0V14denyAppRemovalSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsDenyAppRemoval	
s:15ManagedSettings011ApplicationB0V19blockedApplicationsAA15SettingMetadataVyShyAA0C0VGGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsBlockedApplications	
s:15ManagedSettings011ApplicationB0V19blockedApplicationsShyAA0C0VGSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsBlockedApplications	
s:15ManagedSettings011ApplicationB0V19denyAppInstallationAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsDenyAppInstallation	
s:15ManagedSettings011ApplicationB0V19denyAppInstallationSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testApplicationSettingsDenyAppInstallation	
s:15ManagedSettings011DateAndTimeB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testDateAndTimeSettingsRequireAutomatic	
s:15ManagedSettings011DateAndTimeB0V016requireAutomaticcdE0AA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testDateAndTimeSettingsRequireAutomatic	
s:15ManagedSettings011DateAndTimeB0V016requireAutomaticcdE0SbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testDateAndTimeSettingsRequireAutomatic	
s:15ManagedSettings04SiriB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSiriSettingsDenySiri	
s:15ManagedSettings04SiriB0V04denyC0AA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSiriSettingsDenySiri	
s:15ManagedSettings04SiriB0V04denyC0SbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSiriSettingsDenySiri	
s:15ManagedSettings05MediaB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyExplicitContent	
s:15ManagedSettings05MediaB0V16denyMusicServiceAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyMusicService	
s:15ManagedSettings05MediaB0V16denyMusicServiceSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyMusicService	
s:15ManagedSettings05MediaB0V18maximumMovieRatingAA22BoundedSettingMetadataVySiGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsMaximumMovieRating	
s:15ManagedSettings05MediaB0V18maximumMovieRatingSiSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsMaximumMovieRating	
s:15ManagedSettings05MediaB0V19denyExplicitContentAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyExplicitContent	
s:15ManagedSettings05MediaB0V19denyExplicitContentSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyExplicitContent	
s:15ManagedSettings05MediaB0V19maximumTVShowRatingAA22BoundedSettingMetadataVySiGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsMaximumTVShowRating	
s:15ManagedSettings05MediaB0V19maximumTVShowRatingSiSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsMaximumTVShowRating	
s:15ManagedSettings05MediaB0V20denyBookstoreEroticaAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyBookstoreErotica	
s:15ManagedSettings05MediaB0V20denyBookstoreEroticaSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testMediaSettingsDenyBookstoreErotica	
s:15ManagedSettings06SafariB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSafariSettingsCookiePolicy	
s:15ManagedSettings06SafariB0V12CookiePolicyO	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO11descriptionSSvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyDescription	
s:15ManagedSettings06SafariB0V12CookiePolicyO14currentWebsiteyA2EmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO15visitedWebsitesyA2EmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO1loiySbAE_AEtFZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyComparableOperators	
s:15ManagedSettings06SafariB0V12CookiePolicyO5neveryA2EmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO6alwaysyA2EmF	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO8RawValuea	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO8rawValueAESgSS_tcfc	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12CookiePolicyO8rawValueSSvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsEnumTests.swift#testCookiePolicyRawValues	
s:15ManagedSettings06SafariB0V12cookiePolicyAA15SettingMetadataVyAC06CookieE0OGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSafariSettingsCookiePolicy	
s:15ManagedSettings06SafariB0V12cookiePolicyAC06CookieE0OSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSafariSettingsCookiePolicy	
s:15ManagedSettings06SafariB0V12denyAutoFillAA15SettingMetadataVySbGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSafariSettingsDenyAutoFill	
s:15ManagedSettings06SafariB0V12denyAutoFillSbSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testSafariSettingsDenyAutoFill	
s:15ManagedSettings06ShieldB0V	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsApplications	
s:15ManagedSettings06ShieldB0V10webDomainsAA15SettingMetadataVyShyAA5TokenVyAA9WebDomainVGGGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsWebDomains	
s:15ManagedSettings06ShieldB0V10webDomainsShyAA5TokenVyAA9WebDomainVGGSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsWebDomains	
s:15ManagedSettings06ShieldB0V12applicationsAA15SettingMetadataVyShyAA5TokenVyAA11ApplicationVGGGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsApplications	
s:15ManagedSettings06ShieldB0V12applicationsShyAA5TokenVyAA11ApplicationVGGSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsApplications	
s:15ManagedSettings06ShieldB0V19webDomainCategoriesAA15SettingMetadataVyAC22ActivityCategoryPolicyOy_AA03WebE0VGGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsWebDomainCategories	
s:15ManagedSettings06ShieldB0V19webDomainCategoriesAC22ActivityCategoryPolicyOy_AA03WebE0VGSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsWebDomainCategories	
s:15ManagedSettings06ShieldB0V21applicationCategoriesAA15SettingMetadataVyAC22ActivityCategoryPolicyOy_AA11ApplicationVGGvpZ	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsApplicationCategories	
s:15ManagedSettings06ShieldB0V21applicationCategoriesAC22ActivityCategoryPolicyOy_AA11ApplicationVGSgvp	implemented	test:full/managedsettings/tests/agent/ManagedSettingsGroupTests.swift#testShieldSettingsApplicationCategories	
