precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@MKAddressFilterOption	swift.struct	["MKAddressFilter","Options"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionAdministrativeArea	swift.type.property	["MKAddressFilter","Options","administrativeArea"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionCountry	swift.type.property	["MKAddressFilter","Options","country"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionLocality	swift.type.property	["MKAddressFilter","Options","locality"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionPostalCode	swift.type.property	["MKAddressFilter","Options","postalCode"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionSubAdministrativeArea	swift.type.property	["MKAddressFilter","Options","subAdministrativeArea"]	unmatched	none	0	0		[]
c:@E@MKAddressFilterOption@MKAddressFilterOptionSubLocality	swift.type.property	["MKAddressFilter","Options","subLocality"]	unmatched	none	0	0		[]
c:@E@MKAddressRepresentationsContextStyle	swift.enum	["MKAddressRepresentations","ContextStyle"]	unmatched	none	0	0		[]
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleAutomatic	swift.enum.case	["MKAddressRepresentations","ContextStyle","automatic"]	unmatched	none	0	0		[]
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleFull	swift.enum.case	["MKAddressRepresentations","ContextStyle","full"]	unmatched	none	0	0		[]
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleShort	swift.enum.case	["MKAddressRepresentations","ContextStyle","short"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewCollisionMode	swift.enum	["MKAnnotationView","CollisionMode"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeCircle	swift.enum.case	["MKAnnotationView","CollisionMode","circle"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeNone	swift.enum.case	["MKAnnotationView","CollisionMode","none"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeRectangle	swift.enum.case	["MKAnnotationView","CollisionMode","rectangle"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewDragState	swift.enum	["MKAnnotationView","DragState"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateCanceling	swift.enum.case	["MKAnnotationView","DragState","canceling"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateDragging	swift.enum.case	["MKAnnotationView","DragState","dragging"]	unmatched	none	0	0		[]
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateEnding	swift.enum.case	["MKAnnotationView","DragState","ending"]	unmatched	none	0	0		[]
