precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)MTRAttributeCacheContainer(im)readAttributeWithEndpointId:clusterId:attributeId:clientQueue:completion:	0cb75fa79b8ee837e6bbdbbb07d904bfda89bc856d7f22a7e77980432c3a7611	reference/symbol-graphs/Matter.symbols.json	0	1	1	swift.method	readAttribute(withEndpointId:clusterId:attributeId:clientQueue:)	MTRAttributeCacheContainer.readAttribute(withEndpointId:clusterId:attributeId:clientQueue:)	func readAttribute(withEndpointId endpointId: NSNumber?, clusterId: NSNumber?, attributeId: NSNumber?, clientQueue: dispatch_queue_t) async throws -> [[String : Any]]
c:objc(cs)MTRAttributeCacheContainer(im)readAttributeWithEndpointId:clusterId:attributeId:clientQueue:completion:	2744dc3a859bb164e992fcfa5040a3907088a4c6002d5bf04fe46a0806fc102c	reference/symbol-graphs/Matter.symbols.json	0	1	0	swift.method	readAttribute(withEndpointId:clusterId:attributeId:clientQueue:completion:)	MTRAttributeCacheContainer.readAttribute(withEndpointId:clusterId:attributeId:clientQueue:completion:)	func readAttribute(withEndpointId endpointId: NSNumber?, clusterId: NSNumber?, attributeId: NSNumber?, clientQueue: dispatch_queue_t, completion: @escaping ([[String : Any]]?, (any Error)?) -> Void)
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeACLWithClusterStateCache:endpoint:queue:completion:	cc28f9296aa05398d48caa96da36358ab7d867ce27242d7cd82836109b3f9322	reference/symbol-graphs/Matter.symbols.json	0	1	1	swift.type.method	readAttributeACL(withClusterStateCache:endpoint:queue:)	MTRBaseClusterAccessControl.readAttributeACL(withClusterStateCache:endpoint:queue:)	class func readAttributeACL(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t) async throws -> [Any]
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeACLWithClusterStateCache:endpoint:queue:completion:	1d5204c70cf75c7b9ff1ef3348f3b384880707623dbd86aab4c15f6c944d4b66	reference/symbol-graphs/Matter.symbols.json	0	1	0	swift.type.method	readAttributeACL(withClusterStateCache:endpoint:queue:completion:)	MTRBaseClusterAccessControl.readAttributeACL(withClusterStateCache:endpoint:queue:completion:)	class func readAttributeACL(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t, completion: @escaping ([Any]?, (any Error)?) -> Void)
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeARLWithClusterStateCache:endpoint:queue:completion:	aa49cffa748ba6d6d054c9e82420949379ad13b4ad6b1261ef2d0c2e4b731f8a	reference/symbol-graphs/Matter.symbols.json	0	1	1	swift.type.method	readAttributeARL(withClusterStateCache:endpoint:queue:)	MTRBaseClusterAccessControl.readAttributeARL(withClusterStateCache:endpoint:queue:)	class func readAttributeARL(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t) async throws -> [Any]
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeARLWithClusterStateCache:endpoint:queue:completion:	51be577a44473bdd2ee3853f33cf49c652e5b78aa6659a637b83367a33fcf145	reference/symbol-graphs/Matter.symbols.json	0	1	0	swift.type.method	readAttributeARL(withClusterStateCache:endpoint:queue:completion:)	MTRBaseClusterAccessControl.readAttributeARL(withClusterStateCache:endpoint:queue:completion:)	class func readAttributeARL(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t, completion: @escaping ([Any]?, (any Error)?) -> Void)
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeAcceptedCommandListWithAttributeCache:endpoint:queue:completionHandler:	f581f6a87398a7bb4e0ca009bdce6f398c49ed7870d6f8c09e899aede6b0319e	reference/symbol-graphs/Matter.symbols.json	0	1	1	swift.type.method	readAttributeAcceptedCommandList(withAttributeCache:endpoint:queue:)	MTRBaseClusterAccessControl.readAttributeAcceptedCommandList(withAttributeCache:endpoint:queue:)	class func readAttributeAcceptedCommandList(withAttributeCache attributeCacheContainer: MTRAttributeCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t) async throws -> [Any]
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeAcceptedCommandListWithAttributeCache:endpoint:queue:completionHandler:	e07e9641d0448592deb87d5b0ef2fa89b2dd34974b5de7b2daefc4baeab5e96b	reference/symbol-graphs/Matter.symbols.json	0	1	0	swift.type.method	readAttributeAcceptedCommandList(withAttributeCache:endpoint:queue:completionHandler:)	MTRBaseClusterAccessControl.readAttributeAcceptedCommandList(withAttributeCache:endpoint:queue:completionHandler:)	class func readAttributeAcceptedCommandList(withAttributeCache attributeCacheContainer: MTRAttributeCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t, completionHandler: @escaping ([Any]?, (any Error)?) -> Void)
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeAcceptedCommandListWithClusterStateCache:endpoint:queue:completion:	72ac25a91ffd1e37cc94ed284d80b7d2368a39905bb8ab41c70ca1622789b618	reference/symbol-graphs/Matter.symbols.json	0	1	1	swift.type.method	readAttributeAcceptedCommandList(withClusterStateCache:endpoint:queue:)	MTRBaseClusterAccessControl.readAttributeAcceptedCommandList(withClusterStateCache:endpoint:queue:)	class func readAttributeAcceptedCommandList(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t) async throws -> [Any]
c:objc(cs)MTRBaseClusterAccessControl(cm)readAttributeAcceptedCommandListWithClusterStateCache:endpoint:queue:completion:	c3aa009b79e7b0b599b15027de026264aaf9ef70515c0c7cce73de8cb3aadf7d	reference/symbol-graphs/Matter.symbols.json	0	1	0	swift.type.method	readAttributeAcceptedCommandList(withClusterStateCache:endpoint:queue:completion:)	MTRBaseClusterAccessControl.readAttributeAcceptedCommandList(withClusterStateCache:endpoint:queue:completion:)	class func readAttributeAcceptedCommandList(withClusterStateCache clusterStateCacheContainer: MTRClusterStateCacheContainer, endpoint: NSNumber, queue: dispatch_queue_t, completion: @escaping ([Any]?, (any Error)?) -> Void)
