precise	status	evidence	notes
c:@M@MatterSupport@objc(cs)MatterAddDeviceExtensionRequestHandler	implemented	tests/agent/MatterSupportRuntime.swift	
c:@M@MatterSupport@objc(cs)MatterAddDeviceExtensionRequestHandler(im)init	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV04showD8CriteriaAC0dG0Ovp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO10allDevicesyA2EmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO10fabricNodeyAE10Foundation4DataV_s6UInt64VtcAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO12serialNumberyAESScAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO15commissioningIDyAE10Foundation4UUIDVcAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO2eeoiySbAE_AEtFZ	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3allyAESayAEGcAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3anyyAESayAEGcAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3notyA2EcAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO4fromAEs7Decoder_p_tKcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO4hash4intoys6HasherVz_tF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO6encode2toys7Encoder_p_tKF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO8vendorIDyAESicAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO9hashValueSivp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO9productIDyAESicAEmF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV11isSupportedSbvpZ	implemented	tests/agent/MatterSupportRuntime.swift	always false on Linux
s:13MatterSupport0A16AddDeviceRequestV12setupPayloadSo08MTRSetupG0CSgvp	implemented	tests/agent/MatterSupportRuntime.swift	stored only; omitted from Codable
s:13MatterSupport0A16AddDeviceRequestV18shouldScanNetworksSbvp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV2eeoiySbAC_ACtFZ	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV11displayNameAESS_tcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV11displayNameSSvp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV2eeoiySbAE_AEtFZ	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV4fromAEs7Decoder_p_tKcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV4hash4intoys6HasherVz_tF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV6encode2toys7Encoder_p_tKF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4HomeV9hashValueSivp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV11displayNameAESS_tcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV11displayNameSSvp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV2eeoiySbAE_AEtFZ	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV4fromAEs7Decoder_p_tKcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV4hash4intoys6HasherVz_tF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV6encode2toys7Encoder_p_tKF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4RoomV9hashValueSivp	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4fromACs7Decoder_p_tKcfc	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV4hash4intoys6HasherVz_tF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV6encode2toys7Encoder_p_tKF	implemented	tests/agent/MatterSupportRuntime.swift	
s:13MatterSupport0A16AddDeviceRequestV7performyyYaKF	implemented	tests/agent/MatterSupportRuntime.swift	fail-closed throw; no Apple commissioning UI
s:13MatterSupport0A16AddDeviceRequestV8TopologyV	implemented	tests/agent/MatterSupportRuntime.swift	
