precise	kind	title	path	declaration
c:@M@MatterSupport@objc(cs)MatterAddDeviceExtensionRequestHandler	swift.class	MatterAddDeviceExtensionRequestHandler	MatterAddDeviceExtensionRequestHandler	@objc class MatterAddDeviceExtensionRequestHandler
c:@M@MatterSupport@objc(cs)MatterAddDeviceExtensionRequestHandler(im)init	swift.init	init()	MatterAddDeviceExtensionRequestHandler.init()	override dynamic init()
s:13MatterSupport0A16AddDeviceRequestV	swift.struct	MatterAddDeviceRequest	MatterAddDeviceRequest	struct MatterAddDeviceRequest
s:13MatterSupport0A16AddDeviceRequestV04showD8CriteriaAC0dG0Ovp	swift.property	showDeviceCriteria	MatterAddDeviceRequest.showDeviceCriteria	var showDeviceCriteria: MatterAddDeviceRequest.DeviceCriteria
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO	swift.enum	MatterAddDeviceRequest.DeviceCriteria	MatterAddDeviceRequest.DeviceCriteria	enum DeviceCriteria
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO10allDevicesyA2EmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.allDevices	MatterAddDeviceRequest.DeviceCriteria.allDevices	case allDevices
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO10fabricNodeyAE10Foundation4DataV_s6UInt64VtcAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.fabricNode(rootPublicKey:nodeID:)	MatterAddDeviceRequest.DeviceCriteria.fabricNode(rootPublicKey:nodeID:)	case fabricNode(rootPublicKey: Data, nodeID: UInt64)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO12serialNumberyAESScAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.serialNumber(_:)	MatterAddDeviceRequest.DeviceCriteria.serialNumber(_:)	case serialNumber(String)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO15commissioningIDyAE10Foundation4UUIDVcAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.commissioningID(_:)	MatterAddDeviceRequest.DeviceCriteria.commissioningID(_:)	case commissioningID(UUID)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	MatterAddDeviceRequest.DeviceCriteria.==(_:_:)	static func == (a: MatterAddDeviceRequest.DeviceCriteria, b: MatterAddDeviceRequest.DeviceCriteria) -> Bool
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3allyAESayAEGcAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.all(_:)	MatterAddDeviceRequest.DeviceCriteria.all(_:)	indirect case all([MatterAddDeviceRequest.DeviceCriteria])
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3anyyAESayAEGcAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.any(_:)	MatterAddDeviceRequest.DeviceCriteria.any(_:)	indirect case any([MatterAddDeviceRequest.DeviceCriteria])
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO3notyA2EcAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.not(_:)	MatterAddDeviceRequest.DeviceCriteria.not(_:)	indirect case not(MatterAddDeviceRequest.DeviceCriteria)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	MatterAddDeviceRequest.DeviceCriteria.init(from:)	init(from decoder: any Decoder) throws
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	MatterAddDeviceRequest.DeviceCriteria.hash(into:)	func hash(into hasher: inout Hasher)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	MatterAddDeviceRequest.DeviceCriteria.encode(to:)	func encode(to encoder: any Encoder) throws
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO8vendorIDyAESicAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.vendorID(_:)	MatterAddDeviceRequest.DeviceCriteria.vendorID(_:)	case vendorID(Int)
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO9hashValueSivp	swift.property	hashValue	MatterAddDeviceRequest.DeviceCriteria.hashValue	var hashValue: Int { get }
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO9productIDyAESicAEmF	swift.enum.case	MatterAddDeviceRequest.DeviceCriteria.productID(_:)	MatterAddDeviceRequest.DeviceCriteria.productID(_:)	case productID(Int)
s:13MatterSupport0A16AddDeviceRequestV11isSupportedSbvpZ	swift.type.property	isSupported	MatterAddDeviceRequest.isSupported	static var isSupported: Bool { get }
s:13MatterSupport0A16AddDeviceRequestV12setupPayloadSo08MTRSetupG0CSgvp	swift.property	setupPayload	MatterAddDeviceRequest.setupPayload	var setupPayload: MTRSetupPayload?
s:13MatterSupport0A16AddDeviceRequestV18shouldScanNetworksSbvp	swift.property	shouldScanNetworks	MatterAddDeviceRequest.shouldScanNetworks	var shouldScanNetworks: Bool
s:13MatterSupport0A16AddDeviceRequestV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	MatterAddDeviceRequest.==(_:_:)	static func == (a: MatterAddDeviceRequest, b: MatterAddDeviceRequest) -> Bool
s:13MatterSupport0A16AddDeviceRequestV4HomeV	swift.struct	MatterAddDeviceRequest.Home	MatterAddDeviceRequest.Home	struct Home
s:13MatterSupport0A16AddDeviceRequestV4HomeV11displayNameAESS_tcfc	swift.init	init(displayName:)	MatterAddDeviceRequest.Home.init(displayName:)	init(displayName: String)
s:13MatterSupport0A16AddDeviceRequestV4HomeV11displayNameSSvp	swift.property	displayName	MatterAddDeviceRequest.Home.displayName	var displayName: String
s:13MatterSupport0A16AddDeviceRequestV4HomeV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	MatterAddDeviceRequest.Home.==(_:_:)	static func == (a: MatterAddDeviceRequest.Home, b: MatterAddDeviceRequest.Home) -> Bool
s:13MatterSupport0A16AddDeviceRequestV4HomeV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	MatterAddDeviceRequest.Home.init(from:)	init(from decoder: any Decoder) throws
s:13MatterSupport0A16AddDeviceRequestV4HomeV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	MatterAddDeviceRequest.Home.hash(into:)	func hash(into hasher: inout Hasher)
s:13MatterSupport0A16AddDeviceRequestV4HomeV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	MatterAddDeviceRequest.Home.encode(to:)	func encode(to encoder: any Encoder) throws
s:13MatterSupport0A16AddDeviceRequestV4HomeV9hashValueSivp	swift.property	hashValue	MatterAddDeviceRequest.Home.hashValue	var hashValue: Int { get }
s:13MatterSupport0A16AddDeviceRequestV4RoomV	swift.struct	MatterAddDeviceRequest.Room	MatterAddDeviceRequest.Room	struct Room
s:13MatterSupport0A16AddDeviceRequestV4RoomV11displayNameAESS_tcfc	swift.init	init(displayName:)	MatterAddDeviceRequest.Room.init(displayName:)	init(displayName: String)
s:13MatterSupport0A16AddDeviceRequestV4RoomV11displayNameSSvp	swift.property	displayName	MatterAddDeviceRequest.Room.displayName	var displayName: String
s:13MatterSupport0A16AddDeviceRequestV4RoomV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	MatterAddDeviceRequest.Room.==(_:_:)	static func == (a: MatterAddDeviceRequest.Room, b: MatterAddDeviceRequest.Room) -> Bool
s:13MatterSupport0A16AddDeviceRequestV4RoomV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	MatterAddDeviceRequest.Room.init(from:)	init(from decoder: any Decoder) throws
s:13MatterSupport0A16AddDeviceRequestV4RoomV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	MatterAddDeviceRequest.Room.hash(into:)	func hash(into hasher: inout Hasher)
s:13MatterSupport0A16AddDeviceRequestV4RoomV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	MatterAddDeviceRequest.Room.encode(to:)	func encode(to encoder: any Encoder) throws
s:13MatterSupport0A16AddDeviceRequestV4RoomV9hashValueSivp	swift.property	hashValue	MatterAddDeviceRequest.Room.hashValue	var hashValue: Int { get }
s:13MatterSupport0A16AddDeviceRequestV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	MatterAddDeviceRequest.init(from:)	init(from decoder: any Decoder) throws
s:13MatterSupport0A16AddDeviceRequestV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	MatterAddDeviceRequest.hash(into:)	func hash(into hasher: inout Hasher)
s:13MatterSupport0A16AddDeviceRequestV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	MatterAddDeviceRequest.encode(to:)	func encode(to encoder: any Encoder) throws
s:13MatterSupport0A16AddDeviceRequestV7performyyYaKF	swift.method	perform()	MatterAddDeviceRequest.perform()	func perform() async throws
