precise	status	evidence	notes
c:@E@MPChangeLanguageOptionSetting	implemented	test:full/mediaplayer/tests/agent/MPEnumTests.swift#testEnumRawValues	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingNone	implemented	test:full/mediaplayer/tests/agent/MPEnumTests.swift#testEnumRawValues	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingNowPlayingItemOnly	implemented	test:full/mediaplayer/tests/agent/MPEnumTests.swift#testEnumRawValues	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPChangeLanguageOptionSetting@MPChangeLanguageOptionSettingPermanent	implemented	test:full/mediaplayer/tests/agent/MPEnumTests.swift#testEnumRawValues	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorCancelled	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorCloudServiceCapabilityMissing	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorNetworkConnectionFailed	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorNotFound	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorNotSupported	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorPermissionDenied	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorRequestTimedOut	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
c:@E@MPErrorCode@MPErrorUnknown	implemented	test:full/mediaplayer/tests/agent/MPErrorTests.swift#testMPErrorCodes	Exercised by focused depth-pass test. Numeric/string payloads MEASURED /tmp/mp_oracle.json iPhone SE 2x / iOS 26.1 where applicable.
