precise	kind	title	path	declaration
c:@Ea@kMTAudioProcessingTapCallbacksVersion_0@kMTAudioProcessingTapCallbacksVersion_0	swift.var	kMTAudioProcessingTapCallbacksVersion_0	kMTAudioProcessingTapCallbacksVersion_0	var kMTAudioProcessingTapCallbacksVersion_0: Int32 { get }
c:@Ea@kMTAudioProcessingTapCreationFlag_PreEffects@kMTAudioProcessingTapCreationFlag_PostEffects	swift.var	kMTAudioProcessingTapCreationFlag_PostEffects	kMTAudioProcessingTapCreationFlag_PostEffects	var kMTAudioProcessingTapCreationFlag_PostEffects: MTAudioProcessingTapCreationFlags { get }
c:@Ea@kMTAudioProcessingTapCreationFlag_PreEffects@kMTAudioProcessingTapCreationFlag_PreEffects	swift.var	kMTAudioProcessingTapCreationFlag_PreEffects	kMTAudioProcessingTapCreationFlag_PreEffects	var kMTAudioProcessingTapCreationFlag_PreEffects: MTAudioProcessingTapCreationFlags { get }
c:@Ea@kMTAudioProcessingTapFlag_StartOfStream@kMTAudioProcessingTapFlag_EndOfStream	swift.var	kMTAudioProcessingTapFlag_EndOfStream	kMTAudioProcessingTapFlag_EndOfStream	var kMTAudioProcessingTapFlag_EndOfStream: MTAudioProcessingTapFlags { get }
c:@Ea@kMTAudioProcessingTapFlag_StartOfStream@kMTAudioProcessingTapFlag_StartOfStream	swift.var	kMTAudioProcessingTapFlag_StartOfStream	kMTAudioProcessingTapFlag_StartOfStream	var kMTAudioProcessingTapFlag_StartOfStream: MTAudioProcessingTapFlags { get }
c:@F@MTAudioProcessingTapCreate	swift.func	MTAudioProcessingTapCreate(_:_:_:_:)	MTAudioProcessingTapCreate(_:_:_:_:)	func MTAudioProcessingTapCreate(_ allocator: CFAllocator?, _ callbacks: UnsafePointer<MTAudioProcessingTapCallbacks>, _ flags: MTAudioProcessingTapCreationFlags, _ tapOut: UnsafeMutablePointer<MTAudioProcessingTap?>) -> OSStatus
c:@F@MTAudioProcessingTapGetSourceAudio	swift.func	MTAudioProcessingTapGetSourceAudio(_:_:_:_:_:_:)	MTAudioProcessingTapGetSourceAudio(_:_:_:_:_:_:)	func MTAudioProcessingTapGetSourceAudio(_ tap: MTAudioProcessingTap, _ numberFrames: CMItemCount, _ bufferListInOut: UnsafeMutablePointer<AudioBufferList>, _ flagsOut: UnsafeMutablePointer<MTAudioProcessingTapFlags>?, _ timeRangeOut: UnsafeMutablePointer<CMTimeRange>?, _ numberFramesOut: UnsafeMutablePointer<CMItemCount>?) -> OSStatus
c:@F@MTAudioProcessingTapGetStorage	swift.func	MTAudioProcessingTapGetStorage(_:)	MTAudioProcessingTapGetStorage(_:)	func MTAudioProcessingTapGetStorage(_ tap: MTAudioProcessingTap) -> UnsafeMutableRawPointer
c:@F@MTAudioProcessingTapGetTypeID	swift.func	MTAudioProcessingTapGetTypeID()	MTAudioProcessingTapGetTypeID()	func MTAudioProcessingTapGetTypeID() -> CFTypeID
c:@F@MTCopyLocalizedNameForMediaSubType	swift.func	MTCopyLocalizedNameForMediaSubType(_:_:)	MTCopyLocalizedNameForMediaSubType(_:_:)	func MTCopyLocalizedNameForMediaSubType(_ mediaType: CMMediaType, _ mediaSubType: FourCharCode) -> CFString?
c:@F@MTCopyLocalizedNameForMediaType	swift.func	MTCopyLocalizedNameForMediaType(_:)	MTCopyLocalizedNameForMediaType(_:)	func MTCopyLocalizedNameForMediaType(_ mediaType: CMMediaType) -> CFString?
c:@SA@MTAudioProcessingTapCallbacks	swift.struct	MTAudioProcessingTapCallbacks	MTAudioProcessingTapCallbacks	struct MTAudioProcessingTapCallbacks
c:@SA@MTAudioProcessingTapCallbacks@FI@clientInfo	swift.property	clientInfo	MTAudioProcessingTapCallbacks.clientInfo	var clientInfo: UnsafeMutableRawPointer?
c:@SA@MTAudioProcessingTapCallbacks@FI@finalize	swift.property	finalize	MTAudioProcessingTapCallbacks.finalize	var finalize: MTAudioProcessingTapFinalizeCallback?
c:@SA@MTAudioProcessingTapCallbacks@FI@init	swift.property	init	MTAudioProcessingTapCallbacks.init	var `init`: MTAudioProcessingTapInitCallback?
c:@SA@MTAudioProcessingTapCallbacks@FI@prepare	swift.property	prepare	MTAudioProcessingTapCallbacks.prepare	var prepare: MTAudioProcessingTapPrepareCallback?
c:@SA@MTAudioProcessingTapCallbacks@FI@process	swift.property	process	MTAudioProcessingTapCallbacks.process	var process: MTAudioProcessingTapProcessCallback
c:@SA@MTAudioProcessingTapCallbacks@FI@unprepare	swift.property	unprepare	MTAudioProcessingTapCallbacks.unprepare	var unprepare: MTAudioProcessingTapUnprepareCallback?
c:@SA@MTAudioProcessingTapCallbacks@FI@version	swift.property	version	MTAudioProcessingTapCallbacks.version	var version: Int32
c:@T@MTAudioProcessingTapCreationFlags	swift.typealias	MTAudioProcessingTapCreationFlags	MTAudioProcessingTapCreationFlags	typealias MTAudioProcessingTapCreationFlags = UInt32
c:@T@MTAudioProcessingTapFinalizeCallback	swift.typealias	MTAudioProcessingTapFinalizeCallback	MTAudioProcessingTapFinalizeCallback	typealias MTAudioProcessingTapFinalizeCallback = (MTAudioProcessingTap) -> Void
c:@T@MTAudioProcessingTapFlags	swift.typealias	MTAudioProcessingTapFlags	MTAudioProcessingTapFlags	typealias MTAudioProcessingTapFlags = UInt32
c:@T@MTAudioProcessingTapInitCallback	swift.typealias	MTAudioProcessingTapInitCallback	MTAudioProcessingTapInitCallback	typealias MTAudioProcessingTapInitCallback = (MTAudioProcessingTap, UnsafeMutableRawPointer?, UnsafeMutablePointer<UnsafeMutableRawPointer?>) -> Void
c:@T@MTAudioProcessingTapPrepareCallback	swift.typealias	MTAudioProcessingTapPrepareCallback	MTAudioProcessingTapPrepareCallback	typealias MTAudioProcessingTapPrepareCallback = (MTAudioProcessingTap, CMItemCount, UnsafePointer<AudioStreamBasicDescription>) -> Void
