precise	status	evidence	notes
c:@E@MFMailComposeControllerDeferredAction	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testDeferredActionRawValues	Native enum; macios order none/adjustInsertionPoint/addMissingRecipients.
c:@E@MFMailComposeControllerDeferredAction@MFMailComposeControllerDeferredActionAddMissingRecipients	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testDeferredActionRawValues	Case addMissingRecipients; raw value 2.
c:@E@MFMailComposeControllerDeferredAction@MFMailComposeControllerDeferredActionAdjustInsertionPoint	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testDeferredActionRawValues	Case adjustInsertionPoint; raw value 1.
c:@E@MFMailComposeControllerDeferredAction@MFMailComposeControllerDeferredActionNone	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testDeferredActionRawValues	Case none; raw value 0.
c:@E@MFMailComposeErrorCode	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeErrorCodes	Bridged Code enum; macios SaveFailed/SendFailed.
c:@E@MFMailComposeErrorCode@MFMailComposeErrorCodeSaveFailed	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeErrorCodes	Case saveFailed; raw value 0.
c:@E@MFMailComposeErrorCode@MFMailComposeErrorCodeSendFailed	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeErrorCodes	Case sendFailed; raw value 1.
c:@E@MFMailComposeResult	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeResultRawValues	Native enum; macios Cancelled/Saved/Sent/Failed.
c:@E@MFMailComposeResult@MFMailComposeResultCancelled	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeResultRawValues	Case cancelled; raw value 0.
c:@E@MFMailComposeResult@MFMailComposeResultFailed	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeResultRawValues	Case failed; raw value 3.
c:@E@MFMailComposeResult@MFMailComposeResultSaved	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeResultRawValues	Case saved; raw value 1.
c:@E@MFMailComposeResult@MFMailComposeResultSent	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeResultRawValues	Case sent; raw value 2.
c:@E@MessageComposeResult	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMessageComposeResultRawValues	Native enum; macios Cancelled/Sent/Failed.
c:@E@MessageComposeResult@MessageComposeResultCancelled	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMessageComposeResultRawValues	Case cancelled; raw value 0.
c:@E@MessageComposeResult@MessageComposeResultFailed	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMessageComposeResultRawValues	Case failed; raw value 2.
c:@E@MessageComposeResult@MessageComposeResultSent	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMessageComposeResultRawValues	Case sent; raw value 1.
c:@MFMailComposeErrorDomain	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testMailComposeErrorDomain	String MFMailComposeErrorDomain from macios ErrorDomain annotation.
c:@MFMessageComposeViewControllerAttachmentAlternateFilename	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testNotificationAndAttachmentConstants	Constant name matches TBD export.
c:@MFMessageComposeViewControllerAttachmentURL	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testNotificationAndAttachmentConstants	Constant name matches TBD export.
c:@MFMessageComposeViewControllerTextMessageAvailabilityDidChangeNotification	implemented	test:full/messageui/tests/agent/MessageUITests.swift#testNotificationAndAttachmentConstants	NSNotification.Name raw value is the ObjC constant name.
