precise	status	evidence	notes
::SYNTHESIZED::c:@T@MTLPackedFloat3	implemented	test:full/metal/tests/agent/MetalGeometryTests.swift#testGeometryHelpers	Linux host behavior exercised by focused synchronous family test
c:@E@MTL4AlphaToCoverageState	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4AlphaToCoverageState@MTL4AlphaToCoverageStateDisabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4AlphaToCoverageState@MTL4AlphaToCoverageStateEnabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4AlphaToOneState	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4AlphaToOneState@MTL4AlphaToOneStateDisabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4AlphaToOneState@MTL4AlphaToOneStateEnabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BinaryFunctionOptions	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BinaryFunctionOptions@MTL4BinaryFunctionOptionPipelineIndependent	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BlendState	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BlendState@MTL4BlendStateDisabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BlendState@MTL4BlendStateEnabled	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4BlendState@MTL4BlendStateUnspecialized	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
c:@E@MTL4CommandQueueError	implemented	test:full/metal/tests/agent/MetalEnumTests.swift#testMetalEnumOptionSetAndConstantValues	-
