precise	status	evidence	notes
c:@F@MTKMetalVertexDescriptorFromModelIO	deferred		ModelIO is not on main; vertex-descriptor conversion stays deferred.
c:@F@MTKMetalVertexFormatFromModelIO	deferred		ModelIO is not on main; vertex-descriptor conversion stays deferred.
c:@F@MTKModelIOVertexDescriptorFromMetal	deferred		ModelIO is not on main; vertex-descriptor conversion stays deferred.
c:@F@MTKModelIOVertexFormatFromMetal	deferred		ModelIO is not on main; vertex-descriptor conversion stays deferred.
c:@MTKModelErrorDomain	implemented	full/metalkit/MetalKit.swift;tests/agent/MetalKitRuntime.swift	String newtype with ObjC export-name raw values; Apple payload identity unobserved beyond those names
c:@MTKModelErrorKey	implemented	full/metalkit/MetalKit.swift;tests/agent/MetalKitRuntime.swift	String newtype with ObjC export-name raw values; Apple payload identity unobserved beyond those names
c:@MTKTextureLoaderCubeLayoutVertical	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderErrorDomain	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderErrorKey	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionAllocateMipmaps	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionCubeLayout	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionGenerateMipmaps	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionLoadAsArray	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionOrigin	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionSRGB	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionTextureCPUCacheMode	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionTextureStorageMode	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOptionTextureUsage	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOriginBottomLeft	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOriginFlippedVertically	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@MTKTextureLoaderOriginTopLeft	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKModelError	implemented	full/metalkit/MetalKit.swift;tests/agent/MetalKitRuntime.swift	String newtype with ObjC export-name raw values; Apple payload identity unobserved beyond those names
c:@T@MTKTextureLoaderArrayCallback	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKTextureLoaderCallback	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKTextureLoaderCubeLayout	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKTextureLoaderError	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKTextureLoaderOption	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:@T@MTKTextureLoaderOrigin	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKMesh	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(im)initWithMesh:device:error:	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(py)name	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(py)submeshes	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(py)vertexBuffers	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(py)vertexCount	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMesh(py)vertexDescriptor	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(im)zone	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(py)allocator	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(py)buffer	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(py)length	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(py)offset	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBuffer(py)type	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBufferAllocator	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBufferAllocator(im)initWithDevice:	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKMeshBufferAllocator(py)device	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)indexBuffer	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)indexCount	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)indexType	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)mesh	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)name	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKSubmesh(py)primitiveType	deferred		ModelIO is not on main; MTKMesh/MTKMeshBuffer/MTKSubmesh stay deferred rather than inventing MDL types.
c:objc(cs)MTKTextureLoader	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)initWithDevice:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithCGImage:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithCGImage:options:error:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithContentsOfURL:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithContentsOfURL:options:error:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithData:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithData:options:error:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithMDLTexture:options:completionHandler:	deferred		ModelIO is not on main; MDLTexture loaders stay deferred rather than inventing MDL types.
c:objc(cs)MTKTextureLoader(im)newTextureWithMDLTexture:options:error:	deferred		ModelIO is not on main; MDLTexture loaders stay deferred rather than inventing MDL types.
c:objc(cs)MTKTextureLoader(im)newTextureWithName:scaleFactor:bundle:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTextureWithName:scaleFactor:bundle:options:error:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTexturesWithContentsOfURLs:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTexturesWithContentsOfURLs:options:error:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(im)newTexturesWithNames:scaleFactor:bundle:options:completionHandler:	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKTextureLoader(py)device	implemented	full/metalkit/MTKTextureLoader.swift;tests/agent/MetalKitRuntime.swift	Fail-closed loader on lookalike MTLDevice/CGImage; ImageIO not imported; option/error newtypes exercised
c:objc(cs)MTKView	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(im)draw	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(im)initWithCoder:	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(im)initWithFrame:device:	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(im)releaseDrawables	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)autoResizeDrawable	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)clearColor	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)clearDepth	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)clearStencil	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)colorPixelFormat	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
c:objc(cs)MTKView(py)currentDrawable	implemented	full/metalkit/MTKView.swift;tests/agent/MetalKitRuntime.swift	Isolated-host lookalike UIView/MTL* path; not the Metal/UIKit modules or Apple CAMetalLayer/GPU
