precise	status	evidence	notes
::SYNTHESIZED::c:@T@MPSPackedFloat3	implemented	test:full/metalperformanceshaders/tests/agent/MPSGeometryTests.swift#testMPSPackedAndRayStructs	validated packed vector value semantics
c:@E@MPSAccelerationStructureStatus	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSEnumRawValues	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureStatus@MPSAccelerationStructureStatusBuilt	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSEnumRawValues	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureStatus@MPSAccelerationStructureStatusUnbuilt	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSEnumRawValues	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureUsage	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureUsage@MPSAccelerationStructureUsageFrequentRebuild	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureUsage@MPSAccelerationStructureUsagePreferCPUBuild	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureUsage@MPSAccelerationStructureUsagePreferGPUBuild	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAccelerationStructureUsage@MPSAccelerationStructureUsageRefit	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyAliasingReserved	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyDefault	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyPreferNonTemporaryMemory	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyPreferTemporaryMemory	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyShallAlias	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
c:@E@MPSAliasingStrategy@MPSAliasingStrategyShallNotAlias	implemented	test:full/metalperformanceshaders/tests/agent/MPSTypesTests.swift#testMPSOptionSetAlgebra	Linux host implementation exercised by a focused agent test
