precise	status	evidence	notes
c:@E@MPSGraphDeploymentPlatform	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeploymentPlatform@MPSGraphDeploymentPlatformIOS	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeploymentPlatform@MPSGraphDeploymentPlatformMacOS	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeploymentPlatform@MPSGraphDeploymentPlatformTvOS	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeploymentPlatform@MPSGraphDeploymentPlatformVisionOS	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeviceType	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphDeviceType@MPSGraphDeviceTypeMetal	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphExecutionStage	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphExecutionStage@MPSGraphExecutionStageCompleted	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphFFTScalingMode	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphFFTScalingMode@MPSGraphFFTScalingModeNone	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphFFTScalingMode@MPSGraphFFTScalingModeSize	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphFFTScalingMode@MPSGraphFFTScalingModeUnitary	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphLossReductionType	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphLossReductionType@MPSGraphLossReductionTypeAxis	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphLossReductionType@MPSGraphLossReductionTypeMean	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphLossReductionType@MPSGraphLossReductionTypeNone	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphLossReductionType@MPSGraphLossReductionTypeSum	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphNonMaximumSuppressionCoordinateMode	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphNonMaximumSuppressionCoordinateMode@MPSGraphNonMaximumSuppressionCoordinateModeCentersHeightFirst	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphNonMaximumSuppressionCoordinateMode@MPSGraphNonMaximumSuppressionCoordinateModeCentersWidthFirst	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphNonMaximumSuppressionCoordinateMode@MPSGraphNonMaximumSuppressionCoordinateModeCornersHeightFirst	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphNonMaximumSuppressionCoordinateMode@MPSGraphNonMaximumSuppressionCoordinateModeCornersWidthFirst	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimization	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimization@MPSGraphOptimizationLevel0	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimization@MPSGraphOptimizationLevel1	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimizationProfile	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimizationProfile@MPSGraphOptimizationProfilePerformance	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptimizationProfile@MPSGraphOptimizationProfilePowerEfficiency	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptions	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptions@MPSGraphOptionsDefault	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptions@MPSGraphOptionsNone	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptions@MPSGraphOptionsSynchronizeResults	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphOptions@MPSGraphOptionsVerbose	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeAntiPeriodic	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeClampToEdge	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeConstant	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModePeriodic	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeReflect	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeSymmetric	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingMode@MPSGraphPaddingModeZero	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle@MPSGraphPaddingStyleExplicit	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle@MPSGraphPaddingStyleExplicitOffset	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle@MPSGraphPaddingStyleONNX_SAME_LOWER	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle@MPSGraphPaddingStyleTF_SAME	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPaddingStyle@MPSGraphPaddingStyleTF_VALID	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesGlobalFlatten1D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesGlobalFlatten2D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesGlobalFlatten3D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesGlobalFlatten4D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesLocalFlatten1D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesLocalFlatten2D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesLocalFlatten3D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesLocalFlatten4D	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphPoolingReturnIndicesMode@MPSGraphPoolingReturnIndicesNone	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphRNNActivation	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphRNNActivation@MPSGraphRNNActivationHardSigmoid	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphRNNActivation@MPSGraphRNNActivationNone	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
c:@E@MPSGraphRNNActivation@MPSGraphRNNActivationRelu	implemented	test:full/metalperformanceshadersgraph/tests/agent/MPSGraphTypesTests.swift#testEnumRawValues	
