precise	status	evidence	notes
c:@E@MXErrorCode	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskDuplicated	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskInternalFailure	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskInvalidID	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskMaxCount	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskPastDeadline	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@E@MXErrorCode@MXErrorLaunchTaskUnknown	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorCodeRawValues	Table-driven raw-value mapping from the pinned oracle.
c:@MXErrorDomain	implemented	test:full/metrickit/tests/agent/MXErrorTests.swift#testMXErrorDomainAndBridging	MXErrorDomain string, bridging, equality, and hashing.
c:@T@MXLaunchTaskID	implemented	test:full/metrickit/tests/agent/MXLaunchTaskTests.swift#testMXLaunchTaskID	MXLaunchTaskID equality, hashing, and inits.
c:objc(cs)MXAnimationMetric	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAnimationMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAnimationMetric(py)hitchTimeRatio	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAnimationMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAnimationMetric(py)scrollHitchTimeRatio	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAnimationMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppExitMetric	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppExitMetric(py)backgroundExitData	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppExitMetric(py)foregroundExitData	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchDiagnostic	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testAppLaunchDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchDiagnostic(py)callStackTree	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testAppLaunchDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchDiagnostic(py)launchDuration	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testAppLaunchDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchMetric	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppLaunchMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchMetric(py)histogrammedApplicationResumeTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppLaunchMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchMetric(py)histogrammedExtendedLaunch	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppLaunchMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchMetric(py)histogrammedOptimizedTimeToFirstDraw	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppLaunchMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppLaunchMetric(py)histogrammedTimeToFirstDraw	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppLaunchMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppResponsivenessMetric	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppResponsivenessMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppResponsivenessMetric(py)histogrammedApplicationHangTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppResponsivenessMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppRunTimeMetric	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppRunTimeMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppRunTimeMetric(py)cumulativeBackgroundAudioTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppRunTimeMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppRunTimeMetric(py)cumulativeBackgroundLocationTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppRunTimeMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppRunTimeMetric(py)cumulativeBackgroundTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppRunTimeMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAppRunTimeMetric(py)cumulativeForegroundTime	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppRunTimeMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXAverage	implemented	test:full/metrickit/tests/agent/MXHistogramTests.swift#testHistogramAndAverageGetters	Named getter assertions for histogram/average storage.
c:objc(cs)MXAverage(py)averageMeasurement	implemented	test:full/metrickit/tests/agent/MXHistogramTests.swift#testHistogramAndAverageGetters	Named getter assertions for histogram/average storage.
c:objc(cs)MXAverage(py)sampleCount	implemented	test:full/metrickit/tests/agent/MXHistogramTests.swift#testHistogramAndAverageGetters	Named getter assertions for histogram/average storage.
c:objc(cs)MXAverage(py)standardDeviation	implemented	test:full/metrickit/tests/agent/MXHistogramTests.swift#testHistogramAndAverageGetters	Named getter assertions for histogram/average storage.
c:objc(cs)MXBackgroundExitData	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeAbnormalExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeAppWatchdogExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeBackgroundTaskAssertionTimeoutExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeBadAccessExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeCPUResourceLimitExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeIllegalInstructionExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeMemoryPressureExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeMemoryResourceLimitExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeNormalAppExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXBackgroundExitData(py)cumulativeSuspendedWithLockedFileExitCount	implemented	test:full/metrickit/tests/agent/MXMetricGetterTests.swift#testAppExitMetricGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXCPUExceptionDiagnostic	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testCPUExceptionDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXCPUExceptionDiagnostic(py)callStackTree	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testCPUExceptionDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXCPUExceptionDiagnostic(py)totalCPUTime	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testCPUExceptionDiagnosticGetters	Named getter assertions for stored MetricKit values.
c:objc(cs)MXCPUExceptionDiagnostic(py)totalSampledTime	implemented	test:full/metrickit/tests/agent/MXDiagnosticGetterTests.swift#testCPUExceptionDiagnosticGetters	Named getter assertions for stored MetricKit values.
