precise	kind	title	path	declaration
c:@E@MXErrorCode	swift.enum	MXError.Code	MXError.Code	enum Code
c:@E@MXErrorCode@MXErrorLaunchTaskDuplicated	swift.enum.case	MXError.Code.launchTaskDuplicated	MXError.Code.launchTaskDuplicated	case launchTaskDuplicated
c:@E@MXErrorCode@MXErrorLaunchTaskInternalFailure	swift.enum.case	MXError.Code.launchTaskInternalFailure	MXError.Code.launchTaskInternalFailure	case launchTaskInternalFailure
c:@E@MXErrorCode@MXErrorLaunchTaskInvalidID	swift.enum.case	MXError.Code.launchTaskInvalidID	MXError.Code.launchTaskInvalidID	case launchTaskInvalidID
c:@E@MXErrorCode@MXErrorLaunchTaskMaxCount	swift.enum.case	MXError.Code.launchTaskMaxCount	MXError.Code.launchTaskMaxCount	case launchTaskMaxCount
c:@E@MXErrorCode@MXErrorLaunchTaskPastDeadline	swift.enum.case	MXError.Code.launchTaskPastDeadline	MXError.Code.launchTaskPastDeadline	case launchTaskPastDeadline
c:@E@MXErrorCode@MXErrorLaunchTaskUnknown	swift.enum.case	MXError.Code.launchTaskUnknown	MXError.Code.launchTaskUnknown	case launchTaskUnknown
c:@MXErrorDomain	swift.var	MXErrorDomain	MXErrorDomain	let MXErrorDomain: String
c:@T@MXLaunchTaskID	swift.struct	MXLaunchTaskID	MXLaunchTaskID	struct MXLaunchTaskID
c:objc(cs)MXAnimationMetric	swift.class	MXAnimationMetric	MXAnimationMetric	class MXAnimationMetric
c:objc(cs)MXAnimationMetric(py)hitchTimeRatio	swift.property	hitchTimeRatio	MXAnimationMetric.hitchTimeRatio	var hitchTimeRatio: Measurement<Unit> { get }
c:objc(cs)MXAnimationMetric(py)scrollHitchTimeRatio	swift.property	scrollHitchTimeRatio	MXAnimationMetric.scrollHitchTimeRatio	var scrollHitchTimeRatio: Measurement<Unit> { get }
c:objc(cs)MXAppExitMetric	swift.class	MXAppExitMetric	MXAppExitMetric	class MXAppExitMetric
c:objc(cs)MXAppExitMetric(py)backgroundExitData	swift.property	backgroundExitData	MXAppExitMetric.backgroundExitData	var backgroundExitData: MXBackgroundExitData { get }
