precise	status	evidence	notes
c:@E@MLCActivationType	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeAbsolute	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeCELU	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeClamp	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeELU	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeGELU	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeHardShrink	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeHardSigmoid	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeHardSwish	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeLinear	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeLogSigmoid	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeNone	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeReLU	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeReLUN	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeSELU	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeSigmoid	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeSoftPlus	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeSoftShrink	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeSoftSign	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeTanh	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeTanhShrink	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCActivationType@MLCActivationTypeThreshold	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testActivationTypeRawValues	
c:@E@MLCArithmeticOperation	implemented	test:full/mlcompute/tests/agent/MLComputeEnumTests.swift#testArithmeticOperationRawValues	
