precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@MLCActivationType	swift.enum	["MLCActivationType"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeAbsolute	swift.enum.case	["MLCActivationType","absolute"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeCELU	swift.enum.case	["MLCActivationType","celu"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeClamp	swift.enum.case	["MLCActivationType","clamp"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeELU	swift.enum.case	["MLCActivationType","elu"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeGELU	swift.enum.case	["MLCActivationType","gelu"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeHardShrink	swift.enum.case	["MLCActivationType","hardShrink"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeHardSigmoid	swift.enum.case	["MLCActivationType","hardSigmoid"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeHardSwish	swift.enum.case	["MLCActivationType","hardSwish"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeLinear	swift.enum.case	["MLCActivationType","linear"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeLogSigmoid	swift.enum.case	["MLCActivationType","logSigmoid"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeNone	swift.enum.case	["MLCActivationType","none"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeReLU	swift.enum.case	["MLCActivationType","relu"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeReLUN	swift.enum.case	["MLCActivationType","relun"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeSELU	swift.enum.case	["MLCActivationType","selu"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeSigmoid	swift.enum.case	["MLCActivationType","sigmoid"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeSoftPlus	swift.enum.case	["MLCActivationType","softPlus"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeSoftShrink	swift.enum.case	["MLCActivationType","softShrink"]	unmatched	none	0	0		[]
c:@E@MLCActivationType@MLCActivationTypeSoftSign	swift.enum.case	["MLCActivationType","softSign"]	unmatched	none	0	0		[]
