precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@MDLAnimatedValueInterpolation	swift.enum	["MDLAnimatedValueInterpolation"]	unmatched	none	0	0		[]
c:@E@MDLAnimatedValueInterpolation@MDLAnimatedValueInterpolationConstant	swift.enum.case	["MDLAnimatedValueInterpolation","constant"]	unmatched	none	0	0		[]
c:@E@MDLAnimatedValueInterpolation@MDLAnimatedValueInterpolationLinear	swift.enum.case	["MDLAnimatedValueInterpolation","linear"]	unmatched	none	0	0		[]
c:@E@MDLCameraProjection	swift.enum	["MDLCameraProjection"]	unmatched	none	0	0		[]
c:@E@MDLCameraProjection@MDLCameraProjectionOrthographic	swift.enum.case	["MDLCameraProjection","orthographic"]	unmatched	none	0	0		[]
c:@E@MDLCameraProjection@MDLCameraProjectionPerspective	swift.enum.case	["MDLCameraProjection","perspective"]	unmatched	none	0	0		[]
c:@E@MDLDataPrecision	swift.enum	["MDLDataPrecision"]	unmatched	none	0	0		[]
c:@E@MDLDataPrecision@MDLDataPrecisionDouble	swift.enum.case	["MDLDataPrecision","double"]	unmatched	none	0	0		[]
c:@E@MDLDataPrecision@MDLDataPrecisionFloat	swift.enum.case	["MDLDataPrecision","float"]	unmatched	none	0	0		[]
c:@E@MDLDataPrecision@MDLDataPrecisionUndefined	swift.enum.case	["MDLDataPrecision","undefined"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType	swift.enum	["MDLGeometryType"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypeLines	swift.enum.case	["MDLGeometryType","lines"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypePoints	swift.enum.case	["MDLGeometryType","points"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypeQuads	swift.enum.case	["MDLGeometryType","quads"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypeTriangleStrips	swift.enum.case	["MDLGeometryType","triangleStrips"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypeTriangles	swift.enum.case	["MDLGeometryType","triangles"]	unmatched	none	0	0		[]
c:@E@MDLGeometryType@MDLGeometryTypeVariableTopology	swift.enum.case	["MDLGeometryType","variableTopology"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth	swift.enum	["MDLIndexBitDepth"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthInvalid	swift.enum.case	["MDLIndexBitDepth","invalid"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUInt16	swift.enum.case	["MDLIndexBitDepth","uInt16"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUInt32	swift.enum.case	["MDLIndexBitDepth","uInt32"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUInt8	swift.enum.case	["MDLIndexBitDepth","uInt8"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUint16	swift.type.property	["MDLIndexBitDepth","uint16"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUint32	swift.type.property	["MDLIndexBitDepth","uint32"]	unmatched	none	0	0		[]
c:@E@MDLIndexBitDepth@MDLIndexBitDepthUint8	swift.type.property	["MDLIndexBitDepth","uint8"]	unmatched	none	0	0		[]
c:@E@MDLLightType	swift.enum	["MDLLightType"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeAmbient	swift.enum.case	["MDLLightType","ambient"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeDirectional	swift.enum.case	["MDLLightType","directional"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeDiscArea	swift.enum.case	["MDLLightType","discArea"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeEnvironment	swift.enum.case	["MDLLightType","environment"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeLinear	swift.enum.case	["MDLLightType","linear"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypePhotometric	swift.enum.case	["MDLLightType","photometric"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypePoint	swift.enum.case	["MDLLightType","point"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeProbe	swift.enum.case	["MDLLightType","probe"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeRectangularArea	swift.enum.case	["MDLLightType","rectangularArea"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeSpot	swift.enum.case	["MDLLightType","spot"]	unmatched	none	0	0		[]
c:@E@MDLLightType@MDLLightTypeSuperElliptical	swift.enum.case	["MDLLightType","superElliptical"]	unmatched	none	0	0		[]
