precise	kind	title	path	declaration
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV	swift.struct	MusicSubscriptionOffer	MusicSubscriptionOffer	struct MusicSubscriptionOffer
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV	swift.struct	MusicSubscriptionOffer.MessageIdentifier	MusicSubscriptionOffer.MessageIdentifier	struct MessageIdentifier
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV03addA0AEvpZ	swift.type.property	addMusic	MusicSubscriptionOffer.MessageIdentifier.addMusic	static let addMusic: MusicSubscriptionOffer.MessageIdentifier
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV04playA0AEvpZ	swift.type.property	playMusic	MusicSubscriptionOffer.MessageIdentifier.playMusic	static let playMusic: MusicSubscriptionOffer.MessageIdentifier
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV11descriptionSSvp	swift.property	description	MusicSubscriptionOffer.MessageIdentifier.description	var description: String { get }
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV4joinAEvpZ	swift.type.property	join	MusicSubscriptionOffer.MessageIdentifier.join	static let join: MusicSubscriptionOffer.MessageIdentifier
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV8RawValuea	swift.typealias	MusicSubscriptionOffer.MessageIdentifier.RawValue	MusicSubscriptionOffer.MessageIdentifier.RawValue	typealias RawValue = String
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV8rawValueAESS_tcfc	swift.init	init(rawValue:)	MusicSubscriptionOffer.MessageIdentifier.init(rawValue:)	init(rawValue: String)
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierV8rawValueSSvp	swift.property	rawValue	MusicSubscriptionOffer.MessageIdentifier.rawValue	let rawValue: String
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV17MessageIdentifierVyAESScfc	swift.init	init(_:)	MusicSubscriptionOffer.MessageIdentifier.init(_:)	init(_ rawValue: String)
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV	swift.struct	MusicSubscriptionOffer.Action	MusicSubscriptionOffer.Action	struct Action
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV11descriptionSSvp	swift.property	description	MusicSubscriptionOffer.Action.description	var description: String { get }
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV8RawValuea	swift.typealias	MusicSubscriptionOffer.Action.RawValue	MusicSubscriptionOffer.Action.RawValue	typealias RawValue = String
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV8rawValueAESS_tcfc	swift.init	init(rawValue:)	MusicSubscriptionOffer.Action.init(rawValue:)	init(rawValue: String)
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV8rawValueSSvp	swift.property	rawValue	MusicSubscriptionOffer.Action.rawValue	let rawValue: String
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionV9subscribeAEvpZ	swift.type.property	subscribe	MusicSubscriptionOffer.Action.subscribe	static let subscribe: MusicSubscriptionOffer.Action
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV6ActionVyAESScfc	swift.init	init(_:)	MusicSubscriptionOffer.Action.init(_:)	init(_ rawValue: String)
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV	swift.struct	MusicSubscriptionOffer.Options	MusicSubscriptionOffer.Options	struct Options
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV11descriptionSSvp	swift.property	description	MusicSubscriptionOffer.Options.description	var description: String { get }
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV13campaignTokenSSSgvp	swift.property	campaignToken	MusicSubscriptionOffer.Options.campaignToken	var campaignToken: String?
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV14affiliateTokenSSSgvp	swift.property	affiliateToken	MusicSubscriptionOffer.Options.affiliateToken	var affiliateToken: String?
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV17messageIdentifierAC07MessageI0Vvp	swift.property	messageIdentifier	MusicSubscriptionOffer.Options.messageIdentifier	var messageIdentifier: MusicSubscriptionOffer.MessageIdentifier
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	MusicSubscriptionOffer.Options.==(_:_:)	static func == (a: MusicSubscriptionOffer.Options, b: MusicSubscriptionOffer.Options) -> Bool
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	MusicSubscriptionOffer.Options.hash(into:)	func hash(into hasher: inout Hasher)
s:17_MusicKit_SwiftUI0A17SubscriptionOfferV7OptionsV6action17messageIdentifier6itemID14affiliateToken08campaignN0AeC6ActionV_AC07MessageJ0V0aB00a4ItemL0VSgSSSgAStcfc	swift.init	init(action:messageIdentifier:itemID:affiliateToken:campaignToken:)	MusicSubscriptionOffer.Options.init(action:messageIdentifier:itemID:affiliateToken:campaignToken:)	init(action: MusicSubscriptionOffer.Action = .subscribe, messageIdentifier: MusicSubscriptionOffer.MessageIdentifier = .join, itemID: MusicItemID? = nil, affiliateToken: String? = nil, campaignToken: String? = nil)
