precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@NLContextualEmbeddingAssetsResult	swift.enum	["NLContextualEmbedding","AssetsResult"]	unmatched	none	0	0		[]
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultAvailable	swift.enum.case	["NLContextualEmbedding","AssetsResult","available"]	unmatched	none	0	0		[]
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultError	swift.enum.case	["NLContextualEmbedding","AssetsResult","error"]	unmatched	none	0	0		[]
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultNotAvailable	swift.enum.case	["NLContextualEmbedding","AssetsResult","notAvailable"]	unmatched	none	0	0		[]
c:@E@NLDistanceType	swift.enum	["NLDistanceType"]	unmatched	none	0	0		[]
c:@E@NLDistanceType@NLDistanceTypeCosine	swift.enum.case	["NLDistanceType","cosine"]	unmatched	none	0	0		[]
c:@E@NLModelType	swift.enum	["NLModel","ModelType"]	unmatched	none	0	0		[]
c:@E@NLModelType@NLModelTypeClassifier	swift.enum.case	["NLModel","ModelType","classifier"]	unmatched	none	0	0		[]
c:@E@NLModelType@NLModelTypeSequence	swift.enum.case	["NLModel","ModelType","sequence"]	unmatched	none	0	0		[]
c:@E@NLTaggerAssetsResult	swift.enum	["NLTagger","AssetsResult"]	unmatched	none	0	0		[]
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultAvailable	swift.enum.case	["NLTagger","AssetsResult","available"]	unmatched	none	0	0		[]
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultError	swift.enum.case	["NLTagger","AssetsResult","error"]	unmatched	none	0	0		[]
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultNotAvailable	swift.enum.case	["NLTagger","AssetsResult","notAvailable"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions	swift.struct	["NLTagger","Options"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerJoinContractions	swift.type.property	["NLTagger","Options","joinContractions"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerJoinNames	swift.type.property	["NLTagger","Options","joinNames"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerOmitOther	swift.type.property	["NLTagger","Options","omitOther"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerOmitPunctuation	swift.type.property	["NLTagger","Options","omitPunctuation"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerOmitWhitespace	swift.type.property	["NLTagger","Options","omitWhitespace"]	unmatched	none	0	0		[]
c:@E@NLTaggerOptions@NLTaggerOmitWords	swift.type.property	["NLTagger","Options","omitWords"]	unmatched	none	0	0		[]
c:@E@NLTokenUnit	swift.enum	["NLTokenUnit"]	unmatched	none	0	0		[]
c:@E@NLTokenUnit@NLTokenUnitDocument	swift.enum.case	["NLTokenUnit","document"]	unmatched	none	0	0		[]
c:@E@NLTokenUnit@NLTokenUnitParagraph	swift.enum.case	["NLTokenUnit","paragraph"]	unmatched	none	0	0		[]
c:@E@NLTokenUnit@NLTokenUnitSentence	swift.enum.case	["NLTokenUnit","sentence"]	unmatched	none	0	0		[]
c:@E@NLTokenUnit@NLTokenUnitWord	swift.enum.case	["NLTokenUnit","word"]	unmatched	none	0	0		[]
c:@E@NLTokenizerAttributes	swift.struct	["NLTokenizer","Attributes"]	unmatched	none	0	0		[]
c:@E@NLTokenizerAttributes@NLTokenizerAttributeEmoji	swift.type.property	["NLTokenizer","Attributes","emoji"]	unmatched	none	0	0		[]
c:@E@NLTokenizerAttributes@NLTokenizerAttributeNumeric	swift.type.property	["NLTokenizer","Attributes","numeric"]	unmatched	none	0	0		[]
c:@E@NLTokenizerAttributes@NLTokenizerAttributeSymbolic	swift.type.property	["NLTokenizer","Attributes","symbolic"]	unmatched	none	0	0		[]
c:@NLContextualEmbeddingKeyLanguages	swift.type.property	["NLContextualEmbeddingKey","languages"]	unmatched	none	0	0		[]
c:@NLContextualEmbeddingKeyRevision	swift.type.property	["NLContextualEmbeddingKey","revision"]	unmatched	none	0	0		[]
c:@NLContextualEmbeddingKeyScripts	swift.type.property	["NLContextualEmbeddingKey","scripts"]	unmatched	none	0	0		[]
c:@NLLanguageAmharic	swift.type.property	["NLLanguage","amharic"]	unmatched	none	0	0		[]
c:@NLLanguageArabic	swift.type.property	["NLLanguage","arabic"]	unmatched	none	0	0		[]
c:@NLLanguageArmenian	swift.type.property	["NLLanguage","armenian"]	unmatched	none	0	0		[]
c:@NLLanguageBengali	swift.type.property	["NLLanguage","bengali"]	unmatched	none	0	0		[]
c:@NLLanguageBulgarian	swift.type.property	["NLLanguage","bulgarian"]	unmatched	none	0	0		[]
c:@NLLanguageBurmese	swift.type.property	["NLLanguage","burmese"]	unmatched	none	0	0		[]
c:@NLLanguageCatalan	swift.type.property	["NLLanguage","catalan"]	unmatched	none	0	0		[]
c:@NLLanguageCherokee	swift.type.property	["NLLanguage","cherokee"]	unmatched	none	0	0		[]
c:@NLLanguageCroatian	swift.type.property	["NLLanguage","croatian"]	unmatched	none	0	0		[]
c:@NLLanguageCzech	swift.type.property	["NLLanguage","czech"]	unmatched	none	0	0		[]
c:@NLLanguageDanish	swift.type.property	["NLLanguage","danish"]	unmatched	none	0	0		[]
c:@NLLanguageDutch	swift.type.property	["NLLanguage","dutch"]	unmatched	none	0	0		[]
c:@NLLanguageEnglish	swift.type.property	["NLLanguage","english"]	unmatched	none	0	0		[]
c:@NLLanguageFinnish	swift.type.property	["NLLanguage","finnish"]	unmatched	none	0	0		[]
