precise	kind	title	path	declaration
c:@E@NLContextualEmbeddingAssetsResult	swift.enum	NLContextualEmbedding.AssetsResult	NLContextualEmbedding.AssetsResult	enum AssetsResult
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultAvailable	swift.enum.case	NLContextualEmbedding.AssetsResult.available	NLContextualEmbedding.AssetsResult.available	case available
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultError	swift.enum.case	NLContextualEmbedding.AssetsResult.error	NLContextualEmbedding.AssetsResult.error	case error
c:@E@NLContextualEmbeddingAssetsResult@NLContextualEmbeddingAssetsResultNotAvailable	swift.enum.case	NLContextualEmbedding.AssetsResult.notAvailable	NLContextualEmbedding.AssetsResult.notAvailable	case notAvailable
c:@E@NLDistanceType	swift.enum	NLDistanceType	NLDistanceType	enum NLDistanceType
c:@E@NLDistanceType@NLDistanceTypeCosine	swift.enum.case	NLDistanceType.cosine	NLDistanceType.cosine	case cosine
c:@E@NLModelType	swift.enum	NLModel.ModelType	NLModel.ModelType	enum ModelType
c:@E@NLModelType@NLModelTypeClassifier	swift.enum.case	NLModel.ModelType.classifier	NLModel.ModelType.classifier	case classifier
c:@E@NLModelType@NLModelTypeSequence	swift.enum.case	NLModel.ModelType.sequence	NLModel.ModelType.sequence	case sequence
c:@E@NLTaggerAssetsResult	swift.enum	NLTagger.AssetsResult	NLTagger.AssetsResult	enum AssetsResult
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultAvailable	swift.enum.case	NLTagger.AssetsResult.available	NLTagger.AssetsResult.available	case available
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultError	swift.enum.case	NLTagger.AssetsResult.error	NLTagger.AssetsResult.error	case error
c:@E@NLTaggerAssetsResult@NLTaggerAssetsResultNotAvailable	swift.enum.case	NLTagger.AssetsResult.notAvailable	NLTagger.AssetsResult.notAvailable	case notAvailable
c:@E@NLTaggerOptions	swift.struct	NLTagger.Options	NLTagger.Options	struct Options
c:@E@NLTaggerOptions@NLTaggerJoinContractions	swift.type.property	joinContractions	NLTagger.Options.joinContractions	static var joinContractions: NLTagger.Options { get }
c:@E@NLTaggerOptions@NLTaggerJoinNames	swift.type.property	joinNames	NLTagger.Options.joinNames	static var joinNames: NLTagger.Options { get }
c:@E@NLTaggerOptions@NLTaggerOmitOther	swift.type.property	omitOther	NLTagger.Options.omitOther	static var omitOther: NLTagger.Options { get }
c:@E@NLTaggerOptions@NLTaggerOmitPunctuation	swift.type.property	omitPunctuation	NLTagger.Options.omitPunctuation	static var omitPunctuation: NLTagger.Options { get }
c:@E@NLTaggerOptions@NLTaggerOmitWhitespace	swift.type.property	omitWhitespace	NLTagger.Options.omitWhitespace	static var omitWhitespace: NLTagger.Options { get }
c:@E@NLTaggerOptions@NLTaggerOmitWords	swift.type.property	omitWords	NLTagger.Options.omitWords	static var omitWords: NLTagger.Options { get }
c:@E@NLTokenUnit	swift.enum	NLTokenUnit	NLTokenUnit	enum NLTokenUnit
c:@E@NLTokenUnit@NLTokenUnitDocument	swift.enum.case	NLTokenUnit.document	NLTokenUnit.document	case document
c:@E@NLTokenUnit@NLTokenUnitParagraph	swift.enum.case	NLTokenUnit.paragraph	NLTokenUnit.paragraph	case paragraph
c:@E@NLTokenUnit@NLTokenUnitSentence	swift.enum.case	NLTokenUnit.sentence	NLTokenUnit.sentence	case sentence
c:@E@NLTokenUnit@NLTokenUnitWord	swift.enum.case	NLTokenUnit.word	NLTokenUnit.word	case word
c:@E@NLTokenizerAttributes	swift.struct	NLTokenizer.Attributes	NLTokenizer.Attributes	struct Attributes
c:@E@NLTokenizerAttributes@NLTokenizerAttributeEmoji	swift.type.property	emoji	NLTokenizer.Attributes.emoji	static var emoji: NLTokenizer.Attributes { get }
c:@E@NLTokenizerAttributes@NLTokenizerAttributeNumeric	swift.type.property	numeric	NLTokenizer.Attributes.numeric	static var numeric: NLTokenizer.Attributes { get }
c:@E@NLTokenizerAttributes@NLTokenizerAttributeSymbolic	swift.type.property	symbolic	NLTokenizer.Attributes.symbolic	static var symbolic: NLTokenizer.Attributes { get }
c:@NLContextualEmbeddingKeyLanguages	swift.type.property	languages	NLContextualEmbeddingKey.languages	static let languages: NLContextualEmbeddingKey
c:@NLContextualEmbeddingKeyRevision	swift.type.property	revision	NLContextualEmbeddingKey.revision	static let revision: NLContextualEmbeddingKey
c:@NLContextualEmbeddingKeyScripts	swift.type.property	scripts	NLContextualEmbeddingKey.scripts	static let scripts: NLContextualEmbeddingKey
c:@NLLanguageAmharic	swift.type.property	amharic	NLLanguage.amharic	static let amharic: NLLanguage
c:@NLLanguageArabic	swift.type.property	arabic	NLLanguage.arabic	static let arabic: NLLanguage
c:@NLLanguageArmenian	swift.type.property	armenian	NLLanguage.armenian	static let armenian: NLLanguage
c:@NLLanguageBengali	swift.type.property	bengali	NLLanguage.bengali	static let bengali: NLLanguage
c:@NLLanguageBulgarian	swift.type.property	bulgarian	NLLanguage.bulgarian	static let bulgarian: NLLanguage
c:@NLLanguageBurmese	swift.type.property	burmese	NLLanguage.burmese	static let burmese: NLLanguage
c:@NLLanguageCatalan	swift.type.property	catalan	NLLanguage.catalan	static let catalan: NLLanguage
c:@NLLanguageCherokee	swift.type.property	cherokee	NLLanguage.cherokee	static let cherokee: NLLanguage
c:@NLLanguageCroatian	swift.type.property	croatian	NLLanguage.croatian	static let croatian: NLLanguage
c:@NLLanguageCzech	swift.type.property	czech	NLLanguage.czech	static let czech: NLLanguage
c:@NLLanguageDanish	swift.type.property	danish	NLLanguage.danish	static let danish: NLLanguage
c:@NLLanguageDutch	swift.type.property	dutch	NLLanguage.dutch	static let dutch: NLLanguage
c:@NLLanguageEnglish	swift.type.property	english	NLLanguage.english	static let english: NLLanguage
c:@NLLanguageFinnish	swift.type.property	finnish	NLLanguage.finnish	static let finnish: NLLanguage
c:@NLLanguageFrench	swift.type.property	french	NLLanguage.french	static let french: NLLanguage
c:@NLLanguageGeorgian	swift.type.property	georgian	NLLanguage.georgian	static let georgian: NLLanguage
c:@NLLanguageGerman	swift.type.property	german	NLLanguage.german	static let german: NLLanguage
c:@NLLanguageGreek	swift.type.property	greek	NLLanguage.greek	static let greek: NLLanguage
c:@NLLanguageGujarati	swift.type.property	gujarati	NLLanguage.gujarati	static let gujarati: NLLanguage
c:@NLLanguageHebrew	swift.type.property	hebrew	NLLanguage.hebrew	static let hebrew: NLLanguage
c:@NLLanguageHindi	swift.type.property	hindi	NLLanguage.hindi	static let hindi: NLLanguage
c:@NLLanguageHungarian	swift.type.property	hungarian	NLLanguage.hungarian	static let hungarian: NLLanguage
c:@NLLanguageIcelandic	swift.type.property	icelandic	NLLanguage.icelandic	static let icelandic: NLLanguage
c:@NLLanguageIndonesian	swift.type.property	indonesian	NLLanguage.indonesian	static let indonesian: NLLanguage
c:@NLLanguageItalian	swift.type.property	italian	NLLanguage.italian	static let italian: NLLanguage
c:@NLLanguageJapanese	swift.type.property	japanese	NLLanguage.japanese	static let japanese: NLLanguage
c:@NLLanguageKannada	swift.type.property	kannada	NLLanguage.kannada	static let kannada: NLLanguage
c:@NLLanguageKazakh	swift.type.property	kazakh	NLLanguage.kazakh	static let kazakh: NLLanguage
c:@NLLanguageKhmer	swift.type.property	khmer	NLLanguage.khmer	static let khmer: NLLanguage
c:@NLLanguageKorean	swift.type.property	korean	NLLanguage.korean	static let korean: NLLanguage
c:@NLLanguageLao	swift.type.property	lao	NLLanguage.lao	static let lao: NLLanguage
c:@NLLanguageMalay	swift.type.property	malay	NLLanguage.malay	static let malay: NLLanguage
c:@NLLanguageMalayalam	swift.type.property	malayalam	NLLanguage.malayalam	static let malayalam: NLLanguage
c:@NLLanguageMarathi	swift.type.property	marathi	NLLanguage.marathi	static let marathi: NLLanguage
c:@NLLanguageMongolian	swift.type.property	mongolian	NLLanguage.mongolian	static let mongolian: NLLanguage
c:@NLLanguageNorwegian	swift.type.property	norwegian	NLLanguage.norwegian	static let norwegian: NLLanguage
c:@NLLanguageOriya	swift.type.property	oriya	NLLanguage.oriya	static let oriya: NLLanguage
c:@NLLanguagePersian	swift.type.property	persian	NLLanguage.persian	static let persian: NLLanguage
c:@NLLanguagePolish	swift.type.property	polish	NLLanguage.polish	static let polish: NLLanguage
c:@NLLanguagePortuguese	swift.type.property	portuguese	NLLanguage.portuguese	static let portuguese: NLLanguage
c:@NLLanguagePunjabi	swift.type.property	punjabi	NLLanguage.punjabi	static let punjabi: NLLanguage
c:@NLLanguageRomanian	swift.type.property	romanian	NLLanguage.romanian	static let romanian: NLLanguage
c:@NLLanguageRussian	swift.type.property	russian	NLLanguage.russian	static let russian: NLLanguage
c:@NLLanguageSimplifiedChinese	swift.type.property	simplifiedChinese	NLLanguage.simplifiedChinese	static let simplifiedChinese: NLLanguage
c:@NLLanguageSinhalese	swift.type.property	sinhalese	NLLanguage.sinhalese	static let sinhalese: NLLanguage
c:@NLLanguageSlovak	swift.type.property	slovak	NLLanguage.slovak	static let slovak: NLLanguage
c:@NLLanguageSpanish	swift.type.property	spanish	NLLanguage.spanish	static let spanish: NLLanguage
c:@NLLanguageSwedish	swift.type.property	swedish	NLLanguage.swedish	static let swedish: NLLanguage
c:@NLLanguageTamil	swift.type.property	tamil	NLLanguage.tamil	static let tamil: NLLanguage
c:@NLLanguageTelugu	swift.type.property	telugu	NLLanguage.telugu	static let telugu: NLLanguage
c:@NLLanguageThai	swift.type.property	thai	NLLanguage.thai	static let thai: NLLanguage
c:@NLLanguageTibetan	swift.type.property	tibetan	NLLanguage.tibetan	static let tibetan: NLLanguage
c:@NLLanguageTraditionalChinese	swift.type.property	traditionalChinese	NLLanguage.traditionalChinese	static let traditionalChinese: NLLanguage
c:@NLLanguageTurkish	swift.type.property	turkish	NLLanguage.turkish	static let turkish: NLLanguage
c:@NLLanguageUkrainian	swift.type.property	ukrainian	NLLanguage.ukrainian	static let ukrainian: NLLanguage
c:@NLLanguageUndetermined	swift.type.property	undetermined	NLLanguage.undetermined	static let undetermined: NLLanguage
