category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIAlgorithmConvergenceStatusReason.h	1662	9853650de1c94aea7e728119a198cd63fb7e680cbc5ef6f086e62abccbc7ac48
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIConfiguration.h	6856	bb95d082cab86f6f93c31dc49e717cec68e8386969ef4877cd523b5c998b2bb4
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIDLTDOAMeasurement.h	2568	6d8f5e88c653be9db315004707ad43aafeb4d5607d8edae579798051f7d5e1f4
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIDeviceCapability.h	1403	8aa60f4df1b04ec75c69ada4eb69ba83ee7924c6064d4e96669a9e446c11236c
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIError.h	2064	45aa1d21e181e69f5fda7b4c7b3e20d7bf13ac68b0dbff655473576cf0d16d3a
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NIExport.h	230	c2d8bd4ead30a1964b6b14774c828c211d7d2bc1d6225574f03d58f13e3501f3
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NINearbyObject.h	3635	e3aac8d26cf38d72b614f49774b89b2b236e43d8e408cd078f525b77ab1aee34
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NISession.h	12034	7052dad25c5fe9a33b346ee7cfde6942c45030b857f8273b0b368c61ea2fe62a
header	System/Library/Frameworks/NearbyInteraction.framework/Headers/NearbyInteraction.h	483	0f73b2bc56c0207191154dfbda5630a055d7326588d9a2f69f445492993d6e13
swiftinterface	System/Library/Frameworks/NearbyInteraction.framework/Modules/NearbyInteraction.swiftmodule/arm64e-apple-ios.swiftinterface	3404	3691ae72f4fc54ce3c526d04900b035c6405d2ae9b2ccbd291e28de26274c836
modulemap	System/Library/Frameworks/NearbyInteraction.framework/Modules/module.modulemap	115	d682bfdd2f4dfafb7a087803932709b4c13e3bb10dcbb5cdf6c8cca467527cb2
tbd	System/Library/Frameworks/NearbyInteraction.framework/NearbyInteraction.tbd	34303	b8ffe17aa2a8d4a0025e403f4ca24013e4e38897860f94ae14aa36404c6f6681
