precise	status	evidence	notes
c:@E@NCUpdateResult	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	UInt enum; standalone runtime exercises raw values
c:@E@NCUpdateResult@NCUpdateResultFailed	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	case failed rawValue 2
c:@E@NCUpdateResult@NCUpdateResultNewData	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	case newData rawValue 0
c:@E@NCUpdateResult@NCUpdateResultNoData	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	case noData rawValue 1
c:@E@NCWidgetDisplayMode	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Int enum; standalone runtime exercises raw values
c:@E@NCWidgetDisplayMode@NCWidgetDisplayModeCompact	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	case compact rawValue 0
c:@E@NCWidgetDisplayMode@NCWidgetDisplayModeExpanded	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	case expanded rawValue 1
c:objc(cs)NCWidgetController	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	NSObject subclass; systemWidgetHostAvailable is false
c:objc(cs)NCWidgetController(im)setHasContent:forWidgetWithBundleIdentifier:	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Records process-local flags; does not claim SpringBoard delivery
c:objc(cs)NSExtensionContext(im)widgetMaximumSizeForDisplayMode:	deferred		Guest Foundation does not expose Foundation.NSExtensionContext; central dependency blocker. Source is an extension gated on NOTIFICATIONCENTER_HAS_FOUNDATION_EXTENSION_CONTEXT.
c:objc(cs)NSExtensionContext(py)widgetActiveDisplayMode	deferred		Guest Foundation does not expose Foundation.NSExtensionContext; central dependency blocker. Cannot implement an extension of a missing canonical type.
c:objc(cs)NSExtensionContext(py)widgetLargestAvailableDisplayMode	deferred		Guest Foundation does not expose Foundation.NSExtensionContext; central dependency blocker. UserNotificationsUI must share that same identity.
c:objc(cs)UIVibrancyEffect(cm)notificationCenterVibrancyEffect	declared	full/notificationcenter/NotificationCenterUIKit.swift	Compile-only UIKit.UIVibrancyEffect factory signature. Not runtime-exercised against guest UIKit; synthetic UIKit modules are not evidence.
c:objc(cs)UIVibrancyEffect(cm)widgetEffectForVibrancyStyle:	declared	full/notificationcenter/NotificationCenterUIKit.swift	Compile-only factory taking UIKit.UIVibrancyEffectStyle. Awaits a real guest UIKit build for runtime evidence.
c:objc(cs)UIVibrancyEffect(cm)widgetPrimaryVibrancyEffect	declared	full/notificationcenter/NotificationCenterUIKit.swift	Compile-only UIKit.UIVibrancyEffect factory signature. Not implemented until a real UIKit dylib run.
c:objc(cs)UIVibrancyEffect(cm)widgetSecondaryVibrancyEffect	declared	full/notificationcenter/NotificationCenterUIKit.swift	Compile-only UIKit.UIVibrancyEffect factory signature. Not implemented until a real UIKit dylib run.
c:objc(pl)NCWidgetProviding	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	NSObjectProtocol with Swift defaults for the non-UIKit requirements
c:objc(pl)NCWidgetProviding(im)widgetActiveDisplayModeDidChange:withMaximumSize:	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Default no-op; RecordingWidget override is exercised on the standalone runtime
c:objc(pl)NCWidgetProviding(im)widgetMarginInsetsForProposedMarginInsets:	declared	full/notificationcenter/NotificationCenter.swift	Compile-only signature using UIKit.UIEdgeInsets behind canImport(UIKit). Not runtime-exercised against guest UIKit.
c:objc(pl)NCWidgetProviding(im)widgetPerformUpdateWithCompletionHandler:	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Default completes with noData; async overlay calls the completion form
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@NCUpdateResult	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Equatable != exercised
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@NCWidgetDisplayMode	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Equatable != exercised
s:SYsSHRzSH8RawValueSYRpzrlE04hashB0Sivp::SYNTHESIZED::c:@E@NCUpdateResult	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Hashable hashValue exercised
s:SYsSHRzSH8RawValueSYRpzrlE04hashB0Sivp::SYNTHESIZED::c:@E@NCWidgetDisplayMode	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Hashable hashValue exercised
s:SYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@NCUpdateResult	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Hashable hash(into:) exercised
s:SYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@NCWidgetDisplayMode	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Hashable hash(into:) exercised
s:So14NCUpdateResultV8rawValueABSgSu_tcfc	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Failable init?(rawValue: UInt) exercised including nil
s:So19NCWidgetDisplayModeV8rawValueABSgSi_tcfc	implemented	full/notificationcenter/NotificationCenter.swift; tests/agent/NotificationCenterRuntime.swift	Failable init?(rawValue: Int) exercised including nil
